week_start	sub-1/sub-1_ecephys+image.nwb	sub-10/sub-10_ecephys+image.nwb	sub-11/sub-11_ecephys+image.nwb	sub-12/sub-12_ecephys+image.nwb	sub-13/sub-13_ecephys+image.nwb	sub-14/sub-14_ecephys+image.nwb	sub-15/sub-15_ecephys+image.nwb	sub-16/sub-16_ecephys+image.nwb	sub-17/sub-17_ecephys+image.nwb	sub-18/sub-18_ecephys+image.nwb	sub-19/sub-19_ecephys+image.nwb	sub-2/sub-2_ecephys+image.nwb	sub-20/sub-20_ecephys+image.nwb	sub-21/sub-21_ecephys+image.nwb	sub-22/sub-22_ecephys+image.nwb	sub-3/sub-3_ecephys+image.nwb	sub-4/sub-4_ecephys+image.nwb	sub-5/sub-5_ecephys+image.nwb	sub-7/sub-7_ecephys+image.nwb	sub-8/sub-8_ecephys+image.nwb	sub-9/sub-9_ecephys+image.nwb
2024-07-15	46318969	76730052	101347305	168018087	192937984	67108864	123706708	71495987	86006147	41943040	28145352	144999235	150994944	200526538	99039923	125829120	117440512	134217728	100663296	133266218	57096883
2024-07-22	574282515	278657988	55211990	0	51810535	6419784	6419784	0	3168643	8451414	8975380	10417676	14218036	6553600	8583340	6621316	12579944	12842144	12113276	199192354	4325320
2024-07-29	63096185	187734423	206122530	243515559	890839446	101448084	359074888	106750043	150838874	147124638	36661392	289998470	496791810	449488198	152774403	493421460	642291078	665608252	404795812	202009198	151071195
2024-08-05	12952011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19979940
2024-08-19	0	0	103061265	243515559	0	0	0	0	0	140508330	28145352	203719491	0	0	0	23582880	120759916	0	23320848	129603496	0
2024-08-26	0	0	13932305	0	0	0	0	0	0	0	0	203719491	0	0	0	242681988	222794922	0	0	91323178	140982963
2024-09-02	0	0	0	0	0	135058240	0	0	0	0	0	203719491	198017167	0	0	0	445589844	0	0	0	0
2024-09-09	24376437	0	0	0	204508190	0	0	54718771	85833400	115915950	0	0	0	166954186	0	0	0	0	0	0	0
2024-09-16	4389036	3329732	10128025	0	6553600	7205412	10982044	11330523	9522919	0	6616308	10810724	14021512	0	11269168	10748320	12055880	0	9623972	6553600	8845372
2024-09-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13820236	0	15728640
2024-09-30	0	0	0	0	0	0	0	96661811	0	0	0	0	0	0	0	100845484	0	0	0	0	0
2024-10-07	0	28823520	0	243515559	0	101448084	174038356	96661811	111171971	140508330	28145352	0	243515559	292801226	140982963	242681988	222794922	360510296	197321036	191986474	0
2024-10-14	0	101895876	0	243515559	292801226	101448084	0	0	111171971	140508330	28145352	203719491	243515559	0	0	242681988	222794922	0	197321036	191986474	140982963
2024-10-28	47294415	25533832	233987140	523174556	322658398	35124008	43989672	36037222	33600262	310375080	81124128	244156873	36143438	29857172	40793446	22481028	458669566	544567040	216384152	13728554	20396723
2024-11-04	11005344	6288768	0	9236628	0	0	4716576	10219248	7402404	0	0	8254008	6223260	7860960	0	0	0	0	6943848	0	0
2024-11-18	19561798	4311848	12918482	5882023	13536944	5699064	47732424	11920095	14371183	34588224	14442756	6587203	10205551	8831974	7158451	0	0	0	0	0	0
2024-12-02	0	101895876	0	0	0	67893652	0	0	0	0	0	92274688	0	0	0	0	147297450	201326592	0	0	0
2025-01-27	63096185	0	0	0	0	0	0	0	0	0	0	203719491	243515559	0	0	0	0	0	0	0	0
2025-02-03	0	0	103061265	0	292801226	101448084	0	0	111171971	140508330	28145352	0	0	0	140982963	0	222794922	263660800	0	191986474	0
2025-02-17	0	0	0	0	0	202896168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	0	0	716800	0	0	0	0	0	0	4651068	0	0	0	0	0
2025-04-07	85434413	203791752	0	0	0	101448084	348076712	0	111171971	140508330	28145352	0	0	292801226	140982963	242681988	222794922	0	0	191986474	140982963
2025-06-16	0	101895876	206122530	243515559	292801226	0	0	0	222343942	140508330	28145352	407438982	243515559	292801226	0	0	445589844	263660800	197321036	0	140982963
2025-06-23	68640	41184	68640	68640	41184	54912	27456	54912	41184	41184	68640	54912	27456	54912	27456	41184	82368	41184	54912	27456	82368
2025-07-14	54912	82368	41184	54912	68640	68640	82368	54912	68640	54912	41184	68640	68640	13728	41184	68640	68640	54912	68640	82368	54912
2025-07-21	0	0	0	0	0	101448084	0	0	0	0	0	104857600	0	0	0	0	117937322	0	0	0	0
2025-07-28	0	0	0	0	0	0	0	96661811	0	0	0	104857600	191086759	0	0	190253188	0	53945600	0	0	52428800
