week_start	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-19-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-20-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-20-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-27-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-27-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-28-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-19-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-20-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-20-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-27-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-27-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-28-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-10-30-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-10-30-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-18-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-24-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-24-Run2_behavior+ecephys.nwb
2024-10-28	1000403614	1912283385	939524096	1109458020	1182793728	898649046	1073755092	13425584	8388608	10187436	6536848	8952528	9555744	16062920	199406067	187080698	169697469	234134522	105541782	171899164
2024-11-04	45511448	0	7009356	0	7860960	0	7860960	31349988	8188500	0	7664436	7860960	8909088	0	0	0	4389036	8254008	0	2161764
2024-11-11	8843580	8254008	4258020	10939836	13494648	0	133664992	25323252	4127004	14711072	18470984	27756908	25352760	4127004	333165239	315726662	308304233	0	8254008	7009356
2024-11-18	3091828427	17379246	1908876078	4421288371	45566072	1262394065	4235084102	15176476	53125636	23717012	15572440	22163132	9421144	6004764	5026459	307734686	607830394	367545853	267286366	283710806
2024-11-25	2397151103	3757457906	3158155859	3733251150	1708335664	3547550394	2137463302	21196248	31710528	14449040	28556944	34682272	34721568	47389184	329103743	615469372	303915197	406130065	267286366	567421612
2024-12-02	2397151103	0	1890358831	13232616	0	1773775197	330877262	33839292	15855264	14449040	0	17341136	17360784	23694592	329103743	307734686	303915197	0	267286366	0
2024-12-09	4794302206	7245151143	5780990753	3733251150	4687243324	1773775197	2137463302	63588744	63421056	57796160	42835416	52023408	34721568	47389184	329103743	615469372	303915197	1102637559	534572732	567421612
2024-12-16	0	2407211257	1879943059	0	0	1773775197	2137463302	21196248	15855264	14449040	14278472	17341136	17360784	23694592	329103743	307734686	303915197	0	0	283710806
2024-12-30	61577520	2390434041	1890358831	1824682535	1470730520	0	4274926604	31153464	27384672	0	14278472	0	0	0	329103743	307734686	0	367545853	267286366	0
2025-01-06	2397151103	2407211257	0	0	0	0	0	0	15855264	14449040	0	0	0	0	0	0	0	0	267286366	0
2025-01-13	0	2407211257	1879943059	0	1656821484	0	2137463302	0	0	14449040	0	0	0	0	329103743	0	303915197	0	267286366	283710806
2025-01-20	0	0	0	35036008	16752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-27	2397151103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	0	0	1879943059	1866625575	1470730520	0	2137463302	21196248	15855264	0	0	0	0	0	0	615469372	0	0	267286366	0
2025-02-10	7191453309	8933419531	5265956250	6793482857	7353652600	6514895883	6412389906	21196248	79276320	43347120	28556944	34682272	34721568	47389184	1645518715	850991140	1519575985	2205275118	1552694246	1134843224
2025-02-17	38780736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
