week_start	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250101T111740.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250101T112404.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T110520.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T111022.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T111455.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250113T120811.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250113T121303.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250115T110633.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250115T111328.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250119T113543.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250119T114045.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250120T115044.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250120T115537.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250101T111740.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250101T112404.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T110520.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T111022.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T111455.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250113T120811.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250113T121303.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250115T110633.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250115T111328.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250119T113543.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250119T114045.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250120T115044.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250120T115537.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250126T113454.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250126T114029.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250127T120333.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250127T120826.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250129T112555.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250129T113059.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250202T113958.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250202T114452.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250203T113515.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250203T114018.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250206T112219.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250206T112712.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250209T111826.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250209T112327.nwb
2024-04-01	12529746	8975508	9273593	6115912	1313298	13363644	7692275	15277386	13825600	6880194	15222318	8092220	6758946	2679920	1416560	2458452	3203460	2849616	3046408	2254552	3320508	3011392	2587404	3877980	2219320	4609360	2575416	34861400	4999832	5233255	3769540	3047093	4582846	4926120	4597745	2289633	3814776	5163410	5013940	1950204
2024-04-08	84082544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123093520	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	25026712	10537040	10769974	3954148	6893423	22989244	15524686	10953858	26907722	13164907	6771786	20858960	19047492	3703920	3046440	3072852	2589060	2444412	3427392	3176736	4817380	2616944	3654672	3471024	1502520	3134256	6442760	127897200	4517874	6154855	4588740	4301724	3326458	5087776	2902007	3518433	5997270	5982610	2584542	3465922
2024-04-22	8778072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141700680	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134544080	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-06	5158319	8342660	5801669	0	3151141	5853252	5567825	5944811	6858862	6153697	5997093	6725140	0	925980	1015480	0	1067820	0	984848	0	0	1111248	0	0	1109660	1044752	0	156013880	0	1415291	0	1254631	1381886	0	1206269	0	0	1360362	0	1384702
2024-05-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131681440	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123093520	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	5158319	3090448	5801669	0	0	5853252	5567825	0	6858862	6153697	0	6725140	0	925980	1015480	1024284	2135640	0	984848	922184	1106836	1111248	1067268	2042712	1109660	1044752	1472872	134544080	0	1415291	1351985	1254631	1381886	0	1206269	1172811	1363294	1360362	1509485	0
2024-06-03	10316638	6180896	17405007	13233096	6302282	17559756	11135650	11889622	13717724	18461091	17991279	6725140	12288546	1851960	2030960	2048568	2135640	2039208	1969696	1844368	1106836	1111248	1067268	3064068	2219320	2089504	4418616	84447880	3011916	1415291	2703970	3763893	1381886	1271944	3618807	1172811	2726588	1360362	3018970	2769404
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11450560	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-24	9548763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	4389036	5252212	9470117	6550088	2161764	10242288	10675022	10333847	6858862	6284713	5143249	12162304	770321	532764	2522152	2548564	1067820	2534524	1969696	1451152	1558312	1567136	3744784	2539780	2673620	2609968	3632184	4293960	3600370	2044150	3531667	3108533	4145658	1271944	2412538	1821334	576862	3294654	3610951	1982972
2024-07-15	0	0	0	3308274	3151141	0	5567825	5944811	0	0	0	6725140	6144273	925980	0	1024284	1067820	1019604	984848	922184	1106836	1111248	1067268	1021356	1109660	1044752	1472872	1431320	1505958	1415291	1351985	1254631	1381886	1271944	1206269	1172811	1363294	1360362	1509485	1384702
2024-07-22	94380661	3090448	5801669	3308274	6302282	5853252	5567825	5944811	6550800	0	0	6725140	6144273	925980	1015480	1024284	2135640	0	984848	922184	0	1111248	1067268	1021356	1109660	1044752	1472872	1431320	1505958	0	1351985	1254631	1381886	0	2412538	0	1363294	0	0	1384702
