week_start	sub-BH549/sub-BH549_ses-20240331T132633_ecephys.nwb	sub-BH549/sub-BH549_ses-20240331T132711_ecephys.nwb	sub-BH549/sub-BH549_ses-20240331T132745_ecephys.nwb	sub-BH549/sub-BH549_ses-20240402T174640_ecephys.nwb	sub-BH549/sub-BH549_ses-20240402T183011_ecephys.nwb	sub-BH549/sub-BH549_ses-20240402T185111_ecephys.nwb	sub-BH549/sub-BH549_ses-20240402T191417_ecephys.nwb	sub-BH549/sub-BH549_ses-20240402T193215_ecephys.nwb	sub-BH549/sub-BH549_ses-20240402T205303_ecephys.nwb	sub-BH549/sub-BH549_ses-20240402T222007_ecephys.nwb	sub-BH549/sub-BH549_ses-20240402T225009_ecephys.nwb
2024-04-01	2677864	3487536	1687152	15378932	5337232	3159488	5373776	2557744	4064080	3297248	1999296
2024-05-27	765104	2968632	562384	2583452	1601584	1058624	1682032	920848	1234544	1104544	666432
2024-06-03	2295312	1367312	562384	2292780	2256944	1189696	2337392	920848	1627760	1235616	666432
2024-06-10	0	3230776	0	0	0	0	0	0	0	0	0
2024-06-17	0	0	0	13171148	0	0	0	0	0	0	0
2024-06-24	0	0	0	4091704	0	0	0	0	0	0	0
2024-07-08	765104	1105168	562384	2583452	1601584	1058624	1682032	920848	1234544	1104544	666432
2024-07-22	382552	683656	281192	4091704	1128472	594848	1168696	460424	813880	617808	333216
2024-08-26	0	683656	0	0	0	0	1168696	0	0	0	0
2024-09-02	0	0	281192	0	1128472	0	4674784	0	813880	0	0
2024-09-09	382552	0	0	0	0	0	18699136	460424	0	617808	333216
2024-09-16	765104	1105168	562384	2583452	1601584	1058624	1682032	920848	1234544	1104544	666432
2024-09-23	382552	0	0	4091704	1128472	0	1168696	0	0	0	0
2024-10-07	382552	0	0	0	0	0	0	0	0	0	0
2024-10-14	382552	0	0	4091704	1128472	594848	1168696	460424	0	0	0
2024-10-21	0	0	0	0	0	0	0	0	0	0	333216
2024-10-28	0	0	0	4091704	1128472	0	1168696	0	0	0	0
2024-11-04	382552	683656	281192	2161764	1128472	594848	1168696	460424	813880	617808	333216
2024-11-11	765104	683656	281192	0	1128472	0	0	460424	813880	0	333216
2024-11-18	1530208	2734624	1124768	14436876	4513888	2379392	4674784	1841696	3255520	2471232	1332864
2024-12-02	0	0	0	0	1128472	0	1168696	0	0	0	0
2025-03-17	382552	0	0	0	0	0	0	0	0	0	0
2025-04-21	382552	683656	281192	4091704	1128472	594848	1168696	460424	813880	617808	333216
2025-05-05	382552	0	281192	0	1128472	0	0	0	813880	0	0
2025-07-14	138376	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	4091704	0	0	0	460424	0	0	0
2025-08-04	0	683656	281192	0	0	594848	1168696	0	813880	617808	333216
2025-08-11	0	0	0	0	1128472	0	0	0	0	0	0
2025-08-25	0	0	0	0	1128472	0	0	460424	0	0	0
2025-09-01	765104	683656	281192	0	0	0	0	0	0	0	333216
2025-10-06	0	2762920	0	0	0	0	0	0	0	0	0
2025-10-20	195032	0	0	0	0	0	0	0	0	0	0
2025-10-27	382552	0	0	0	0	0	0	0	0	0	0
2025-12-15	1147656	2050968	843576	12275112	3385416	1784544	4674784	1381272	2441640	1853424	999648
2025-12-22	0	0	281192	0	1128472	0	0	0	813880	0	0
2025-12-29	0	0	0	0	0	594848	0	0	0	0	0
2026-01-12	1147656	2050968	843576	0	3385416	1784544	3506088	1381272	2441640	2471232	999648
2026-01-19	0	683656	0	4091704	0	0	0	460424	0	0	333216
2026-01-26	382552	0	0	0	0	0	0	0	0	0	0
2026-02-16	1762056	1981712	1405960	8797808	2871344	2398944	2951792	1995672	2242160	1850016	333216
2026-02-23	765104	0	0	4497008	1540144	0	0	0	1218160	0	999648
2026-03-02	0	1060112	562384	0	0	984896	1518192	818448	0	1030816	0
2026-03-16	0	0	562384	0	2256944	1189696	2337392	0	1627760	0	0
2026-03-23	0	962280	562384	896772	0	0	0	0	0	0	0
2026-03-30	765104	683656	562384	4091704	2256944	1189696	1168696	460424	813880	1235616	333216
2026-04-06	382552	1367312	281192	4091704	1128472	594848	1168696	460424	813880	617808	333216
2026-04-13	0	0	562384	0	0	0	0	0	0	0	0
2026-04-20	0	0	562384	0	2256944	594848	2337392	0	1627760	0	0
2026-05-04	382552	0	0	0	0	0	0	0	0	0	0
2026-05-11	0	1367312	281192	0	0	0	0	920848	0	617808	0
2026-05-18	4439920	8482496	4499072	38160324	16579860	7157728	15359340	5679064	10380960	6792480	4612992
2026-05-25	3524112	3963424	2249536	9513016	4635216	3608192	6196960	3070496	6112080	4935648	2561664
2026-06-01	1454856	3349024	1687152	6036604	3007864	3281440	2851564	1688472	2655548	2160624	1306848
2026-06-08	1379504	1981712	1124768	8190284	2186592	1804096	4249188	2506920	3714908	925008	640416
2026-06-15	0	0	1124768	13657340	3374368	0	1266608	920848	2659336	3502048	1332864
2026-06-22	382552	3082504	1968344	4091704	3385416	0	2337392	1739296	4287096	0	0
