week_start	sub-ZYE-0021/sub-ZYE-0021_ses-4_ecephys+image.nwb	sub-ZYE-0031/sub-ZYE-0031_ecephys+image.nwb	sub-ZYE-0031/sub-ZYE-0031_ses-1_ecephys+image.nwb	sub-ZYE-0031/sub-ZYE-0031_ses-4_ecephys+image.nwb	sub-ZYE-0039/sub-ZYE-0039_ecephys+image.nwb	sub-ZYE-0040/sub-ZYE-0040_ecephys+image.nwb	sub-ZYE-0057/sub-ZYE-0057_ecephys+image.nwb	sub-ZYE-0057/sub-ZYE-0057_ses-1_ecephys+image.nwb	sub-ZYE-0057/sub-ZYE-0057_ses-2_ecephys+image.nwb
2024-04-01	31792662832	29576621532	35983976768	25633813748	34705705241	81549542010	0	22728500588	25931681968
2024-04-08	53434610840	7103978308	0	0	0	0	0	0	0
2024-04-15	24766636	6753570852	20480000	27754588	22539364	5240640	0	54766896	42620716
2024-04-22	0	7081637168	0	0	0	0	0	0	0
2024-04-29	0	6587696948	0	0	0	0	0	0	181037568
2024-05-06	0	5595381832	0	0	0	0	0	0	0
2024-05-13	0	1868607520	0	0	8778072	0	0	0	0
2024-05-20	0	957430004	0	0	0	0	0	0	0
2024-05-27	0	2157523944	0	0	0	0	0	0	0
2024-06-03	0	1277860856	0	0	0	0	0	0	0
2024-06-10	0	465502804	0	0	0	0	0	94939984192	0
2024-06-17	0	0	0	0	175082776	0	0	0	0
2024-07-08	20997084	10808820	835731434	37275592	7081141	23532587	0	837200976	36946016
2024-07-22	0	0	12184488	12512028	54997220345	10022724	0	0	14280744
2024-07-29	0	0	0	0	0	0	75816547510	0	0
2024-08-05	0	0	0	0	5068660	0	0	0	0
2024-08-12	0	0	0	0	0	0	5961228	0	0
2024-08-19	160428850456	109501773768	63844467590	57594474588	109974395242	54070028643	45994208006	47350659020	46643155120
2024-08-26	0	0	0	102090136	0	0	0	0	40642703910
2024-09-02	0	0	0	0	0	0	0	37064919859	37607216796
2024-09-09	34314055340	41985148544	40192486306	44037951040	42196740438	41339002022	19867152504	0	0
2024-09-16	0	4127004	4127004	0	0	10824035	6354276	0	0
2024-09-23	31457280	54923392968	64024643340	57747955896	54987197621	54070028643	46206009618	180467660	46823907680
2024-10-07	0	0	0	0	24908683	0	0	0	0
2024-10-21	16210674544	144415472	2293515316	0	17423772392	0	5590932764	1966661060	947691092
2024-10-28	188569920	109591524	16508016	0	173716425	0	176679686	0	0
2024-11-04	0	0	8188500	0	5109624	7664436	0	7991976	10284756
2024-11-11	4127004	6223260	0	0	8712564	0	0	9826200	4061496
2024-11-18	172670924	0	0	129013924	67145700	266805920	0	0	0
2024-12-02	0	0	0	0	0	0	0	193634768	217376052
2024-12-23	0	54750886884	63844467590	57594474588	54987197621	108140057286	0	0	46643155120
2025-01-13	53434610840	54750886884	63844467590	57594474588	0	54070028643	0	0	0
2025-02-03	33409080	27120312	14149728	0	0	0	32229936	18866304	12839568
2025-02-24	0	6681816	0	8122992	0	31612088	524005382	0	0
2025-03-03	0	22419504	0	0	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	40500260452	512000	0
2025-03-17	0	0	0	0	0	0	30695690357	0	0
2025-05-12	0	0	0	0	10485760	0	0	10485760	0
2025-06-23	40184080	22589392	54904232	20056640	8424224	60236000	39454008	20169920	26005872
2025-07-14	37300397660	768077150	3014724611	9683275490	225977620	791596268	26252246252	52862669688	536723020
2025-07-21	0	316570712	0	0	0	0	0	0	0
2025-07-28	17163096	0	20971520	14804808	29297085621	0	20971520	20971520	15590904
2025-08-04	56105892572	0	0	0	0	0	39459908892	0	26843545600
2025-08-11	11996400	7846884	0	0	2161764	4192512	7187206	26649042840	11950372
2025-09-01	0	31524928484	0	0	0	0	0	0	0
2025-09-08	0	0	39845888000	42390122588	35273968821	27420262400	0	0	0
2025-09-22	0	0	0	0	20404233	0	0	0	0
2025-10-06	0	60917568	42788502	0	61930269	54070028643	0	46993356	0
2025-10-13	81425281364	74324714292	39691100994	87364886012	48936458358	135378506993	69039150982	68688724204	66741820808
2025-10-20	0	8843580	22411588	0	24693498	0	0	32682736	0
2025-10-27	0	40100100	22477096	0	28524207	0	0	31039280	0
2025-11-03	0	107409300	129625862	0	109972842	0	0	123811216	0
2025-11-10	0	59789856	67889844	0	80138475	0	0	106749260	0
2025-11-17	0	48419616	45347240	0	44966715	0	0	48136868	0
2025-11-24	0	28271304	45936812	0	38939979	0	0	47874836	0
2025-12-01	0	40703748	34927542	0	57868773	0	0	64609252	0
2025-12-08	47839409304	36249204	18743140	0	15929103791	0	0	51805316	0
2025-12-15	4127004	69681564	59697418	7140372	32685474	8450532	18211224	48958596	29667357184
2025-12-22	53434610840	0	0	57594474588	0	0	45994208006	47350659020	46643155120
2025-12-29	0	0	0	0	0	0	0	23157800960	0
2026-01-05	0	60327996	49408736	0	49386996	0	0	74209052	0
2026-01-12	0	0	0	0	0	0	0	0	10485760
2026-01-19	0	24799380	3864972	0	28262175	0	0	5018169152	0
2026-01-26	26159874048	19917984516	25819411040	0	24300450	24637341696	23386909446	40770096	0
2026-02-02	0	21013992	15856862	22932357120	25318548530	0	0	16799924	0
2026-02-09	0	24209808	21236370	0	18701025	0	0	20206340	0
2026-02-16	12315504	29235596	22608112	7025908	16744178	614400	7533420	11529408	11177740
2026-02-23	4639004	20475961860	31673044	3864972	24562482	0	0	8254008	0
2026-03-02	0	7846884	4258020	0	0	4127004	0	0	22141704
2026-03-16	0	17003928	11205794	0	13263861	0	0	28656872	10088232
2026-03-23	4536604	7846884	7078790	7168000	8366442	0	0	7759820	0
