week_start	sub-F1-2/sub-F1-2_ses-20240522.nwb	sub-F1-3/sub-F1-3_ses-20240522.nwb	sub-F1/sub-F1_ses-20240522.nwb	sub-F10/sub-F10_ses-20240522.nwb	sub-F2-2/sub-F2-2_ses-20240522.nwb	sub-F2-3/sub-F2-3_ses-20240522.nwb	sub-F2-4/sub-F2-4_ses-20240522.nwb	sub-F2-5/sub-F2-5_ses-20240522.nwb	sub-F2-6/sub-F2-6_ses-20240522.nwb	sub-F2-7/sub-F2-7_ses-20240522.nwb	sub-F2-8/sub-F2-8_ses-20240522.nwb	sub-F2/sub-F2_ses-20240522.nwb	sub-F3-2/sub-F3-2_ses-20240522.nwb	sub-F3-3/sub-F3-3_ses-20240522.nwb	sub-F3-4/sub-F3-4_ses-20240522.nwb	sub-F3-5/sub-F3-5_ses-20240522.nwb	sub-F3/sub-F3_ses-20240522.nwb	sub-F7/sub-F7_ses-20240522.nwb	sub-F9/sub-F9_ses-20240522.nwb	sub-IS158/sub-IS158_ses-20240522.nwb	sub-IS261/sub-IS261_ses-20240522.nwb	sub-IS262/sub-IS262_ses-20240522.nwb	sub-IS264/sub-IS264_ses-20240522.nwb	sub-M1/sub-M1_ses-20240522.nwb	sub-M2-2/sub-M2-2_ses-20240522.nwb	sub-M2-3/sub-M2-3_ses-20240522.nwb	sub-M2/sub-M2_ses-20240522.nwb	sub-M3-2/sub-M3-2_ses-20240522.nwb	sub-M3-3/sub-M3-3_ses-20240522.nwb	sub-M3/sub-M3_ses-20240522.nwb	sub-M4/sub-M4_ses-20240522.nwb	sub-M945/sub-M945_ses-20240522.nwb	sub-R149/sub-R149_ses-20240522.nwb	sub-R152/sub-R152_ses-20240522.nwb	sub-R155/sub-R155_ses-20240522.nwb	sub-WT002/sub-WT002_ses-20240522.nwb	sub-WT10/sub-WT10_ses-20240522.nwb	sub-WT11/sub-WT11_ses-20240522.nwb	sub-WT5/sub-WT5_ses-20240522.nwb	sub-WT6/sub-WT6_ses-20240522.nwb	sub-WT7/sub-WT7_ses-20240522.nwb	sub-WT8/sub-WT8_ses-20240522.nwb	sub-WT9/sub-WT9_ses-20240522.nwb	sub-WT997/sub-WT997_ses-20240522.nwb	sub-WTPV1/sub-WTPV1_ses-20240522.nwb	sub-WTPV2/sub-WTPV2_ses-20240522.nwb
2024-05-20	1398128	706368	699064	1023648	1810080	699064	1398128	1966120	1267056	1966120	285904	905040	1398128	0	1398128	142952	905040	1928688	905040	178768	268152	178768	3487936	1398128	1611632	0	1810080	1267056	1267056	37106640	12209284	56888	591088	397968	397968	3808424	4376904	137984	218952	137984	765616	206976	137984	170664	59936	59936
2024-05-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204539040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118560240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47967120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	1267056	353184	1267056	1928688	1928688	0	0	0	0	567992	142952	0	1267056	674744	1267056	142952	905040	1023648	1023648	357536	0	178768	3184836	699064	674744	0	905040	567992	567992	0	2413576	56888	0	198984	198984	0	917112	0	0	68992	317272	137984	0	0	59936	29968
2024-07-22	699064	0	0	905040	905040	1398128	0	699064	0	699064	0	0	699064	805816	699064	142952	0	0	0	89384	0	89384	2464864	0	805816	699064	0	699064	699064	0	0	56888	295544	198984	198984	0	0	68992	0	0	0	68992	68992	56888	29968	29968
2024-07-29	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699064	0	0	0	0	0	0	2161764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	0	0	699064	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2143288	0	0	0	0	0	0	0	0	0	0
2024-09-02	0	0	0	0	0	0	0	0	0	699064	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198984	2143288	0	0	72984	0	0	0	0	0	0	0
2024-09-09	0	0	0	0	0	0	0	0	699064	0	0	0	0	0	0	0	1810080	0	0	0	89384	0	4929728	0	0	0	0	699064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29968	0
