week_start	sub-JDS-SingleDay-ER1/sub-JDS-SingleDay-ER1_behavior+ecephys.nwb	sub-JDS-SingleDay-JS14/sub-JDS-SingleDay-JS14_behavior+ecephys.nwb	sub-JDS-SingleDay-JS15/sub-JDS-SingleDay-JS15_behavior+ecephys.nwb	sub-JDS-SingleDay-JS17/sub-JDS-SingleDay-JS17_behavior+ecephys.nwb	sub-JDS-SingleDay-JS21/sub-JDS-SingleDay-JS21_behavior+ecephys.nwb	sub-JDS-SingleDay-JS34/sub-JDS-SingleDay-JS34_behavior+ecephys.nwb	sub-JDS-SingleDay-KL8/sub-JDS-SingleDay-KL8_behavior+ecephys.nwb	sub-JDS-SingleDay-ZT2/sub-JDS-SingleDay-ZT2_obj-1dss6zi_behavior+ecephys.nwb	sub-JDS-SingleDay-ZT2/sub-JDS-SingleDay-ZT2_obj-u40err_behavior+ecephys.nwb
2024-05-06	20105324444	17769492868	19134119928	24270025044	27445651656	23594348864	14896326416	31408435020	27718426596
2024-05-13	0	22064416	0	0	2456070780	0	0	0	0
2024-05-20	0	0	0	0	1974375532	0	0	0	0
2024-05-27	23451864	0	0	71404127264	2919193732	0	0	0	0
2024-06-03	91412332	0	0	0	1519854852	0	0	0	0
2024-06-10	0	0	0	0	288567432	0	0	0	0
2024-06-24	34981272	0	0	0	0	0	0	0	0
2024-07-08	1703936	131016	6027464	7861688	64974018884	0	0	1555704	0
2024-07-15	9257195096	28291364968	0	69991216	96652972	0	32883308572	47112109304	41977536000
2024-07-22	12249996	10088232	33642353128	0	10088232	4716576	8974596	8843580	0
2024-07-29	0	445990808	0	0	0	0	0	0	0
2024-08-05	12577536	28291364968	0	0	0	0	0	0	0
2024-08-19	60018335616	0	0	0	0	0	0	0	0
2024-08-26	122933288	28410622680	33642353128	35702063632	32567514328	81919118128	0	90049713580	53908138507
2024-09-02	30009167808	0	0	0	0	20221624240	0	33051747720	37815356972
2024-09-09	26929265284	5055245312	8350097196	24295051224	52451973400	0	20752221208	0	0
2024-09-16	6157752	8058212	6747324	0	8189228	0	0	0	5854892
2024-09-23	62914560	62914560	62914560	62914560	52428800	62914560	62914560	52428800	52428800
2024-09-30	292135432	0	0	0	0	0	0	0	0
2024-10-14	18866304	0	0	0	0	0	0	0	0
2024-10-28	53117964	42727528	59671500	71448912	52096848	86066584	53051780	82687368	85872192
2024-11-11	51324432	0	0	0	0	0	0	0	0
2024-11-18	47126544	21229648	49617064	43267984	33287092	150097392	28344176	4454544	58087168
2025-02-03	0	0	0	0	0	0	0	22207212	0
2025-02-10	32360952	0	0	32098920	0	0	66687144	0	0
2025-02-24	4127004	0	4127004	4192512	0	4192512	4061496	0	0
2025-03-10	0	0	0	0	0	716800	0	0	0
2025-03-17	0	0	220768280	0	0	0	0	0	0
2025-04-21	104865344	104865344	104865344	104865344	104865344	104865344	104865344	322318248	104865344
2025-05-12	0	10485760	10485760	10485760	0	10485760	10485760	9760692	0
2025-06-09	30009167808	0	33642353128	0	32484552528	40959559064	32802639552	0	41977536000
2025-06-16	0	29347584	0	0	0	0	0	0	0
2025-06-23	74846520	36323592	64762912	84139544	49511088	74758520	46583720	91502496	65485392
2025-07-14	60508736	64011688	80980536	69107272	88195968	86399976	113778704	43409400	85485392
2025-07-28	0	0	0	0	0	0	0	0	27277690212
2025-08-04	489760	23888086168	1006752	18752466544	0	25056250248	21583456840	34245663484	0
2025-08-11	4258020	9426276	18974073692	5663004	11326008	7330020	6121560	3993600	5589220
2025-08-18	0	5505024	0	0	0	0	0	0	0
2025-08-25	991102304	0	0	21231714832	0	0	0	0	0
2025-09-01	30009167808	56582729936	54072648656	71404127264	21893910736	40959559064	0	94224218608	83955072000
2025-09-08	15047065600	0	0	0	0	0	0	0	0
2025-09-22	10402020	12862008	18109524	11326008	17025204	0	0	0	0
2025-09-29	30487312860	27709884	410944028	36048126068	413920560	0	32802639552	47112109304	41977536000
2025-10-06	43214652	185302640	22652016	29058048	31976592	31037040	26575620	31418024	30634316
2025-10-13	28446036	32769564	26713512	19711032	24253524	20323044	28642560	27553052	21636292
2025-10-20	8735004	15249612	8735004	19711032	17054520	13320564	13851504	15434072	16571136
2025-10-27	5794020	17054520	9921024	17578584	9790008	13189548	15453012	9451804	14039752
2025-11-03	70983168	66340788	72403716	49074180	48638064	61084584	53652864	55630168	53597032
2025-11-10	36758676	32369640	40208160	38586024	29451096	36169104	42844044	27419648	49844424
2025-11-17	35353692	15315120	26160132	20759160	38403252	13618788	17470008	26221852	30807412
2025-11-24	21698712	23693268	27499608	24515556	32769564	28023672	20781600	23295032	29408316
2025-12-01	18721536	26182572	39641028	25832592	28577052	35426076	29435532	23884604	21484236
2025-12-08	22848540	4608000	17913000	25570560	27325524	14224212	23438112	13906348	24039048
2025-12-15	40135776	57866803940	47145132	35746850476	32507204544	40996776296	32837141640	31113327960	25690140324
2025-12-22	13941910500	19029934168	33642353128	35702063632	0	40959559064	0	0	0
2025-12-29	0	28291364968	0	0	0	27294433280	0	0	0
2026-01-05	41606268	42268224	33359136	36343188	42399240	36336312	28023672	40413660	39475508
2026-01-12	0	0	0	0	0	0	0	7995097264	3714565920
2026-01-19	11588040	47616473796	33662391700	35711060668	54360488604	14834124	23218564996	47131604872	41987055700
2026-01-26	16066126848	22848540	18311103408	23700144	22768827144	18852552	26975544	26745916	32007596
2026-02-02	17251044	17447568	11326008	18137324592	12512028	23962176	21086700	14563816	12837180
2026-02-09	5728512	15780552	15053088	17316552	13779120	3072000	5728512	9585208	15960524
2026-02-16	989705444	321263140	230711192	409514708	408025192	623136516	204617308	287146416	305432248
2026-02-23	11457024	5990544	21902112	19049076	22557192	11588040	11391516	12837180	20087528
2026-03-02	10677804	0	0	0	0	4454544	0	4520052	520093696
2026-03-09	429392708	29385936	44493408	36054982876	196234044	80745096	33209331896	66818800	113646728
2026-03-16	10700244	14368692	589572	18102648	14565216	9128052	5954352	16791088	28208132
2026-03-23	2256588	11301180	5925036	1536000	0	0	5663004	1363604	851604
2026-03-30	0	0	59546772	0	0	62429124	62887680	55604228	0
2026-04-06	0	8254008	0	1126400	0	0	0	0	0
