week_start	sub-LA11/sub-LA11_ses-1_behavior.nwb	sub-LA11/sub-LA11_ses-2_behavior.nwb	sub-LA11/sub-LA11_ses-3_behavior.nwb	sub-LA11/sub-LA11_ses-4_behavior.nwb	sub-LA12/sub-LA12_ses-1_behavior.nwb	sub-LA12/sub-LA12_ses-2_behavior.nwb	sub-LA12/sub-LA12_ses-3_behavior.nwb	sub-LA12/sub-LA12_ses-4_behavior.nwb	sub-LA3/sub-LA3_ses-3_behavior.nwb	sub-LA8/sub-LA8_ses-1_behavior.nwb	sub-LA8/sub-LA8_ses-2_behavior.nwb	sub-LA9/sub-LA9_ses-1_behavior.nwb	sub-LA9/sub-LA9_ses-3_behavior.nwb	sub-LA9/sub-LA9_ses-4_behavior.nwb	sub-LA9/sub-LA9_ses-5_behavior.nwb
2025-10-20	301583768	551401248	484972052	299184288	566314760	538421868	550569244	249753584	433334476	307261812	249967420	551745660	437717880	523259288	262640992
2025-10-27	486306111	458798304	375393688	473116832	548106620	278633056	439421924	110251228	409940000	394603676	241966140	339536636	267546356	262100996	103120444
2025-11-03	1170910524	1570600268	395716784	270568072	26792772	543708308	269675416	221909624	0	0	0	0	0	0	0
2025-11-10	1131145448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	637515456	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	6354276	7271388	281276740	18604272	293450448	0	269573016	11856948	209127168	314026920	211494680	24041436	19783416	267347552	150261352
2025-12-22	1070028388	0	0	157456464	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	562695112	279570888	263786104	0	0	269673944	269573016	0	135265856	134283236	110705296	578030552	0	0	0
2026-01-12	0	0	527572208	786942192	0	0	808719048	0	0	0	473068832	284231400	659617568	0	754871096
2026-01-19	519182248	158984648	0	0	0	0	206658456	0	0	0	0	0	0	0	0
2026-01-26	1816946608	4192512	294917812	0	816902224	149456344	153584820	301032688	601258848	560688152	136623020	672988668	291213548	135723068	138499804
2026-02-02	57010432	0	0	0	181258192	175302104	0	0	0	193986560	0	189859560	0	0	0
2026-02-09	8162528372	6167436472	0	524628128	4527679656	269673944	269573016	221807224	809257344	300008208	236534416	284231400	252480672	257783384	255118952
2026-02-16	607398508	280594888	276257452	0	569782968	280200392	307200	232399180	10526448	600323616	0	0	252480672	0	255118952
2026-02-23	614400	4639004	4323528	0	8823240	0	5682328	1032824	0	0	0	0	0	5660420	0
2026-03-02	5576312	4258020	925304	5255560	0	1488344	0	0	5020540	4323528	0	5842696	0	4127004	1166952
2026-03-09	0	0	0	262314064	328539721	269673944	269573016	0	202314336	0	237446432	284231400	0	0	255118952
2026-03-16	0	0	0	15590904	0	0	0	0	0	0	4127004	0	0	0	8385024
2026-03-23	303948872	283697892	272171128	262314064	280872912	0	91215808	0	9236628	5602320	0	0	0	0	255118952
2026-03-30	4434204	0	0	0	0	0	917112	9236628	0	307200	0	0	0	0	0
2026-04-06	0	0	0	0	9760692	0	0	0	0	917112	0	0	0	0	0
2026-04-13	0	0	0	0	0	0	6157752	0	4061496	0	0	0	0	0	0
