week_start	sub-G2-09-LP-TDT-AIR/sub-G2-09-LP-TDT-AIR_ecephys.nwb	sub-G2-09-LP-TDT-PBS/sub-G2-09-LP-TDT-PBS_ecephys.nwb	sub-G2-09-TER-TDT-AIR/sub-G2-09-TER-TDT-AIR_ecephys.nwb	sub-G2-09-TER-TDT-PBS/sub-G2-09-TER-TDT-PBS_ecephys.nwb	sub-G2-10-LP-NN-AIR/sub-G2-10-LP-NN-AIR_ecephys.nwb	sub-G2-10-LP-NN-PBS/sub-G2-10-LP-NN-PBS_ecephys.nwb	sub-G2-10-TER-NN-AIR/sub-G2-10-TER-NN-AIR_ecephys.nwb	sub-G2-10-TER-NN-PBS/sub-G2-10-TER-NN-PBS_ecephys.nwb	sub-Gamry-Ref-600-Open-lead/sub-Gamry-Ref-600-Open-lead_ecephys.nwb	sub-Gamry-Ref-600-Short-lead/sub-Gamry-Ref-600-Short-lead_ecephys.nwb
2024-05-13	205856	411712	205856	748584	6381536	205856	617568	411712	411656	205828
2024-05-20	0	0	0	0	9263520	0	0	0	0	0
2024-05-27	0	0	0	0	11733792	0	0	0	0	0
2024-06-03	0	0	0	0	7616672	0	0	0	0	0
2024-06-10	0	0	0	0	2264416	0	0	0	205828	0
2024-07-08	0	0	205856	205856	0	205856	411712	205856	0	205828
2024-07-22	0	0	0	0	0	205856	205856	205856	0	617484
2024-08-26	0	0	0	0	0	205856	0	0	205828	0
2024-09-02	0	0	411712	0	0	0	205856	0	0	205828
2024-09-09	0	0	0	0	0	0	0	205856	0	0
2024-09-16	0	0	205856	205856	205856	205856	0	0	0	0
2024-10-14	0	0	205856	0	0	205856	0	0	0	205828
2024-10-21	205856	0	0	205856	0	0	0	205856	205828	205828
2025-02-24	0	0	0	205856	0	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	0	205856	102400	0
2025-05-05	205856	0	0	0	0	0	0	0	0	0
2025-06-16	205856	205856	205856	205856	205856	205856	205856	205856	205828	205828
2025-07-21	0	0	205856	0	0	0	0	0	0	0
2025-07-28	0	205856	0	0	0	205856	0	0	0	0
2025-08-11	0	0	0	0	0	0	0	205856	0	205828
2025-08-18	205856	0	0	0	0	0	0	0	0	0
2025-09-01	0	205856	0	205856	0	0	0	0	0	0
2025-09-08	0	205856	0	205856	0	0	0	0	0	0
2025-12-15	205856	205856	411712	0	0	411712	411712	0	205828	411656
2025-12-22	0	0	0	0	0	0	205856	0	0	0
2026-01-05	0	0	0	0	0	205856	0	0	0	0
2026-01-12	205856	205856	0	0	0	0	205856	411712	205828	205828
2026-01-19	205856	0	0	0	0	0	0	0	0	0
2026-01-26	0	0	0	0	0	0	0	0	205828	0
2026-02-16	308256	205856	204800	0	308256	0	308256	205856	308228	410628
2026-02-23	0	0	0	411712	205856	0	411712	205856	0	0
2026-03-02	0	0	205856	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	0	205856	0	0	0
