week_start	sub-02/sub-02_image.nwb	sub-03/sub-03_image.nwb	sub-04/sub-04_image.nwb	sub-05/sub-05_image.nwb	sub-07/sub-07_image.nwb	sub-08/sub-08_image.nwb	sub-11/sub-11_image.nwb	sub-12/sub-12_image.nwb	sub-13/sub-13_image.nwb	sub-14/sub-14_image.nwb	sub-15/sub-15_obj-t7o4u3_image.nwb	sub-15/sub-15_obj-znj27w_image.nwb	sub-16/sub-16_image.nwb	sub-17/sub-17_image.nwb	sub-21/sub-21_image.nwb	sub-23/sub-23_image.nwb	sub-24/sub-24_image.nwb	sub-25/sub-25_obj-17bqgcb_image.nwb	sub-25/sub-25_obj-1of0oop_image.nwb	sub-26/sub-26_image.nwb	sub-27/sub-27_image.nwb
2024-06-03	1685019432	235107266	579723074	239623760	570425344	228111313	693108405	224197974	174584992	233660226	174126436	644674580	109758564	132183396	211349818	227353222	242168288	240126900	270011124	171448475	132379920
2024-06-10	0	0	0	0	0	0	138101549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	3571159	5664022	0	1815838	1661842	1618897	5109624	1377441	3406416	1683361	7973127	0	1729586	0	0	6295329	5437164	0	1739520	1647415	7736612
2024-07-22	0	12643044	2161764	0	0	0	10153740	10022724	0	9433152	0	4389036	0	10022724	10022724	0	12905076	12118980	10088232	8057484	12315504
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	342910002	343132488	0	0	0	0	0	0	0
2024-08-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391586615	0
2024-09-02	0	0	0	0	0	0	551409641	1600918148	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-09-09	0	0	561824084	0	0	0	0	0	0	0	255619755	672642912	0	231323880	0	0	0	304187914	226139788	267633232	0
2024-09-16	5929447	6943848	3793658	6008350	4192512	5745901	5820677	8714337	0	4127004	8235159	14290790	0	1689928	0	12256557	8843580	1705434	1739520	1647415	11732600
2024-10-07	99404308	96063400	101500564	0	0	0	96652972	100124896	99928372	99535324	0	0	99797356	101304040	0	97111528	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	0	0	0	0	0	88923028	0	0	0	0	0	0	0	0	0
2024-10-21	5895720	0	2161764	7402404	6157752	0	9826200	12577536	10022724	0	0	16901064	7860960	10219248	0	6747324	0	6747324	11856948	9629676	10284756
2024-12-02	0	0	0	0	0	0	0	333120673	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	4127004	4061496	6026736	0	5895720	0	5699196	4061496	0	0	0	0	0	0	9695184	9695184	4061496	0	0	7009356	0
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4331804	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	582866921	347800737	0	209715200	80393123	0	0	0	0	0	0	292947418	0	339157815	104857600
2025-08-04	0	0	0	157286400	684022674	388019153	0	0	189010825	0	0	419430400	0	290703688	0	0	279781038	0	0	0	0
2025-08-11	0	0	525002390	0	0	0	0	0	0	0	0	0	371247204	0	209715200	157286400	0	0	0	0	0
2025-08-18	700022987	167998402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	262858390	0	0	304179106	0	0	0	0	0	0	157286400	133417288	0	325916389	0	157286400	0	157286400	0
2025-09-01	0	0	0	389920086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	167998402	0	0	0	0	0	0	0	0	0	547890278	0	0	0	0	0	0	108563200	0	0
2025-10-06	0	9695184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	7009356	755427204	9891708	789404340	946166674	404789201	1915655486	1114503330	405211317	786782330	348432843	923211394	351164010	693208824	346451401	756690378	779168984	0	386494628	395713619	401082004
2025-12-29	0	0	0	0	0	0	567138281	0	0	0	0	0	0	0	153124401	0	193986560	0	0	0	0
2026-01-12	10485760	0	0	389920086	0	0	0	789973314	398726025	391360417	0	0	0	0	0	10485760	779763036	0	0	0	0
2026-01-19	600408267	0	0	0	534773760	0	0	0	0	267386880	0	0	0	0	0	0	0	418776538	0	0	241172480
2026-01-26	0	173015040	0	0	0	241218513	0	0	251925385	0	237679523	479732838	175137842	175360328	0	173015040	0	0	140020480	223814455	0
2026-02-02	0	0	483059350	211662166	0	0	0	0	0	0	0	0	0	0	0	0	0	261490138	0	0	0
2026-02-16	204800	369602	10284756	4192512	409600	14428312	10489556	4462820	204800	0	409600	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	0	4192512	0	0	6163665	0	0	0	0	0	0	5467498	0	0	1410789	0	0	5776328	0	1595188
2026-03-02	0	0	0	4389036	0	0	4389036	4847592	4454544	1421217	0	0	0	0	0	0	0	1414618	0	4258020	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	1893478	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	0	0	3733956	0	0	0	0	0	0	8909088	0	9891708	0	0	0	0
2026-03-23	204800	0	0	0	5648140	0	1375668	0	59284740	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	0	6166028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
