week_start	sub-c3-4-0V/sub-c3-4-0V_ses-100kHz-stimulation-4-0V_image.nwb	sub-c3-4-5V/sub-c3-4-5V_ses-100kHz-stimulation-4-5V_image.nwb	sub-c3-4-8V/sub-c3-4-8V_ses-100kHz-stimulation-4-8V_image.nwb	sub-c3-5-0V/sub-c3-5-0V_ses-100kHz-stimulation-5-0V_image.nwb	sub-c3-5-35V/sub-c3-5-35V_ses-100kHz-stimulation-5-35V_image.nwb	sub-c3-6-05V/sub-c3-6-05V_ses-100kHz-stimulation-6-05V_image.nwb	sub-c4-4-4V/sub-c4-4-4V_ses-100kHz-stimulation-4-4V_image.nwb	sub-c4-4-55V/sub-c4-4-55V_ses-100kHz-stimulation-4-55V_image.nwb	sub-c4-5-2V/sub-c4-5-2V_ses-100kHz-stimulation-5-2V_image.nwb	sub-c4-5-8V/sub-c4-5-8V_ses-100kHz-stimulation-5-8V_image.nwb
2024-05-20	6156997	3696557	2131085	2161970	2169905	2160620	2160105	2156010	2154680	2153475
2024-06-10	0	0	0	0	0	0	0	0	430936	0
2024-06-17	429536	426228	426217	432394	433981	432124	432021	431202	430936	430695
2024-06-24	2577216	1704912	1704868	1729576	1735924	1728496	1728084	1724808	1723744	1722780
2024-07-08	1288608	852456	852434	864788	867962	864248	864042	862404	861872	861390
2024-07-22	429536	426228	426217	432394	433981	432124	432021	431202	430936	430695
2024-08-26	0	426228	426217	0	0	0	0	0	0	0
2024-09-02	859072	0	426217	0	0	0	0	0	0	430695
2024-09-09	0	426228	0	0	433981	0	0	0	430936	0
2024-09-16	859072	852456	852434	864788	867962	864248	864042	862404	861872	861390
2024-10-07	429536	0	0	0	0	0	0	0	0	0
2024-10-14	0	0	0	432394	0	0	0	431202	430936	0
2024-10-21	429536	426228	426217	432394	433981	432124	864042	431202	430936	430695
2024-11-04	0	0	0	0	1735924	0	0	0	0	0
2024-11-11	0	1278684	0	0	0	0	0	0	0	0
2024-11-25	0	0	0	0	0	0	0	0	1292808	0
2024-12-09	429536	0	0	0	0	0	0	0	0	0
2025-02-17	0	0	0	0	433981	0	0	0	0	0
2025-03-31	429536	0	0	432394	0	0	0	0	0	430695
2025-07-28	429536	0	0	0	0	0	432021	0	0	0
2025-08-04	0	0	426217	0	0	432124	0	431202	430936	0
2025-08-11	0	0	0	432394	433981	0	0	0	0	0
2025-08-18	0	426228	0	0	0	0	0	0	0	430695
2025-08-25	0	0	0	0	0	0	0	431202	0	0
2025-09-01	0	0	0	0	433981	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	430936	0
2025-10-06	0	1704912	0	0	0	0	0	0	0	0
2025-11-24	0	0	0	0	433981	0	0	0	0	0
2025-12-15	1718144	1704912	2131085	1729576	1735924	1728496	1728084	1724808	1723744	1722780
2025-12-22	429536	0	0	0	0	0	0	0	0	430695
2025-12-29	0	0	0	432394	0	432124	0	0	0	0
2026-01-05	0	426228	0	0	0	0	432021	0	0	0
2026-01-12	1288608	1278684	1278651	1297182	1301943	1296372	1296063	1293606	1292808	1292085
2026-01-19	0	0	0	0	433981	0	0	0	0	0
2026-01-26	0	0	0	0	0	0	0	431202	430936	0
2026-02-16	1268672	1262056	1262034	1274388	1277562	1273848	1273642	1272004	1271472	1270990
2026-02-23	1268672	1262056	2438285	2036776	1277562	1523696	761642	760004	0	758990
2026-03-02	756672	750056	0	0	765562	0	0	0	759472	0
2026-03-09	0	0	0	0	0	0	0	0	0	758990
2026-03-16	859072	0	852434	864788	0	864248	0	0	0	861390
2026-03-23	429536	631028	631017	2799164	2169905	0	0	431202	0	0
2026-03-30	1718144	426228	426217	637194	638781	0	432021	431202	0	0
2026-04-06	0	0	0	0	0	0	432021	0	0	0
2026-04-13	0	852456	0	0	433981	864248	864042	0	1723744	0
2026-04-20	859072	0	852434	864788	0	1296372	0	0	0	861390
2026-05-11	756672	0	426217	0	0	0	0	0	0	0
2026-05-18	1288608	0	2028685	1297182	765562	1296372	0	0	0	2051075
2026-05-25	1268672	2438340	1688251	1274388	1277562	2035696	2035284	2032008	2030944	1270990
2026-06-01	0	0	1262034	1627176	0	0	0	0	0	0
2026-06-08	634336	631028	631017	637194	2374705	636924	0	1520008	0	0
2026-06-15	0	0	0	1957170	0	0	1523284	0	0	0
