week_start	sub-m-20210315-PTV-BPN-BPH/sub-m-20210315-PTV-BPN-BPH_ses-m-20210315-PTV-BPN-BPH-M1-particles_image.nwb	sub-m-20210524-PTV-BPN-BPH/sub-m-20210524-PTV-BPN-BPH_ses-m-20210524-PTV-BPN-BPH-1-Normal-Pressure-particles-down_image.nwb	sub-m-20210525-PTV-BPN-BPH/sub-m-20210525-PTV-BPN-BPH_ses-m-20210525-PTV-BPN-BPH-Normal-Pressure-particles-up_image.nwb	sub-m-20210526-PTV-BPN-BPH/sub-m-20210526-PTV-BPN-BPH_ses-m-20210526-PTV-BPN-BPH-particles-up-001_image.nwb	sub-m-20210527-PTV-BPN/sub-m-20210527-PTV-BPN_ses-m-20210527-PTV-BPN-1-Normal-Pressure-particles-up_image.nwb	sub-r-22-07-06-rat2/sub-r-22-07-06-rat2_ses-r-22-07-06-rat2-Particles-down-2x_image.nwb	sub-r-22-07-06-rat2/sub-r-22-07-06-rat2_ses-r-22-07-06-rat2-Particles-up-1x-001_image.nwb	sub-r-22-07-06-rat2/sub-r-22-07-06-rat2_ses-r-22-07-06-rat2-Particles-up-1x_image.nwb	sub-r-22-07-06-rat2/sub-r-22-07-06-rat2_ses-r-22-07-06-rat2-Particles-up-2x-001_image.nwb	sub-r-22-07-06-rat2/sub-r-22-07-06-rat2_ses-r-22-07-06-rat2-zstasck-up-1x_image.nwb	sub-r-22-08-26-rat4/sub-r-22-08-26-rat4_ses-r-22-08-26-rat4-2-particles-up_image.nwb	sub-r-22-08-26-rat4/sub-r-22-08-26-rat4_ses-r-22-08-26-rat4-3-particles-down_image.nwb	sub-r-22-08-26-rat4/sub-r-22-08-26-rat4_ses-r-22-08-26-rat4-5-Zstack-up_image.nwb	sub-r-22-08-26-rat4/sub-r-22-08-26-rat4_ses-r-22-08-26-rat4-6-particles-up-001_image.nwb	sub-r-22-08-26-rat4/sub-r-22-08-26-rat4_ses-r-22-08-26-rat4-7-Zstack-down_image.nwb	sub-r-22-08-26-rat4/sub-r-22-08-26-rat4_ses-r-22-08-26-rat4-8-Particles-down-001_image.nwb	sub-r-23-03-31/sub-r-23-03-31_ses-r-23-03-31-Zstack-down_image.nwb	sub-r-23-03-31/sub-r-23-03-31_ses-r-23-03-31-Zstack-up_image.nwb	sub-r-23-03-31/sub-r-23-03-31_ses-r-23-03-31-particles-down-64min_image.nwb	sub-r-23-03-31/sub-r-23-03-31_ses-r-23-03-31-particles-up-33min_image.nwb	sub-r-23-03-31/sub-r-23-03-31_ses-r-23-03-31-particles-up2-50min_image.nwb	sub-r-23-09-05/sub-r-23-09-05_ses-r-23-09-05-particles-art1-up-101min_image.nwb	sub-r-23-09-05/sub-r-23-09-05_ses-r-23-09-05-particles-art2-down-79min_image.nwb	sub-r-23-09-05/sub-r-23-09-05_ses-r-23-09-05-particles-art2-up-65min_image.nwb	sub-r-23-09-05/sub-r-23-09-05_ses-r-23-09-05-zstack-art1-up-118min-001_image.nwb	sub-r-23-09-05/sub-r-23-09-05_ses-r-23-09-05-zstack-art2-down-92min_image.nwb	sub-r-23-09-05/sub-r-23-09-05_ses-r-23-09-05-zstack-art2-up-97min_image.nwb	sub-r-23-09-25/sub-r-23-09-25_ses-r-23-09-25-particles-art1-down-71min_image.nwb	sub-r-23-09-25/sub-r-23-09-25_ses-r-23-09-25-particles-art1-up-58min_image.nwb	sub-r-23-09-25/sub-r-23-09-25_ses-r-23-09-25-zstack-art1-down-80min_image.nwb	sub-r-23-09-25/sub-r-23-09-25_ses-r-23-09-25-zstack-art1-up-68min_image.nwb	sub-r-24-04-28/sub-r-24-04-28_ses-r-24-04-28-Zstack-art1-bright_image.nwb	sub-r-24-05-05/sub-r-24-05-05_ses-r-24-05-05-Particles-001_image.nwb	sub-r-24-05-05/sub-r-24-05-05_ses-r-24-05-05-Particles-002_image.nwb	sub-r-24-05-05/sub-r-24-05-05_ses-r-24-05-05-Particles-later-001_image.nwb	sub-r-24-05-05/sub-r-24-05-05_ses-r-24-05-05-Particles-later-002_image.nwb	sub-r-24-05-05/sub-r-24-05-05_ses-r-24-05-05-Particles-later_image.nwb	sub-r-24-05-05/sub-r-24-05-05_ses-r-24-05-05-Particles_image.nwb	sub-r-24-05-05/sub-r-24-05-05_ses-r-24-05-05-Zstack-001_image.nwb	sub-r-24-05-05/sub-r-24-05-05_ses-r-24-05-05-Zstack-002_image.nwb	sub-r-24-07-31-rat2/sub-r-24-07-31-rat2_ses-r-24-07-31-rat2-particles-downstream-001_image.nwb	sub-r-24-07-31-rat2/sub-r-24-07-31-rat2_ses-r-24-07-31-rat2-particles-downstream-bifu_image.nwb	sub-r-24-07-31-rat2/sub-r-24-07-31-rat2_ses-r-24-07-31-rat2-particles-downstream_image.nwb	sub-r-24-07-31-rat2/sub-r-24-07-31-rat2_ses-r-24-07-31-rat2-zstack-downstream-bifu_image.nwb	sub-r-24-07-31-rat2/sub-r-24-07-31-rat2_ses-r-24-07-31-rat2-zstack-upstream_image.nwb	sub-r-24-07-31/sub-r-24-07-31_ses-r-24-07-31-Zstack-downstream2_image.nwb	sub-r-24-07-31/sub-r-24-07-31_ses-r-24-07-31-Zstack-upstream_image.nwb	sub-r-24-07-31/sub-r-24-07-31_ses-r-24-07-31-particles-downstream-001_image.nwb	sub-r-24-07-31/sub-r-24-07-31_ses-r-24-07-31-particles-downstream_image.nwb	sub-r-24-07-31/sub-r-24-07-31_ses-r-24-07-31-particles-upstream-001_image.nwb
2025-06-02	9761471838	4768987364	6473846142	6777965685	4794485341	8717598097	4594596532	7732262244	7442420407	264235776	10963710548	9743212487	310720088	11266529314	312451438	15441015447	561732265	558168399	9669881685	8940923790	7234918960	16090557583	17657118916	16234604496	338095548	704442964	618850092	5347866824	10914928578	209515092	562922049	361851386	7553308409	7322340063	7092300656	8493852045	9353097812	5565708600	294003899	306051384	7766033013	9705353840	3791255879	369121648	352321536	498409261	180287772	7130107628	8044540472	6664472444
2025-06-09	5391454	0	7344858	7639897	6293269	3672921	4389036	1912950	7846314	4903792	4782084	9541887	0	3448582	475868	4127004	4389036	4587515	4127004	4323528	6495860	8219427	15628768	7694260	7795452	223134	177177	7328895	9345130	0	4555217	4286858	0	6492555	6261658	7529673	6155762	1869409	207775	0	8666925	4127004	6684519	4350008	4568825	4454544	6026736	5970298	0	8111156
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	262144000	0	0	0	0	0	7235174400	0	0	0	0	14036670908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	2097152	2097152	0	2097152	0	0	2097152	6013792374	2097152	0	2097152	2097152	0	2097152	0	0	0	734003200	0	2097152	2097152	12846527263	14679163076	0	0	0	0	9175040000	0	314037555	0	0	0	7759462400	2097152	2097152	2097152	2097152	0	0	2097152	2097152	4063954731	0	0	0	0	6536765506	7811891200	0
2025-08-04	0	0	0	0	0	0	0	0	0	0	0	0	0	13002342400	0	0	0	0	0	0	6145713664	0	0	0	367001600	0	0	0	0	0	0	0	0	0	0	10538188800	0	0	0	0	0	0	0	499345180	314572800	510864741	0	0	0	0
2025-08-11	9813902430	9810029611	0	5089761909	0	7209880409	0	0	0	0	11403435608	14257565975	0	0	104857600	0	629145600	0	0	6396313600	0	0	0	0	0	0	773108761	0	0	0	0	0	0	0	6134169600	0	10770613518	7258539617	52428800	0	6885296473	6868172800	0	0	0	0	262144000	0	0	5322230552
2025-08-18	0	0	0	0	0	0	4909105616	0	0	0	0	0	0	0	0	12058624000	0	0	0	0	0	0	0	0	0	0	0	0	10052673358	0	0	0	0	0	0	0	0	0	0	252746451	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382076723	0	0	0	0	0	0	588516483	0	0	10704051211	0	0	0	0	0	0	0	0	0	0	0	0	9873738073	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	4481751850	0	0	6213733209	0	0	0	209715200	0	9617383367	0	0	0	0	0	0	0	7602176000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8254686817	0	0	0	0	0	289629980	0	0	0	9594470400	0	0
2025-09-08	0	0	0	0	5148839417	0	0	0	8778571847	0	0	0	0	0	0	0	0	0	0	0	0	12949913600	14310064324	0	0	329213854	0	0	11677966158	0	524288000	367001600	7972806109	0	0	0	0	0	0	252746451	0	0	0	0	0	0	0	0	0	0
2025-09-22	0	0	0	0	0	9203033	4958928	7288652	0	4523646	0	0	11919892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	808030	5794248	4968304	5705222	2161764	10120145	1532832	1523948	10805889	11601044	8254008	6371218	4517488	5961428	4487818	5663874	8796645	6153442	7001329	8319516	9111580	5635930	5642944	4900844	4782084	4599966	9110925	5051631	2943922	386355	383269	8778072	5150345	5276043	4889582	789589	4906482	5837472	9242914	12381012	6315452	5919388	6620190	8603988	8254008	8254008	5166724	9941824	760690	4936756
2025-10-13	8188500	4960626	9095308	10028750	6603471	5828530	10048872	761974	9060963	5182320	5044028	8254008	9034976	14346452	9106652	1536870	4950246	8319516	5683142	4127004	7872896	5766946	790724	4900844	8973006	9592980	9045417	4920615	5756828	6288768	9217070	8254008	9015317	5638986	8254008	789589	9098994	7209510	396191	5104716	864946	830684	4958066	0	8916985	10955222	9162712	4970912	3683144	5746508
2025-10-20	4716576	4960626	5099320	789109	781817	818009	9937536	0	4913100	4720170	4192512	794567	4517488	0	4127004	0	4127004	4127004	4389036	5032166	4389036	0	5245268	4900844	4977018	4061496	0	0	4909162	772710	4510273	4495754	5412377	4520052	5413646	5178625	4906482	4916730	396191	456102	864946	4957688	4958066	4127004	4658965	0	454352	5232944	0	4651068
2025-10-27	4935034	4960626	0	4127004	7664436	818009	0	4888978	4868451	396642	786008	4921571	4582996	4127004	4487818	4895439	411621	0	778069	0	4919068	4127004	0	4127004	456966	4127004	0	4920615	782158	386355	4510273	368750	5084837	755991	0	4982101	4585560	0	4850735	0	4991950	0	10264214	4476984	0	4789777	0	4970912	0	809752
2025-11-03	45442088	49838748	57312880	47326906	51900775	49843178	35832600	50386058	33251343	41888364	55680744	41403316	38170652	47953056	37312526	39443205	63316869	36785326	42098855	52650290	34123840	51762530	41311692	46007328	26583528	40635888	42300477	53587671	38298552	51036003	40556286	42926792	55777404	37497066	44595810	46204098	50578122	38154696	40774263	43669296	32074640	44923064	36716668	43371732	34077622	45924837	45171092	44942428	35120260	49189232
2025-11-10	41117972	47778456	36722760	17312190	30968168	33340208	33749556	48151928	39471672	28259106	37600712	34377018	37578516	43628928	36589858	39735423	27774387	28273596	36570810	45736100	35815112	18409990	41774876	42768696	39483834	28502502	32665488	39175911	48775894	44878251	41257316	23240568	31245544	52558608	40164784	33116470	29183478	14306154	33300065	19179120	35061324	28569732	37760914	36864000	24636573	35879034	37240420	32430400	31069474	28941800
2025-11-17	23452158	20563092	11815732	26024754	22124588	29310625	24074052	13022376	33754548	20652990	24761584	15821312	19120644	27088058	10582142	26114895	23366778	22906250	18113608	15477596	20795876	26964389	21116716	15476372	18335880	26821584	18101460	21728238	14392070	10185783	18630664	19399894	15753788	20615511	17415036	24320933	13127400	12530178	24253675	18332424	18761972	23258088	24921346	13496460	14647769	28353307	14652772	21767988	21883658	13112520
2025-11-24	29719286	14816370	34602212	19857963	21329934	16308128	12675660	28792540	24669795	22880262	24434132	16279868	19312040	20438896	18114522	17188146	21785802	18849064	12168434	26065992	26900056	12615895	21233848	17298340	15581364	22629072	5387595	20934627	19636648	22652382	26753656	14224762	18423682	23296041	15651366	21566104	17319912	25944798	24390977	23898150	24540018	21623136	26210964	13496460	27880385	17972271	23046204	30808092	16905050	28370424
2025-12-01	19783710	15864498	20659312	30806838	21072181	15031563	31194744	16452914	18514974	15881688	22796608	21799482	26389468	31149754	18639626	28490844	35710644	20731556	30453193	15030990	31390268	24569984	26750404	25224808	14536416	18450966	27605433	21123636	25917540	27106926	28820575	24002366	27872768	19627593	5652160	23989900	16802466	14171508	20067449	15314148	25287290	18562432	24679856	14523960	31483325	18904769	20675304	25255304	22356910	19788876
2025-12-08	10459640	19270914	11236464	22013701	15442772	23253658	15224004	21103982	13843047	9636864	14804544	16681387	496768904	14673992	21553172	17866023	10443129	17744048	7907481371	13167108	20992400	20935411	13171736	15167311196	22204032	13734390	18822048	22375803	17802424	19167072	17742889	10449596	9080825	11177061	16020896	14222222	11371920	18411378	12381012	14663976	20085474	25378012	7451252	18759540	10119820	13240309	18076004	20014664	4564140	17019344
2025-12-15	13259835166	41293164	52551404	10206221829	8002302892	10135384483	35714796	10034348614	21415254	687677414	33670672	19113654	14398940	32787454	537913160	30438423	36075330	825976945	39788729	11237895486	11843279304	37608318	29436232	36086880	33139098	952607684	46602753	45515157	29524418	797309262	28335627	752946272	43553967	11299331493	32439886	20152112615	40909410	11122289875	32245651	447556665	34864800	41230948	25183378	44004372	647254159	656448967	655482448	11441632270	11440947848	28399540
2025-12-22	0	0	0	0	0	0	0	0	0	0	18586181208	0	0	19692953350	0	19429734835	0	0	0	0	0	0	21650096324	0	0	0	0	15422643211	15557697358	0	0	0	0	0	0	0	8874947798	0	0	0	0	0	3639281451	0	0	0	0	0	0	6695865112
2025-12-29	0	0	0	0	0	0	6668943360	0	0	0	0	0	0	0	319815680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356087656	0	0	0
2026-01-05	9447571706	42799848	33947132	32781117	31151855	35565798	30651000	27147982	30803757	27531330	11626532196	30512046	18135460	29380838	22832138	17760057	520216555	29055382	29438465	38196922	7332717200	18902421	25903428	21976077876	32742870	32592810	23685579	33912726	25852032	26052105	28745288	24550728	23811272	35248602	6640475916	36912441	25646046	21504774	32055413	19506660	35205682	30642320	29703430	24001992	28166108	444322144	19369348	25763976	25788732	16757312
2026-01-12	14752760856	13575282236	0	0	0	0	0	0	0	0	0	0	513557844	0	0	0	635236052	0	2743966840	17475354964	0	0	0	11991888472	0	2717791962	0	0	0	1403486105	0	1420615900	0	0	0	6178183808	15668693112	6491090236	0	0	0	0	7317850872	1218891320	0	1836681263	0	0	7769078636	14311387964
2026-01-19	15678640	7183755524	12960280	6390066216	10538230	1636018	13278444	14887580	16460436	17628840	11529056	10432714	12370756	14084420	14118534	15520260	9900492	10337334	14395706	15293022	15870840	18999562	15469144	19026060	10081872	14665908	12844881	18357270	14207360	17411742	13484869	17835088	8392105	9962514	15847890	10950315	9295518	10554048	233770545	17941830	15054700	8542589894	20421836	8866020	9579962	4920793	14010304	17321140	9840896	18038356
2026-01-26	11486128	28293036	6864826616	19729960	23963091	5660730863	25495548	6120164962	19714977	404086254	18800532	8607013722	9425460	13010342912	13233656	11127293839	5838996	369394886	11243295	7902389118	19866828	22536994	15347384	20389472	355255801	542861576	646570512	31874463	8806121832	14574819	506689079	316523934	5989710217	7297611942	15496832	10688283	14457414	4866897624	14620856	231135674	14110904	9915376	20159804	288359792	412440435	10978301	13748272	19432788	7214610436	24529108
2026-02-02	9127546	9218646	16204768	14024738	3894015661	10086550	14241384	13667050	6067532983	9574950	18276556	5716138	13361068	15001532	13102640	13983390	6232044	9555548	10137686	16639032	13369600	14236742069	12163549496	11611400	6347916	13668882	13177734	9064819054	13879820	17608266	13278566	10735926	10865475	6657009	9713656	10622775	15636558	9502290	9046390	10146378	6575595709	4651068	13736138	17666532	13845879	9390723	9101408	6152369102	9145714	10135544
