week_start	sub-Rat406/sub-Rat406_ses-Rat406-PFC.nwb	sub-Rat424/sub-Rat424_ses-Rat424-MFB.nwb	sub-Rat425/sub-Rat425_ses-Rat425-MFB.nwb	sub-Rat438/sub-Rat438_ses-Rat438-MFB.nwb	sub-Rat439/sub-Rat439_ses-Rat439-MFB.nwb	sub-Rat445/sub-Rat445_ses-Rat445-MFB.nwb	sub-Rat458/sub-Rat458_ses-Rat458-PFC.nwb	sub-Rat463/sub-Rat463_ses-Rat463-PFC.nwb	sub-Rat467/sub-Rat467_ses-Rat467-PFC.nwb	sub-Rat482/sub-Rat482_ses-Rat482-PFC.nwb	sub-Rat495/sub-Rat495_ses-Rat495-PFC.nwb	sub-Rat504/sub-Rat504_ses-Rat504-MFB.nwb	sub-Rat506/sub-Rat506_ses-Rat506-MFB.nwb	sub-Rat511/sub-Rat511_ses-Rat511-MFB.nwb	sub-Rat513/sub-Rat513_ses-Rat513-MFB.nwb
2024-06-10	3014958	7556536	2333896	27617656	10238596	9823248	4265008	2240896	1753056	1523208	4826776	4382376	0	0	0
2024-06-17	0	0	0	0	0	0	0	0	0	0	0	6359856	0	0	0
2024-06-24	0	0	0	7325048	0	0	0	0	0	0	0	0	0	0	0
2024-07-01	0	0	2596040	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	1197024	2078896	2333896	6273896	6314004	2356836	1234144	739072	1318512	565024	1380208	1202448	0	0	0
2024-07-15	0	1825880	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-22	271920	1825880	519208	6616308	2161764	2161764	1010288	500608	403040	413584	1148856	1059976	0	0	0
2024-08-12	0	0	519208	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	543840	0	0	7325048	2609032	0	0	0	0	0	0	0	0	0	0
2024-09-02	1359600	0	0	36625240	7827096	0	0	0	0	0	0	0	0	0	0
2024-09-09	0	0	3634456	0	0	0	0	0	403040	413584	0	0	0	0	0
2024-09-16	412768	2078896	776272	7572208	2858768	2356836	1234144	739072	543936	565024	1380208	1202448	0	0	0
2024-09-23	0	1825880	519208	7325048	2609032	2423296	2020576	0	0	0	1148856	1059976	0	0	0
2024-09-30	271920	3651760	0	0	0	2423296	0	500608	0	0	0	0	0	0	0
2024-10-07	441440	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	271920	1825880	519208	7325048	2161764	2161764	1010288	500608	403040	413584	1148856	1059976	0	0	0
2024-10-28	543840	5477640	1038416	21975144	7827096	7269888	3030864	1001216	806080	827168	3446568	3179928	0	0	0
2024-11-11	0	0	0	7325048	2161764	0	0	0	403040	413584	1148856	1059976	0	0	0
2024-11-18	1087680	7303520	2076832	23559184	9541592	9431652	4041152	2002432	1612160	1654336	4595424	4239904	0	0	0
2024-12-02	0	0	0	7325048	2609032	0	0	0	0	0	0	0	0	0	0
2024-12-09	0	0	0	597248	0	0	0	0	0	0	0	0	0	0	0
2024-12-16	240424	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	271920	1825880	519208	7325048	2609032	2423296	1010288	500608	403040	413584	1148856	1059976	0	0	0
2025-03-03	240424	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-05	271920	0	519208	0	0	0	0	0	0	0	0	0	0	0	0
