week_start	sub-Dory/sub-Dory_ses-2021-05-19-001_ecephys.nwb	sub-Dory/sub-Dory_ses-2021-05-19-002_ecephys.nwb	sub-Dory/sub-Dory_ses-2021-05-19-003_ecephys.nwb	sub-Dory/sub-Dory_ses-2021-05-19-004_ecephys.nwb	sub-Dory/sub-Dory_ses-2021-05-19-005_ecephys.nwb	sub-Dory/sub-Dory_ses-2021-05-19-006_ecephys.nwb	sub-KP/sub-KP_ses-2019-07-22-005_ecephys.nwb	sub-KP/sub-KP_ses-2019-07-22-006_ecephys.nwb	sub-KP/sub-KP_ses-2019-10-21-002_ecephys.nwb	sub-KP/sub-KP_ses-2019-10-21-003_ecephys.nwb
2024-06-17	298944130	82229876	55306672	61034532	42001380	33874804	41943040	37038641	65940957	42628938
2024-06-24	0	0	0	0	0	0	108812323	95758897	109918329	87719946
2024-07-01	10022724	0	0	0	0	0	0	0	0	0
2024-07-08	0	4389036	403388	5109624	0	0	5764704	0	5633688	425994
2024-07-22	984150108	8843580	11070852	11856948	59599889	0	227712878	191517794	0	8843580
2024-07-29	0	0	0	0	0	0	0	0	109918329	0
2024-08-05	483493506	0	0	0	0	0	0	0	0	0
2024-08-26	0	0	0	107835244	0	0	0	0	0	87719946
2024-09-02	483493506	0	0	0	0	0	20971520	0	0	0
2024-09-09	0	0	0	0	7171089	0	0	11872817	0	0
2024-09-16	4882222	836964	4857932	356204	355345	377515	6747324	0	0	4880538
2024-10-07	100321420	0	0	0	0	0	0	0	0	0
2024-10-21	0	8843580	8581548	0	10219248	10022724	8319516	11594916	0	0
2024-10-28	6391426	8151730	6170556	8220524	7171089	9814699	9197603	6629937	10303609	9076746
2024-11-11	483493506	0	95299516	107835244	59599889	36029099	108812323	95758897	109918329	87719946
2024-11-18	0	14739300	0	0	0	0	22664289	0	0	0
2024-11-25	0	0	0	0	0	0	9302136	0	0	0
2024-12-02	226492416	0	0	0	0	0	0	0	58720256	0
2025-03-10	0	0	0	0	4061496	0	0	219697	4520052	0
2025-07-28	262144000	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	59599889	0	0	0	0	0
2025-09-22	4192512	307890	374716	0	310289	0	0	0	0	0
2025-10-06	11279208	4808292	10153740	4757492	5026865	5111326	0	4127004	4477333	0
2025-10-13	4998632	4500402	2161764	4757492	310289	393899	0	4449101	350329	2161764
2025-10-20	370306	4127004	4501720	0	4520052	4455395	0	322097	0	4127004
2025-10-27	4454544	0	0	4127004	0	0	0	322097	4323528	0
2025-11-03	28097496	13828746	26963144	28344400	39904631	27913216	36069649	32333737	34027159	21798464
2025-11-10	17923732	26629014	23276364	21097604	19710916	26798729	38429404	25635592	22603119	10445278
2025-11-17	16482556	14287302	18483768	26678080	22482999	9040955	7771660	13352746	4673857	18588572
2025-11-24	1481224	13874604	21646484	18346268	22941555	8844431	20588903	9673412	13497507	23415862
2025-12-01	17989240	18171924	26970964	13916316	9495164	18343942	21986896	9416823	22734135	21466322
2025-12-08	4759342	4742784	8563216	8962300	14460017	12643895	9097854	9673412	9085682	9589072
2025-12-15	755836742	6170868	130469492	30686364	145171952	21949435	228431999	112982058	19327719	118755038
2025-12-22	0	0	0	0	0	0	0	0	47185920	0
2025-12-29	0	0	0	0	0	0	62914560	0	0	47185920
2026-01-05	17749950	17890242	78760180	22223536	17962947	23587986	23078207	14269858	18541623	12839568
2026-01-12	966987012	165438130	180113272	0	0	10485760	0	0	308783467	0
2026-01-19	17097588	4808292	10586144	68118312	8826329	9107314	8624731	12643044	14437408	8909088
2026-01-26	18513304	78274120	14469448	4900804	17227059	5636241	17206279	50702543	14263673	13695774
2026-02-02	4787958	9328344	4941944	4757492	310289	4914802	9214303	13352746	4477333	4499750
2026-02-09	4824850	615780	4501720	4127004	4682074	4782084	5130482	322097	13255405	372746
2026-02-16	17032080	204800	107351208	8565232	0	8647907	4127004	526897	11791440	91912458
2026-02-23	9279394	13606014	1124148	4573264	13215365	8647907	4497727	4127004	1050987	745492
2026-03-02	4824850	0	0	6943848	0	0	4127004	0	0	4499750
2026-03-09	0	0	374716	0	0	0	0	0	0	0
2026-03-16	6089526	180424292	101242412	1101340	61303097	8647907	960295	4716576	9433152	13040694
2026-03-23	0	0	374716	0	0	0	0	0	4323528	0
