week_start	sub-ControlMouse/sub-ControlMouse_ses-20230201_behavior.nwb	sub-MutantMouse/sub-MutantMouse_ses-20221220_behavior.nwb
2024-08-26	26984860	27170252
2024-09-02	23255720	12048180
2024-09-16	6906468	7326620
2024-10-07	0	4698108
2024-10-14	11627860	0
2024-10-21	11627860	11070852
2024-10-28	11627860	12048180
2024-12-02	11627860	0
2025-02-10	57733484	23891140
2025-02-24	9891708	7336896
2025-07-28	0	12048180
2025-08-11	11627860	0
2025-08-18	66021860	12048180
2025-08-25	7854000	0
2025-09-08	0	12048180
2025-09-15	11627860	0
2025-09-29	3050462184	11136360
2025-10-06	0	17339068
2025-12-15	38322560	38508120
2025-12-22	11627860	0
2026-01-12	34883580	0
2026-02-02	0	12048180
2026-02-16	12725104	12606108
2026-02-23	4425356	0
2026-03-02	0	4501584
2026-03-16	21650584	0
2026-03-23	36741108	18268368
2026-03-30	16156188	4501584
2026-04-06	4528328	4632600
2026-04-13	14483860	36144540
2026-04-20	40837496	12048180
2026-04-27	34883580	12048180
2026-05-11	11627860	5109624
