week_start	sub-124/sub-124_ses-3_behavior+ophys.nwb	sub-125/sub-125_ses-1_behavior+ophys.nwb	sub-126/sub-126_ses-1_behavior+ophys.nwb	sub-134/sub-134_ses-22_behavior+ophys.nwb	sub-134/sub-134_ses-6_behavior+ophys.nwb	sub-141/sub-141_ses-1_behavior+ophys.nwb	sub-141/sub-141_ses-5_behavior+ophys.nwb	sub-141/sub-141_ses-8_behavior+ophys.nwb	sub-148/sub-148_ses-2_behavior+ophys.nwb	sub-148/sub-148_ses-3_behavior+ophys.nwb	sub-149/sub-149_ses-1_behavior+ophys.nwb	sub-1716/sub-1716_ses-1_behavior+ophys.nwb
2024-08-05	14807046696	31718531098	28502746257	18180486049	17619923718	0	20629856517	0	0	0	0	0
2024-08-12	259775576	85582120	86368216	273291212	61774044	41514724812	54306132	23383088521	41408194494	42986607096	41820728098	29571489005
2024-08-19	0	0	0	50647662	0	0	0	0	0	0	0	0
2024-08-26	0	0	0	13976433	0	0	0	0	0	0	0	0
2024-09-02	93765964	0	0	262280600	0	0	0	0	0	0	0	0
2024-11-11	21696432	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	434511432	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	19738068	0	0	0	0	0	0	0	0	0	0	0
2024-12-09	0	0	0	66366653	0	0	0	0	0	0	0	0
2025-01-27	20091716	9131838	21805914	43341894	44390524	22173100	45036610	17640554	21979896	26481012	19089028	22620838
2025-02-03	0	0	0	0	0	32622984	0	0	32885016	31050792	15328872	0
2025-02-10	26006676	25941168	12053472	33474588	24303468	0	31836888	20241972	0	0	0	15721920
2025-02-17	20091716	20666510	33317109	21638193	22719326	36612780	22780337	21075481	36385050	37784340	25863230	36246965
2025-02-24	89658209	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	481920	0	0	0	0	0	79200	79200	79200	79200	79200	0
2025-03-17	9498660	8254008	7271388	10153740	10677804	9891708	12905076	10612296	11922456	11856948	10546788	14346252
2025-03-24	14824663145	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	119864399	13058614	12658601	20705092	9251678	8674132	7133645	8005005	7680394	9628408	7807782	9414041
2025-04-07	0	0	20263829	0	0	0	0	0	0	0	0	0
