week_start	sub-221006/sub-221006_ses-20221006T010101_ecephys.nwb	sub-221010/sub-221010_ses-20221010T010101_ecephys.nwb	sub-221011/sub-221011_ses-20221011T010101_ecephys.nwb	sub-221012/sub-221012_ses-20221012T010101_ecephys.nwb	sub-221013/sub-221013_ses-20221013T010101_ecephys.nwb	sub-221014/sub-221014_ses-20221014T010101_ecephys.nwb	sub-230119/sub-230119_ses-20230119T010101_ecephys.nwb	sub-230120/sub-230120_ses-20230120T010101_ecephys.nwb	sub-230124/sub-230124_ses-20230124T010101_ecephys.nwb	sub-230215/sub-230215_ses-20230215T010101_ecephys.nwb	sub-230216/sub-230216_ses-20230216T010101_ecephys.nwb	sub-230220/sub-230220_ses-20230220T010101_ecephys.nwb	sub-230221/sub-230221_ses-20230221T010101_ecephys.nwb	sub-230228/sub-230228_ses-20230228T010101_ecephys.nwb	sub-230301/sub-230301_ses-20230301T010101_ecephys.nwb	sub-230531/sub-230531_ses-20230531T010101_ecephys.nwb	sub-230601/sub-230601_ses-20230601T010101_ecephys.nwb	sub-230605/sub-230605_ses-20230605T010101_ecephys.nwb	sub-230606/sub-230606_ses-20230606T010101_ecephys.nwb	sub-230621/sub-230621_ses-20230621T010101_ecephys.nwb	sub-230622/sub-230622_ses-20230622T010101_ecephys.nwb	sub-230627/sub-230627_ses-20230627T010101_ecephys.nwb	sub-230628/sub-230628_ses-20230628T010101_ecephys.nwb	sub-230719/sub-230719_ses-20230719T010101_ecephys.nwb	sub-230725/sub-230725_ses-20230725T010101_ecephys.nwb	sub-230726/sub-230726_ses-20230726T010101_ecephys.nwb	sub-230801/sub-230801_ses-20230801T010101_ecephys.nwb	sub-230802/sub-230802_ses-20230802T010101_ecephys.nwb	sub-230815/sub-230815_ses-20230815T010101_ecephys.nwb	sub-230816/sub-230816_ses-20230816T010101_ecephys.nwb	sub-230817/sub-230817_ses-20230817T010101_ecephys.nwb	sub-230822/sub-230822_ses-20230822T010101_ecephys.nwb	sub-230823/sub-230823_ses-20230823T010101_ecephys.nwb	sub-230825/sub-230825_ses-20230825T010101_ecephys.nwb	sub-230828/sub-230828_ses-20230828T010101_ecephys.nwb	sub-230830/sub-230830_ses-20230830T010101_ecephys.nwb	sub-231023/sub-231023_ses-20231023T010101_ecephys.nwb	sub-231024/sub-231024_ses-20231024T010101_ecephys.nwb	sub-231101/sub-231101_ses-20231101T010101_ecephys.nwb	sub-231121/sub-231121_ses-20231121T010101_ecephys.nwb	sub-231122/sub-231122_ses-20231122T010101_ecephys.nwb	sub-231129/sub-231129_ses-20231129T010101_ecephys.nwb	sub-240102/sub-240102_ses-20240102T010101_ecephys.nwb	sub-240103/sub-240103_ses-20240103T010101_ecephys.nwb	sub-240119/sub-240119_ses-20240119T010101_ecephys.nwb	sub-240130/sub-240130_ses-20240130T010101_ecephys.nwb	sub-240131/sub-240131_ses-20240131T010101_ecephys.nwb	sub-240209/sub-240209_ses-20240209T010101_ecephys.nwb	sub-240212/sub-240212_ses-20240212T010101_ecephys.nwb	sub-240216/sub-240216_ses-20240216T010101_ecephys.nwb	sub-240220/sub-240220_ses-20240220T010101_ecephys.nwb	sub-240221/sub-240221_ses-20240221T010101_ecephys.nwb	sub-240311/sub-240311_ses-20240311T010101_ecephys.nwb	sub-240316/sub-240316_ses-20240316T010101_ecephys.nwb	sub-240320/sub-240320_ses-20240320T010101_ecephys.nwb	sub-240407/sub-240407_ses-20240407T010101_ecephys.nwb	sub-240408/sub-240408_ses-20240408T010101_ecephys.nwb	sub-240509/sub-240509_ses-20240509T010101_ecephys.nwb	sub-240629/sub-240629_ses-20240629T010101_ecephys.nwb	sub-240630/sub-240630_ses-20240630T010101_ecephys.nwb	sub-240705/sub-240705_ses-20240705T010101_ecephys.nwb
2024-09-09	11240734720	7205814272	6937378816	8765783158	7591902326	9254419574	8262778880	10586423296	7768610082	7239368704	10664754294	8879035666	11890539638	11689247646	2424307712	9820650614	9873079414	6991068278	9697230848	7296966902	9794960502	12914998390	12893290496	8254390272	8975810560	7725907968	12935233536	4055078178	9623518326	9051026806	8539602944	8011120640	8336391286	11442061312	9708977270	9815932022	9398097186	6851607670	9691675766	8045434146	7535279222	7247757312	8849981440	7523744886	6131760246	8086618112	5890649890	5438645210	10049552384	8382355358	4521459712	3036676096	8211109154	7440695296	9403629568	7829951778	5962437922	9091366006	9974054912	4337684710	10485760000
2024-09-16	480530	474230	7811126	6354276	48145442	6943848	0	6894014	496930	7549094	6419784	4389036	6288768	8893854	4127004	4127004	4716576	7287062	474230	0	6828506	4454544	0	6354276	7244254	0	7156046	496930	7287062	505206	0	4863266	474230	474230	474230	4847592	0	0	4389036	7413644	474230	6354276	0	0	0	0	7164728	4791458	4535726	6419784	5280422	0	6485292	474230	7147214	0	496930	474230	0	7128538	0
2024-09-23	9655570	10173558	37358930	5242880	6503542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-09-30	7729944	0	0	6288768	98683720	474230	474230	0	0	7140372	474230	480530	8269682	6354276	10534560	8007650	4666742	6354276	0	1278936	474230	474230	0	474230	4623934	6419784	0	496930	6894014	6859482	0	0	474230	9171120	474230	8122992	0	203263160	6485292	6288768	6828506	10257622	10022724	4601234	6616308	0	8843580	467930	6943848	601916	6918122	11086526	7178746	474230	4389036	0	496930	474230	2161764	0	0
2024-10-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101631580	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	15983952	10088232	0	14215236	7860960	8843580	11201868	0	0	0	0	0	0	4389036	8712564	8319516	10088232	0	0	11725932	0	6616308	0	0	10022724	5109624	0	10874328	10153740	7533420	0	6288768	0	0	0	6550800	0	8057484	8843580	0	0	6616308	0	0	0	6616308	0	11791440	0	0	10284756	7860960	0	0	0	12184488	0	7664436	0	7074864	4389036
2024-10-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7590118
2025-02-10	14215236	0	0	33736620	0	0	0	0	0	0	0	19259352	0	0	19652400	24958548	0	0	17359620	0	32426460	15070870646	0	32491968	34588224	13167108	31705872	32360952	11332884	33671112	0	0	0	14739300	32426460	28102932	30133680	17949192	15459888	0	0	0	33802128	23713896	14804808	32819508	21224592	33278064	0	0	0	9695184	11267376	32033412	7598928	32426460	0	0	14018712	11725932	30526728
2025-03-10	0	0	0	0	0	0	375926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355446	0	0	0	0	0	0	0	0	0	0	0	396406	0	0	0	0	4061496	0	0	341282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-17	10284756	11463900	13298124	0	11725932	0	10481280	0	0	9957216	9367644	0	12774060	11987964	13953204	0	0	0	10743312	0	0	13363632	10415772	0	0	7795452	9891708	12249996	0	11594916	0	11987964	12512028	0	11136360	16180476	10743312	8516040	7533420	10677804	15197856	11201868	8057484	0	0	12184488	0	8909088	11463900	9629676	12512028	7795452	11398392	11856948	9826200	8254008	0	0	0	9695184	10415772
2025-05-12	10485760	10485760	0	10485760	10485760	0	10485760	10485760	10485760	0	0	0	0	0	0	0	0	0	10485760	10485760	10485760	10485760	10485760	10485760	10485760	10485760	10485760	10485760	10485760	0	0	0	10485760	10485760	10485760	20971520	0	0	10485760	10485760	10485760	10485760	10485760	0	0	10485760	0	0	10485760	10485760	10485760	10485760	0	0	0	0	10485760	10485760	10485760	10485760	10485760
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8307555446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9017753600	0	0	0	0	0	0	0	0	0	0	6920601600	0	0	0	0	0
2025-07-28	0	0	0	0	9017753600	7826259062	0	6973030400	0	0	0	0	0	8860467200	4342861688	0	0	0	0	0	0	0	16355127648	0	5872025600	8702868598	0	6810735906	0	0	0	0	0	0	0	0	6216717602	9967975542	0	0	0	0	0	8441036800	0	0	0	0	0	11909599958	0	0	0	0	0	0	0	8338488438	0	0	0
2025-08-04	10296186130	0	0	0	0	0	0	0	7759462400	0	0	8860467200	0	0	0	0	0	0	10441407606	0	0	0	0	0	0	0	0	0	8331672694	0	0	0	0	0	0	10013900800	0	0	0	9288450334	9175040000	0	0	0	0	0	6316371746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	0	8755609600	0	9392831606	0	0	6241860726	0	0	0	0	0	8671411318	0	0	0	11010048000	10814176374	0	0	0	0	0	0	0	0	8808038400	0	0	0	0	0	11429478400	0	7759462400	0	0	0	0	0	0	7340032000	0	0	0	0	0	0	0	0	6994369186	7835696246	0	0	5295308800	0	7715656994	0	7077600880	7623921894	8422412518
2025-08-18	0	0	9666509942	0	0	0	0	0	0	0	8710208630	0	0	0	0	0	0	0	0	0	9070182400	0	0	0	0	0	0	0	0	0	10223616000	0	0	6448742400	0	0	0	0	10291461238	0	0	0	0	0	0	7811891200	0	7287603200	0	0	0	0	6343884800	8183299190	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	8583855222	8441036800	0	0	0	0	0	0	0	0	0	0	0	7091731574	6815744000	0	0	0	0	0	0	0	8620555382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6973030400	0	0	7414206694	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	6884644114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19336211012	0	6859502966	0	10248993910	0	0	0	0	0	0	0	0	0	7392460800	0	0	0	0	0	0	9705831542	0	7497318400	7287603200	0	0	0	0	0	0	0	0	7688409318
2025-09-08	0	0	0	0	0	0	0	0	0	10210580910	0	0	0	0	3818573688	6828014710	0	0	0	12504195318	0	0	0	7130316800	0	0	0	0	8126464000	0	0	0	0	0	0	0	0	0	0	0	9806494838	0	9812786294	9856614400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7366246400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8519680000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	19914432	0	0	16901064	14280744	16311492	12315504	10350264	12359795394	10743312	0	19455876	11332884	7795452	8082207552	9891708	10088232	11332884	0	0	7936812498	10088232	11594916	10874328	10022724	7845717626	14018712	12165351846	10415772	9826200	10153740	12446520	14280744	14950284406	20307480	14018712	12141172002	18276732	8254008	21093576	11136360	6419784	8319516	15015092202	22731276	17032080	20755387562	12758224378	15066840	8450532	11005344	18931812	12313262314	0	13822188	19403577876	12127930202	18342240	0	17556144	14976012518
2025-12-22	1460971956	15093939318	24560171244	0	15032597622	0	0	0	0	15086599286	24634620140	17527690514	15120153718	0	0	0	0	15270624374	15107570806	0	1557260552	15070870646	17300149522	15200369782	0	0	15016868982	0	15042559094	15090824566	15067724918	15072443510	15055666294	8420065280	15002188918	15075589238	0	0	15010053238	0	15101803638	0	0	0	15023684726	8949596160	0	0	0	0	0	0	0	0	0	0	0	0	9680703718	15016382694	0
2025-12-29	17793504530	0	0	0	0	15428435062	0	0	0	0	0	0	0	0	0	0	0	0	0	15073206518	0	0	0	0	6392878370	0	0	0	0	15090824566	0	15072443510	8239922294	0	15002188918	0	7312479522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15018441846	0	0	0	0	0	8815590518	0	0	0
