week_start	sub-C3-2/sub-C3-2_ses-PPXopenField-C3-2-day1_ecephys.nwb	sub-C3-2/sub-C3-2_ses-PPXopenField-C3-2-day2_ecephys.nwb	sub-C9/sub-C9_ses-PPXopenField-C9-day1_ecephys.nwb	sub-C9/sub-C9_ses-PPXopenField-C9-day2_ecephys.nwb	sub-D0/sub-D0_ses-PPXopenField-D0-day1_ecephys.nwb	sub-D0/sub-D0_ses-PPXopenField-D0-day2_ecephys.nwb	sub-D0/sub-D0_ses-PPXopenField-D0-day3_ecephys.nwb	sub-D0/sub-D0_ses-PPXopenField-D0-day4_ecephys.nwb	sub-D0/sub-D0_ses-SalineopenField-DO_ecephys.nwb	sub-D3-1/sub-D3-1_ses-PPXopenField-D3-1-day1_ecephys.nwb	sub-D3-1/sub-D3-1_ses-PPXopenField-D3-1-day2_ecephys.nwb	sub-D3-1/sub-D3-1_ses-PPXopenField-D3-1-day3_ecephys.nwb	sub-D3-1/sub-D3-1_ses-PPXopenField-D3-1-day4_ecephys.nwb	sub-E0/sub-E0_ses-PPXopenField-E0-day1_ecephys.nwb	sub-E0/sub-E0_ses-PPXopenField-E0-day2_ecephys.nwb	sub-E0/sub-E0_ses-PPXopenField-E0-day3_ecephys.nwb	sub-E0/sub-E0_ses-PPXopenField-E0-day4_ecephys.nwb	sub-E0/sub-E0_ses-Saline-openField-E0_ecephys.nwb	sub-E5/sub-E5_ses-PPXopenField-E5-day1_ecephys.nwb	sub-E5/sub-E5_ses-PPXopenField-E5-day2_ecephys.nwb	sub-E5/sub-E5_ses-PPXopenField-E5-day3_ecephys.nwb	sub-E5/sub-E5_ses-PPXopenField-E5-day4_ecephys.nwb	sub-H0-2/sub-H0-2_ses-PPXopenField-H0-2-day1_ecephys.nwb	sub-H0-2/sub-H0-2_ses-PPXopenField-H0-2-day2_ecephys.nwb	sub-H0-2/sub-H0-2_ses-PPXopenField-H0-2-day3_ecephys.nwb	sub-H0-2/sub-H0-2_ses-PPXopenField-H0-2-day4_ecephys.nwb	sub-H1-3/sub-H1-3_ses-PPXopenField-H1-3-day1_ecephys.nwb	sub-H1-3/sub-H1-3_ses-PPXopenField-H1-3-day2_ecephys.nwb	sub-H1-3/sub-H1-3_ses-PPXopenField-H1-3-day3_ecephys.nwb	sub-H1-3/sub-H1-3_ses-SalineopenField-H1-3_ecephys.nwb	sub-H4-3/sub-H4-3_ses-PPXopenField-H4-3-day1_ecephys.nwb	sub-H4-3/sub-H4-3_ses-PPXopenField-H4-3-day2_ecephys.nwb	sub-H4-3/sub-H4-3_ses-PPXopenField-H4-3-day3_ecephys.nwb	sub-H4-3/sub-H4-3_ses-PPXopenField-H4-3-day4_ecephys.nwb	sub-H4-3/sub-H4-3_ses-SalineopenField-H4-3_ecephys.nwb	sub-J0/sub-J0_ses-PPXopenField-J0-day1_ecephys.nwb	sub-J0/sub-J0_ses-PPXopenField-J0-day2_ecephys.nwb	sub-J0/sub-J0_ses-PPXopenField-J0-day3_ecephys.nwb	sub-J0/sub-J0_ses-PPXopenField-J0-day4_ecephys.nwb	sub-JFB/sub-JFB_ses-PPXopenField-JFB-day1_ecephys.nwb	sub-JFC/sub-JFC_ses-PPXopenField-JFC-day1_ecephys.nwb	sub-JFF/sub-JFF_ses-PPXopenField-JFF-day1_ecephys.nwb	sub-K1/sub-K1_ses-PPXopenField-K1-day1_ecephys.nwb	sub-K1/sub-K1_ses-PPXopenField-K1-day2_ecephys.nwb	sub-K1/sub-K1_ses-PPXopenField-K1-day3_ecephys.nwb	sub-K1/sub-K1_ses-PPXopenField-K1-day4_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day1_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day2-optoSession_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day2_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day3_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day4_ecephys.nwb	sub-N4/sub-N4_ses-PPXopenField-N4-day3_ecephys.nwb	sub-N4/sub-N4_ses-PPXopenField-N4-day4_ecephys.nwb	sub-P2/sub-P2_ses-PPXopenField-P2-day1_ecephys.nwb	sub-P2/sub-P2_ses-PPXopenField-P2-day2_ecephys.nwb	sub-P4/sub-P4_ses-PPXopenField-P4-day1_ecephys.nwb
2025-07-21	0	0	0	0	17909678080	18141385738	15376318464	17870082187	0	0	0	0	0	0	0	0	0	0	14336131072	0	18688268016	18580766720	14969207590	0	0	0	0	0	0	0	0	0	0	13975420928	0	0	0	0	0	14072313281	12005402986	15393095680	0	0	18171861290	14772338688	0	0	0	0	0	0	0	6476005376	11031720481	0
2025-07-28	26688356352	16070814691	24475277115	21378824822	0	0	0	0	24951296738	21515564152	19922944000	33522862135	22129147904	14595505283	17867735040	42496761655	13799726251	9420406784	0	32242471282	0	0	0	20367540224	36172452915	15133048832	14629732352	42159830546	12952010752	8866758656	37855690752	15359541248	29705088918	0	27697966191	30799865996	31954637839	35116912863	21025601137	13788774400	0	0	19889389568	36622565376	0	0	29245916233	5460061863	11626610688	18502221058	31966796705	16220031153	19570920448	7182745600	6029312000	36684051716
2025-08-04	0	0	0	0	17983078400	0	19241369600	35138584591	0	0	0	0	0	0	0	0	0	0	0	0	0	22911385600	0	0	0	12994039336	0	0	0	12530483200	0	0	0	0	0	0	0	0	0	0	12740198400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	0	20843932643	16233469755	0	0	15623782400	0	0	0	0	20563934427	0	0	0	20453814333	0	13736345600	8591895324	0	0	0	0	0	12792627200	0	18035507200	0	0	17144217600	0	0	0	0	13582237632	0	0	0	0	18926796800	0	0	0	0	0	0	15518924800	0	0	17773363200	0	0	0	0	0	0	0
2025-08-18	0	0	0	16777216000	0	0	0	0	0	0	0	0	22020096000	13641301123	0	0	0	0	17668505600	0	24398812912	0	0	0	0	0	0	0	0	0	0	12792627200	0	0	0	0	0	0	0	0	0	15630185677	20124485336	0	0	0	0	0	0	30064942508	0	12320768000	0	0	0	0
2025-08-25	0	0	0	0	0	13450056714	15990784000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16787251338	0	17196646400	0	0	0	12560176143	0	19241369600	0	0	0	0	0	0	0	0	2512641358	0	0	18245222400	0	0	0	0	0
2025-09-01	4520052	0	21390950400	20129379564	4127004	0	4389036	68681728	0	4289656	15426043043	13713691	13375929432	4127004	13389461676	114563043	2161764	10961746204	14233287074	15354230956	96882728	234824983	20914107980	23947947	31116623	4127004	111118055	51483823	4782084	13841203200	4127004	68084713	58851328	15680862268	0	69773452	4127004	0	121515917	4651068	91226112	4192512	105072344	97386496	95551488	187086073	101382316	4127004	137123195	132349186	132644864	92797072	0	0	8441036800	0
2025-09-08	0	0	0	0	0	0	0	0	9437184000	21809165432	0	15604795447	0	0	0	0	0	0	0	0	16986931200	0	0	0	0	0	15621918183	0	0	0	0	0	0	0	0	0	0	16200499200	0	14219113921	0	0	0	0	21843974442	0	21025080393	0	0	0	0	0	0	0	0	0
2025-09-22	25635946	0	25892667	25885302	10030992	0	0	4127004	39422974	34762132	36156751	20447232	10239532	0	8286269	25894711	21699755	0	4127004	29983189	40806112	0	12129346	35414927	0	0	0	3249327	0	0	0	0	0	0	0	1266187708	0	0	0	0	0	6710477	0	0	0	0	0	0	0	0	0	0	0	10988188	0	0
2025-09-29	0	0	0	0	286515664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4052019	4323528	29161644	0	24181020	13108134	3932160	25881433	0	4323528	24210543	12843152	33231887	8753375	40120037	0	0	0	0	14166255	2161764	0	16447772	10544867	13107200	33715518	0	2097152	4127004	18025004	0	24676836
2025-10-06	8254008	8385024	11907159	0	4192512	12035192	24078556	12231251	10629773	4314232	12080631	16705767	15706972	18271931	9173337	9842487	4061496	13016348	13578914	22219378	23373536	27703778	489737656	4127004	12655951	4520052	10864387	0	5087303	9227458	10590406	4127004	14729004	22401548	0	20436916	4127004	14236378	0	4258020	18787312	4192512	12642836	9400415	26698892	8254008	10040393	13113283	0	29314192	19978050	8978893	12281116	11184712	8254008	4061496
2025-10-13	13552010	8399843	0	4192512	16329960	6419784	15497008	11557426	0	12118980	7953627	8450532	4439596	28289854	13300341	4127004	5285319	4127004	17640410	3995988	0	8971543	16004684	10098447	8528947	24359348	10798879	9846135	13537835	0	4258020	0	11491506	11430052	9513171	8319516	13544747	7216451	26812970	8319516	7330154	17547958	0	8254008	17607466	0	24404314	17305795	0	0	24301578	17892278	16308224	4127004	7930401	4127004
2025-10-20	81782656	8399843	5633688	10531618	17074068	0	4258020	0	11153837	8506744	0	0	8566600	0	5046333	0	288693435	4127004	0	0	4782084	0	12194854	4389036	8528947	0	0	9649611	13341311	9227458	4651068	4061496	7364502	4737711376	4127004	4389036	0	4192512	0	7734721	7330154	6710477	0	0	4585560	0	4694119884	4127004	5060887	0	4081786893	0	13329244	0	12122913	936420
2025-10-27	13355486	0	7780155	0	4127004	9129226	4520052	7842215	0	8441236	4192512	0	0	10017923	4192512	9842487	1158315	4127004	0	0	0	8971543	8002342	3809679	0	0	10864387	9911643	5087303	5100454	4258020	0	0	4127004	0	14606704	0	0	10196593	4323528	0	0	5240536	0	9222442	4389036	0	4192512	14248778	4127004	14116029	0	8154112	6861184	7930401	0
2025-11-03	85897620	84463218	60926760	66495448	94292844	60128732	99626744	64590689	71526059	34354516	97562160	75147492	51545564	119574399	51109542	100881600	28764054	73276516	73416000	101612735	77129964	119459115	65428814	47892345	67341251	70429784	55042523	67305180	42970338	71910762	62756340	48728536	69997164	23811064	95641263	108403100	94435590	50494015	143190660	78647816	64943484	51669440	68258400	73238046	65385748	95442455	81663474	75666330	63070585	104663174	66453141	67630038	63863764	76868964	85118490	18935952
2025-11-10	283506466	55479044	63188946	54048928	54497604	51106908	67060536	44779255	68198228	42084460	60626838	50970132	47912728	65685320	33352440	65851467	24526863	44512228	77477496	71440218	102769936	88411376	58791774	49247583	76656294	74584728	35203540	49709166	59697199	33952802	48912424	60650992	38798046	51613740	77532033	62226280	54375512	41912467	106334768	80800026	60881988	68066915	42972832	57385076	58820762	70166497	79811581	79346461	42368481	90955944	83157681	72285403	49748424	53548116	60094434	26037708
