week_start	sub-BH585/sub-BH585_ses-20240913T163500_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T164900_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T170800_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T173100_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T175400_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T181500_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T182900_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T184300_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T190400_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T192600_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T200000_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T201400_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T211800_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T213200_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T214500_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T220700_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T222800_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T224900_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T230200_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T231600_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T233700_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T235900_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240914T002000_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240914T003300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T170500_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T172100_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T174200_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T175300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T180500_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T181900_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T183600_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T185700_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T193200_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T194600_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T200700_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T202900_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T204300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T205800_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T212000_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T214200_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T215600_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T221000_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T223200_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T225300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T230500_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T231700_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T233800_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T000000_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T001100_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T002300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T004400_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T010500_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T011800_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T014000_ecephys+ogen.nwb
2024-09-30	1247736	370272	1332192	785632	707264	842688	1348728	1383840	1570848	1010000	1023680	1494184	1251336	1170600	1787072	650848	954048	1459008	684160	938560	1004144	1011696	348824	1459728	1005840	590896	510768	560880	543088	608480	271496	434248	278544	335768	357256	337080	483840	0	596064	739512	470816	263384	928528	909552	405696	427896	892800	450096	480672	665088	716496	394504	595856	452688
2024-10-07	1247736	121072	444064	0	353632	280896	449576	461280	0	1010000	1023680	541752	417112	390200	446768	325424	477024	486336	684160	534816	502072	505848	697648	1984016	0	295448	0	560880	271544	0	0	0	0	335768	714512	337080	241920	269200	298032	246504	235408	0	529800	454776	811392	1380080	446400	0	240336	332544	358248	1837584	0	226344
2024-10-21	415912	0	444064	392816	353632	280896	0	461280	523616	505000	0	0	417112	390200	0	0	477024	486336	342080	534816	502072	0	348824	992008	0	0	255384	0	271544	304240	0	0	278544	335768	357256	337080	241920	269200	0	0	235408	263384	529800	454776	405696	690040	0	225048	240336	0	0	918792	0	226344
2024-10-28	0	353056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	1663648	1059168	1332192	1178448	707264	842688	1348728	1845120	1570848	1010000	1023680	1625256	417112	1560800	1340304	0	0	0	0	0	0	0	2092944	0	0	0	0	0	0	0	0	1302744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	415912	0	0	0	0	280896	0	922560	0	0	0	0	0	0	446768	0	0	0	0	0	1004144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892800	0	0	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235408	0	0	0	0	0	0	0	0	0	0	0	297928	226344
2025-07-14	515888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	0	0	0	0	0	0	0	0	0	505000	0	0	0	0	0	0	0	0	0	0	0	505848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	415912	0	0	0	0	0	1798304	0	523616	0	0	0	0	0	0	0	477024	0	0	0	502072	0	0	0	502920	0	0	0	0	0	0	434248	0	0	0	0	0	269200	0	0	0	0	0	454776	0	1380080	0	0	0	0	0	0	0	0
2025-08-04	415912	706112	444064	392816	353632	280896	449576	461280	523616	505000	1023680	541752	417112	390200	446768	325424	477024	486336	342080	534816	502072	505848	348824	992008	502920	295448	255384	280440	271544	304240	271496	434248	278544	335768	357256	337080	241920	269200	298032	246504	235408	263384	529800	454776	405696	690040	446400	225048	240336	332544	358248	918792	297928	226344
2025-08-11	0	0	0	392816	0	0	0	461280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992008	0	295448	255384	280440	0	0	0	0	0	0	0	0	0	0	298032	246504	0	0	0	0	0	0	446400	0	0	332544	0	0	0	0
2025-08-18	0	0	0	0	0	280896	0	0	0	0	0	0	0	390200	0	325424	0	486336	0	0	0	0	348824	0	0	0	0	0	0	0	0	0	0	0	357256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
