region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	32072002581	71179	6106	5376
HKG/KKC	713955587	91	0	11
AWS/us-east-1	4741855322	525	67	56
CHN	6793579977	636	0	59
ITA/42	45970853	26	0	3
USA/VT	913287747	2009	173	117
USA	1747573764	272	57	18
USA/IL	1423763036	67	42	2
GitHub	1170507104	3529	341	330
USA/MA	6538332904	402	3	86
VPN	22772256791	731	610	42
CHN/GD	3612553811	66	56	1
TWN/TPE	3611530887	56	56	0
JPN/12	4151747275	74	60	10
AWS/ap-southeast-1	571688316	106	106	0
CHN/SH	3702141134	58	58	0
HKG	3611530887	56	56	0
USA/CA	419755230	504	116	117
VNM/HN	63739284	9	9	0
SGP	3633279543	62	62	0
UZB/SA	3602940	1	1	0
ISR/TA	12053472	1	1	0
USA/MD	3662569734	101	66	13
AWS/us-east-2	713955587	11	11	0
USA/NJ	128854429	718	63	60
CHN/BJ	6477604698	855	298	69
DEU/NW	11235838966	2203	136	15
USA/NY	3611530887	56	56	0
GCP/us-central1	372395830	7	7	0
GCP/us-west1	71041733	8	2	1
USA/DC	65639016	20	20	0
USA/VA	889028676	55	55	0
IRN	80181792	6	6	0
ESP	1667801	1	0	1
MEX/CMX	93296541	338	71	48
FRA/IDF	13384713	9	3	3
GCP/us-east1	171985580	4	4	0
CAN/ON	249790146	4	4	0
UKR/35	6223260	1	1	0
BLR/HM	12249996	1	1	0
PAK/PB	7926468	3	3	0
VEN/V	7860960	1	1	0
BGD	16311492	3	3	0
AWS/us-west-2	26090556	74	6	2
USA/WA	134391018	8	4	2
CHL/RM	180507019	5	5	0
AWS/ap-northeast-1	43008217	3	1	1
KEN/30	10874328	1	1	0
TWN/TXG	25168550	18	1	1
QAT/DA	12970584	1	1	0
VNM/45	1113636	1	1	0
UZB/TK	53454528	2	2	0
GBR/ENG	28561488	2	2	0
BRA/DF	14608284	2	2	0
VNM/SG	851604	1	1	0
AZE/BA	3013368	1	1	0
KEN	917112	1	1	0
ALB/11	10284756	1	1	0
PHL/40	3668448	1	1	0
VNM/21	1375668	1	1	0
VNM/52	8843580	1	1	0
GCP/asia-east1	44823114	28	0	1
USA/MN	17883684	1	1	0
USA/PA	42187152	2	2	0
ARE/AZ	11201868	1	1	0
IRQ/BG	2096256	1	1	0
GBR/SCT	49125661	5	1	1
VNM/26	12643044	1	1	0
TUR/33	7402404	1	1	0
BRA/RN	3013368	1	1	0
BRA/SP	6616308	1	1	0
BGD/D	7467912	1	1	0
ARG/B	15001332	1	1	0
EST/37	25087462	1	1	0
CHE/VD	2595116	12	2	1
MEX/MEX	10743312	1	1	0
BRA/BA	1113636	1	1	0
VNM/18	11267376	1	1	0
NIC/MN	2685828	1	1	0
MAR/07	1048128	1	1	0
VNM/69	10808820	1	1	0
