week_start	sub-Finch-z-r12r13-21-held-in-calib-broadband/sub-Finch-z-r12r13-21-held-in-calib-broadband_ses-20210626.nwb	sub-Finch-z-r12r13-21-held-in-calib-broadband/sub-Finch-z-r12r13-21-held-in-calib-broadband_ses-20210627.nwb	sub-Finch-z-r12r13-21-held-in-calib-broadband/sub-Finch-z-r12r13-21-held-in-calib-broadband_ses-20210628.nwb	sub-Finch-z-r12r13-21-held-in-minival-broadband/sub-Finch-z-r12r13-21-held-in-minival-broadband_ses-20210626.nwb	sub-Finch-z-r12r13-21-held-in-minival-broadband/sub-Finch-z-r12r13-21-held-in-minival-broadband_ses-20210627.nwb	sub-Finch-z-r12r13-21-held-in-minival-broadband/sub-Finch-z-r12r13-21-held-in-minival-broadband_ses-20210628.nwb	sub-Finch-z-r12r13-21-held-out-calib-broadband/sub-Finch-z-r12r13-21-held-out-calib-broadband_ses-20210630.nwb	sub-Finch-z-r12r13-21-held-out-calib-broadband/sub-Finch-z-r12r13-21-held-out-calib-broadband_ses-20210701.nwb	sub-Finch-z-r12r13-21-held-out-calib-broadband/sub-Finch-z-r12r13-21-held-out-calib-broadband_ses-20210705.nwb
2024-10-28	90973524	211623244	66803732	29731356	27504084	25014780	30210824	35385956	34796384
2024-11-04	8254008	8450532	8385024	262032	262032	8385024	8254008	8385024	7205880
2024-11-11	0	0	53228816	41462440	22862292	0	0	0	0
2025-01-13	0	0	0	0	0	0	43001204	0	20087996
2025-01-20	73113308	192420260	53228816	13459832	13459832	13459832	20087996	20087996	20087996
2025-01-27	73113308	192420260	53228816	13459832	13459832	13459832	20087996	20087996	20087996
2025-04-07	73113308	192420260	53228816	13459832	13459832	13459832	20087996	20087996	20087996
2025-05-19	0	0	0	0	0	0	20087996	0	0
2025-06-23	19008000	50112000	13824000	3456000	3456000	3456000	5184000	5184000	5184000
2025-07-07	73113308	192420260	53228816	13459832	13459832	13459832	20087996	20087996	20087996
2025-07-14	19008000	50112000	13824000	3456000	3456000	3456000	5184000	5184000	5184000
2025-07-28	0	0	0	13459832	13459832	13459832	20087996	20087996	20087996
2025-08-04	73113308	192420260	53228816	0	0	0	0	0	0
2025-08-25	0	192420260	0	0	0	0	20087996	0	20087996
2025-09-01	0	0	53228816	0	0	0	0	0	0
2025-09-08	73113308	0	0	0	13459832	0	0	0	0
2025-12-15	89555816	210172928	70195388	29967848	32260628	33339448	37840664	34303232	36596012
2026-01-05	0	0	0	13459832	0	0	0	20087996	0
2026-01-12	0	577260780	0	40379496	0	0	0	60263988	0
2026-01-19	0	0	0	0	0	40379496	0	0	0
2026-01-26	73113308	192420260	0	0	0	13459832	20087996	0	20087996
2026-02-02	0	0	53228816	0	13459832	0	0	0	0
2026-02-16	0	0	0	0	15353700	0	0	0	0
2026-02-23	5797516	5939484	5385576	0	5122652	4991636	0	0	0
2026-03-02	5076928	192420260	0	5122652	15564480	0	0	0	4861400
2026-03-09	0	0	0	0	0	0	10181356	4599368	0
2026-03-16	0	0	0	19848924	0	0	0	6419784	0
2026-03-23	14084220	0	27382344	13459832	11922456	13459832	0	0	0
2026-03-30	0	917112	0	0	13459832	13459832	0	0	0
2026-04-06	73113308	0	0	0	26919664	13459832	40175992	20087996	40175992
2026-04-13	73113308	0	106457632	0	13459832	13459832	20087996	20087996	20087996
2026-04-20	0	11201868	0	48240456	0	0	20087996	51466328	20087996
2026-04-27	124733612	917112	159686448	0	0	0	0	0	0
2026-05-04	0	0	0	0	0	0	0	0	7205880
2026-05-11	74652804	194167232	53228816	18647992	26919664	13459832	21739504	20087996	20087996
2026-05-18	73113308	192420260	55011452	31933088	18647992	13459832	20087996	24411524	20087996
2026-05-25	2858224	2493792	2923732	2129360	2391392	2260376	2456900	4042900	2194868
2026-06-01	1289820	29065212	1224312	0	0	1585220	0	1224312	1454984
2026-06-08	3246900	3428436	7532644	7192484	6668420	3301456	0	0	0
2026-06-15	0	3297420	0	0	0	0	6288768	917112	3106492
2026-06-22	3115884	0	3078100	0	17088828	0	0	3471924	0
2026-06-29	73113308	3493944	0	0	13459832	0	0	0	3040984
2026-07-06	258644978	542176622	202134818	51432552	48131096	48131096	40840736	45164264	40840736
2026-07-13	0	0	0	0	3170440	3563488	2844460	0	0
