week_start	sub-I39/micr/sub-I39_ses-01_ce-intensity_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-01_ce-orientation_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-01_ce-retardance_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-02_ce-intensity_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-02_ce-orientation_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-02_ce-retardance_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-03_ce-intensity_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-03_ce-orientation_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-03_ce-retardance_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-04_ce-intensity_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-04_ce-orientation_sample-occipital_chunk-034_OCT.ome.zarr	sub-I39/micr/sub-I39_ses-04_ce-retardance_sample-occipital_chunk-034_OCT.ome.zarr
2024-10-28	362305586	389205944	349532496	6617	2064	70125340	6775	7715	199544817	2485	1687	183779339
2024-11-04	172070407	197313020	169939377	174767353	186572611	178794295	209940683	218138098	214005277	206024738	216153210	217457749
2024-11-11	157607730	0	0	0	0	0	0	4104	0	0	0	31455248
2024-11-18	71931083	7564	67252534	0	1074197	73614911	131816252	64211515	51622445	70188836	74485355	188265322
2024-11-25	1305651	0	0	0	148	24	231300	3045685	394	0	471	0
2024-12-30	1087	5416	5416	0	0	0	0	0	0	0	0	0
2025-02-03	16320	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	7492	10592	7081	9745	8363	6225	8135	11295	3508	6021	5611	10791
2025-07-28	0	0	0	0	0	0	0	1937526	0	0	0	0
2025-09-01	210182447	0	0	0	0	0	179444752	0	0	0	0	0
2025-09-08	0	0	221178246	0	0	0	0	0	0	0	212370958	0
2025-09-15	1189821	0	0	942318	0	0	0	4899202	1972499	3240404	0	0
2025-09-22	9900732	0	0	110075	0	0	0	2209797	918811	811149	0	0
2025-09-29	0	247050310	0	0	0	200052251	0	211577047	217416678	192603533	0	0
2025-10-06	0	0	0	0	188161243	0	0	0	0	0	0	0
2025-10-13	0	0	0	182258266	0	0	0	0	0	0	0	233560272
2026-02-09	0	0	0	0	0	0	0	0	394	0	0	0
2026-02-16	0	24219	422	148	1544	0	0	4080	3501187	0	0	17791806
2026-02-23	0	397	397	1992158	791	0	0	0	14757906	4154	471	27567546
2026-03-02	0	0	910622	195322452	0	0	0	4526	222166	0	970327	2182488
2026-03-09	0	0	904791	0	0	0	0	626	221906	0	0	921028
2026-03-16	24	1544	0	0	0	0	207556	0	950314	0	0	1986594
2026-03-23	654	0	0	0	0	0	218586	397	818115	0	0	223032
2026-03-30	4080	232	0	0	0	0	98	0	104268	74	0	233774
2026-04-06	0	348	0	0	0	0	0	0	2822821	223952	1557	0
2026-04-20	0	0	0	0	0	0	0	0	107011	0	0	0
