week_start	Microscopy
2024-10-28	2201479102
2024-11-04	3837516862
2024-11-11	381161770
2024-11-18	1249595506
2024-11-25	7974903
2024-12-30	17883
2025-02-03	16320
2025-03-10	1787989
2025-06-23	194948
2025-07-28	1937526
2025-09-01	610522506
2025-09-08	655247271
2025-09-15	19460692
2025-09-22	19904561
2025-09-29	1603872422
2025-10-06	336627100
2025-10-13	641957771
2026-01-19	98
2026-02-09	230388
2026-02-16	36241977
2026-02-23	78378133
2026-03-02	316224608
2026-03-09	6433990
2026-03-16	5611191
2026-03-23	3728586
2026-03-30	4156860
2026-04-06	5283955
2026-04-13	2797598
2026-04-20	1078915
2026-04-27	8131377
2026-05-04	1204348
2026-05-11	1843145
2026-05-18	3214583
2026-05-25	1447368
2026-06-01	3966714
2026-06-08	3346
2026-06-15	12295
2026-06-22	937851
2026-06-29	1280287
2026-07-06	3397243
2026-07-13	918071
