week_start	sub-Ejaculation-1/sub-Ejaculation-1_ses-20230109T173757_image.nwb	sub-Ejaculation-2/sub-Ejaculation-2_ses-20230109T151851_image.nwb	sub-Ejaculation-3/sub-Ejaculation-3_ses-20221207T222015_image.nwb	sub-Ejaculation-4/sub-Ejaculation-4_ses-20230614T173548_image.nwb	sub-Ejaculation-5/sub-Ejaculation-5_ses-20230615T162906_image.nwb	sub-Mount-1/sub-Mount-1_ses-20240207T211748_image.nwb	sub-Mount-2/sub-Mount-2_ses-20240207T184345_image.nwb	sub-Mount-3/sub-Mount-3_ses-20240207T180331_image.nwb	sub-Mount-4/sub-Mount-4_ses-20240207T170345_image.nwb	sub-Mount-5/sub-Mount-5_ses-20240207T151031_image.nwb	sub-Sniff-1/sub-Sniff-1_ses-20230109T111346_image.nwb	sub-Sniff-2/sub-Sniff-2_ses-20221207T172012_image.nwb	sub-Sniff-3/sub-Sniff-3_ses-20230109T130520_image.nwb	sub-Sniff-4/sub-Sniff-4_ses-20221208T143930_image.nwb
2024-11-04	46957713376	55855949716	51041059940	42847477624	64542366960	46924825468	62055160604	51662370796	54434373240	61598104800	50388886128	44117407868	46163023288	52048470640
2024-11-11	83817348	57994536	62161500	2161764	0	26268708	4192512	2161764	97963132	10415772	4061496	4061496	4127004	3275400
2024-11-18	31247316	35243304	16639032	0	51489288	0	0	4389036	7598928	6026736	0	36487956	41335548	16835556
2024-12-02	148077300	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	26203200	0	0	32295444	0	0	0	32164428	11463900	10481280	32098920	13822188	0	30788760
2025-03-10	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0
2025-03-17	0	0	11922456	0	0	0	0	10939836	12905076	10677804	9564168	0	0	12053472
2025-05-12	0	10485760	0	10485760	10485760	0	10485760	9760692	0	0	0	0	0	0
2025-07-28	47173122644	20971520	16049460	58524672608	19259352	14673792	58580918792	96744914284	20971520	20971520	18997320	0	0	18407748
2025-08-04	0	0	86883133040	0	95553433300	0	0	0	55553980744	0	0	61235000592	0	58029156888
2025-08-11	0	58615213688	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-18	0	0	0	0	0	51716067160	0	0	0	45350912000	101783396976	0	0	0
2025-08-25	0	0	0	0	0	0	50751078400	0	0	0	0	0	0	48916070400
2025-09-01	0	0	0	0	62337843200	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	52168641024	0	0	0	0	0	0	46556774400	0
2025-10-06	0	0	0	0	0	4687988	0	0	0	0	0	0	0	0
2025-12-15	6681816	0	53718281968	10939836	14673792	4323528	8974596	9957216	0	63739952352	0	6223260	17818176	18669780
2025-12-22	47289729024	104962272888	99850242888	52536803328	0	94235823960	0	0	0	0	48151769400	0	90127848888	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	90127848888	102593636888
2026-01-12	16598165812	0	28803435144	4484286212	0	0	0	0	0	7751443544	11335801164	0	6403047484	0
2026-01-26	0	61004918392	0	0	54899245056	41246035800	60220768256	51017416704	55207526400	0	0	50098446396	48962852280	38410299928
2026-02-16	17376172	0	0	12856120	14026988	11509068	375288	6690092	10743312	204800	10628848	614400	0	0
2026-02-23	4192512	8663608	8450532	204800	4200788	0	0	418200	0	4454544	0	4675900	0	0
2026-03-02	4454544	0	0	4127004	0	5375920	4389036	0	388728	0	4561492	4127004	0	408088
2026-03-16	0	0	0	19783416	0	0	0	0	0	9891708	0	0	0	0
2026-03-23	0	0	9891708	0	0	0	0	589572	0	102400	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	10022724	0	0	0	0	0	0
