week_start	sub-AA0304/sub-AA0304_ses-20210311T192013_behavior+image+ophys.nwb	sub-AA0308/sub-AA0308_ses-20210414T173129_behavior+image+ophys.nwb	sub-AA0310/sub-AA0310_ses-20210418T142709_behavior+image+ophys.nwb	sub-AA0312/sub-AA0312_ses-20210422T173950_behavior+image+ophys.nwb	sub-AA0314/sub-AA0314_ses-20210425T153246_behavior+image+ophys.nwb	sub-AA0315/sub-AA0315_ses-20210510T174254_behavior+image+ophys.nwb	sub-AA0317/sub-AA0317_ses-20210513T161613_behavior+image+ophys.nwb	sub-AA0318/sub-AA0318_ses-20210514T174248_behavior+image+ophys.nwb	sub-AA0319/sub-AA0319_ses-20210517T182149_behavior+image+ophys.nwb	sub-AA0320/sub-AA0320_ses-20210518T171119_behavior+image+ophys.nwb	sub-AA0322/sub-AA0322_ses-20210520T174023_behavior+image+ophys.nwb	sub-AA0323/sub-AA0323_ses-20210531T173604_behavior+image+ophys.nwb	sub-AA0325/sub-AA0325_ses-20210603T171818_behavior+image+ophys.nwb	sub-AA0326/sub-AA0326_ses-20210607T161801_behavior+image+ophys.nwb	sub-AA0327/sub-AA0327_ses-20210609T170842_behavior+image+ophys.nwb	sub-AA0328/sub-AA0328_ses-20210610T180709_behavior+image+ophys.nwb	sub-AA0330/sub-AA0330_ses-20210614T164613_behavior+image+ophys.nwb	sub-AA0331/sub-AA0331_ses-20210615T174305_behavior+image+ophys.nwb	sub-AA0332/sub-AA0332_ses-20210617T180403_behavior+image+ophys.nwb	sub-AA0333/sub-AA0333_ses-20210618T172852_behavior+image+ophys.nwb	sub-AA0334/sub-AA0334_ses-20210619T160406_behavior+image+ophys.nwb	sub-AA0335/sub-AA0335_ses-20210621T161553_behavior+image+ophys.nwb	sub-AA0336/sub-AA0336_ses-20210623T170043_behavior+image+ophys.nwb	sub-AA0337/sub-AA0337_ses-20210625T163422_behavior+image+ophys.nwb	sub-AA0339/sub-AA0339_ses-20210630T165121_behavior+image+ophys.nwb	sub-AA0340/sub-AA0340_ses-20210701T164101_behavior+image+ophys.nwb	sub-AA0341/sub-AA0341_ses-20210702T155544_behavior+image+ophys.nwb	sub-AA0350/sub-AA0350_ses-20210728T170219_behavior+image+ophys.nwb	sub-AA0351/sub-AA0351_ses-20210729T162826_behavior+image+ophys.nwb	sub-AA0353/sub-AA0353_ses-20210731T165705_behavior+image+ophys.nwb
2024-11-18	2390314466	3255945497	4242878867	5788031113	4217895166	5211344246	5715924751	5434452839	6756842202	5041111742	5634654188	3107643708	5825634124	6564954595	5403325626	4404019200	6386482717	1719965773	1933211626	2936012800	1935147100	6240596704	3825205248	6361146264	2393422602	2965252541	2795568228	4328761187	2825028180	3095461162
2024-11-25	16770048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	1489976796	61506951	5072208444	1518432	167961475	0	125044331	643045509	0	0	0	38043244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-09	3288969626	906257797	516878375	257003648	778018262	208496060	1822823188	613331871	723792726	392727290	492292900	500362284	221574300	161779227	218190904	209805586	117989221	34099989	72195210	165022302	220477504	132471348	79557176	47638876	196853296	149461221	43247936	101010974	52707964	66709116
2024-12-16	262134988	48275184	6451200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-23	2460352	0	21496068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-30	65031568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	206306984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	43253791	27381796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	0	12053472	0	12249996	0	0	10415772	21159084	13036092	33802128	32622984	34981272	0	0	0	15263364	16180476	0	0	0	0	26334216	9302136	13429140	27840900	0	17032080	0	16835556	28561488
2025-02-17	0	18800796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	75781996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	204800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204800	398666	0	0	0	0	0
2025-03-17	0	0	12512028	0	14411760	0	0	0	12708552	10743312	0	13298124	11005344	9957216	10088232	8122992	10874328	0	0	0	11267376	12446520	0	9957216	7860960	23058816	9171120	13953204	14673792	10153740
2025-03-31	74268268	49984045	25852547	67364551	73182699	61849600	95428539	93966596	84294362	79333962	63355710	61631848	79079072	58475959	72183638	80952269	58844018	33131953	28902674	17056973	67447096	108975959	68069009	78325816	55660162	82861437	22825873	56434955	40134212	50987934
2025-04-07	50214651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	87984612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-02	39632340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	0	0	0	3407872000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	1780218183	14346252	15983952	20971520	4362257615	0	0	7279389383	0	0	5892500250	2787929448	5295308800	5347737600	0	20971520	0	1520435200	0	20971520	5138022400	0	0	0	2847139152	0	5001707520	0	17490636	0
2025-08-04	0	2044723200	0	0	0	0	0	0	7606188762	0	0	0	0	0	5069815638	4351590400	0	0	0	0	0	5759866927	0	0	0	0	0	4852919963	0	0
2025-08-11	0	0	2726297600	4414207371	0	0	0	0	0	3061666766	0	0	0	0	0	0	4293460409	0	0	1520435200	0	0	5230489537	0	0	6477982141	0	0	2057539789	5242880000
2025-08-18	0	0	0	0	0	4395552118	6081740800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5819596800	0	0	0	0	0	0
2025-08-25	1360787783	0	0	0	3397567695	0	0	0	0	4267529166	0	0	0	0	0	4572731069	0	2720307277	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	4299161600	0	0	0	0	0	0	0	1704625642	2625594573	0	0	5178060737	0	0	0	0	0	3577974989	3670016000
2025-09-08	0	0	0	0	0	0	0	0	6710886400	0	0	3827302400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4228248405	0	0	0
2025-10-06	63437127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
