week_start	sub-242820/sub-242820_ses-242820-20200526-probe0_behavior+ecephys+ogen.nwb	sub-249939/sub-249939_ses-249939-20200611-probe0_behavior+ecephys+ogen.nwb	sub-249940/sub-249940_ses-249940-20200610-probe0_behavior+ecephys+ogen.nwb	sub-250252/sub-250252_ses-250252-20200609-probe0_behavior+ecephys+ogen.nwb	sub-250253/sub-250253_ses-250253-20200609-probe0_behavior+ecephys+ogen.nwb	sub-250256/sub-250256_ses-250256-20200610-probe0_behavior+ecephys+ogen.nwb	sub-518804-1/sub-518804-1_ses-518804-20220228-probe0_behavior+ecephys.nwb	sub-518804-2/sub-518804-2_ses-518804-20220301-probe0_behavior+ecephys.nwb	sub-534133/sub-534133_ses-534133-20220302-probe0_behavior+ecephys.nwb	sub-560169/sub-560169_ses-560169-20220506-probe0_behavior+ecephys.nwb	sub-560171-1/sub-560171-1_ses-560171-20220504-probe0_behavior+ecephys.nwb	sub-560171-2/sub-560171-2_ses-560171-20220505-probe0_behavior+ecephys.nwb	sub-708078/sub-708078_ses-708078-20231002-probe0_ecephys.nwb	sub-708078/sub-708078_ses-708078-20231002-probe1_ecephys.nwb	sub-708078/sub-708078_ses-708078-20231003-probe0_ecephys.nwb	sub-711179/sub-711179_ses-711179-20230907-probe0_ecephys.nwb	sub-732713/sub-732713_ses-732713-20230828-probe0_ecephys.nwb	sub-732713/sub-732713_ses-732713-20230830-probe0_ecephys.nwb	sub-732713/sub-732713_ses-732713-20230831-probe1_ecephys.nwb	sub-732714/sub-732714_ses-732714-20230829-probe0_ecephys.nwb	sub-732714/sub-732714_ses-732714-20230829-probe1_ecephys.nwb	sub-PL026/sub-PL026_ses-PL026-20190430-probe0_ecephys.nwb	sub-PL027/sub-PL027_ses-PL027-20190511-probe0_behavior+ecephys.nwb	sub-PL027/sub-PL027_ses-PL027-20190511-probe1_behavior+ecephys.nwb	sub-PL028/sub-PL028_ses-PL028-20190517-probe0_behavior+ecephys.nwb	sub-PL028/sub-PL028_ses-PL028-20190517-probe1_behavior+ecephys.nwb	sub-PL030/sub-PL030_ses-PL030-20190518-probe0_behavior+ecephys.nwb	sub-PL030/sub-PL030_ses-PL030-20190518-probe1_behavior+ecephys.nwb	sub-PL031/sub-PL031_ses-PL031-20190524-probe0_behavior+ecephys.nwb	sub-PL031/sub-PL031_ses-PL031-20190524-probe1_behavior+ecephys.nwb	sub-PL032/sub-PL032_ses-PL032-20190524-probe0_behavior+ecephys.nwb	sub-PL032/sub-PL032_ses-PL032-20190524-probe1_behavior+ecephys.nwb	sub-PL051/sub-PL051_ses-PL051-20191121-probe0_behavior+ecephys.nwb	sub-PL051/sub-PL051_ses-PL051-20191121-probe1_behavior+ecephys.nwb	sub-PL053/sub-PL053_ses-PL053-20191122-probe0_behavior+ecephys.nwb	sub-PL054/sub-PL054_ses-PL054-20191122-probe0_behavior+ecephys.nwb	sub-PL055/sub-PL055_ses-PL055-20200302-probe0_behavior+ecephys.nwb	sub-PL055/sub-PL055_ses-PL055-20200302-probe1_behavior+ecephys.nwb	sub-PL056/sub-PL056_ses-PL056-20200303-probe0_behavior+ecephys.nwb	sub-PL056/sub-PL056_ses-PL056-20200303-probe1_behavior+ecephys.nwb	sub-PL057/sub-PL057_ses-PL057-20200203-probe0_behavior+ecephys.nwb	sub-PL057/sub-PL057_ses-PL057-20200203-probe1_behavior+ecephys.nwb	sub-PL062/sub-PL062_ses-PL062-20200420-probe0_behavior+ecephys.nwb	sub-PL062/sub-PL062_ses-PL062-20200420-probe1_behavior+ecephys.nwb	sub-PL062/sub-PL062_ses-PL062-20200420-probe2_behavior+ecephys.nwb	sub-PL063/sub-PL063_ses-PL063-20200421-probe1_behavior+ecephys.nwb	sub-PL064/sub-PL064_ses-PL064-20200422-probe0_behavior+ecephys.nwb	sub-PL064/sub-PL064_ses-PL064-20200422-probe1_behavior+ecephys.nwb	sub-PL066/sub-PL066_ses-PL066-20200514-probe0_behavior+ecephys+ogen.nwb	sub-PL066/sub-PL066_ses-PL066-20200514-probe1_behavior+ecephys+ogen.nwb	sub-PL070/sub-PL070_ses-PL070-20200616-probe0_behavior+ecephys+ogen.nwb	sub-PL071/sub-PL071_ses-PL071-20200616-probe0_behavior+ecephys+ogen.nwb	sub-PL076/sub-PL076_ses-PL076-20230408-probe0_behavior+ecephys.nwb	sub-PL077/sub-PL077_ses-PL077-20230407-probe0_behavior+ecephys.nwb	sub-PL078/sub-PL078_ses-PL078-20230408-probe0_behavior+ecephys.nwb	sub-PL079/sub-PL079_ses-PL079-20230620-probe0_behavior+ecephys.nwb	sub-PL079/sub-PL079_ses-PL079-20230621-probe0_behavior+ecephys.nwb	sub-PL079/sub-PL079_ses-PL079-20230621-probe1_behavior+ecephys.nwb	sub-PL080/sub-PL080_ses-PL080-20230621-probe0_behavior+ecephys.nwb	sub-PL080/sub-PL080_ses-PL080-20230621-probe1_behavior+ecephys.nwb	sub-PL080/sub-PL080_ses-PL080-20230622-probe0_behavior+ecephys.nwb	sub-PL080/sub-PL080_ses-PL080-20230622-probe1_behavior+ecephys.nwb	sub-PL081/sub-PL081_ses-PL081-20230620-probe0_behavior+ecephys.nwb	sub-PL081/sub-PL081_ses-PL081-20230620-probe1_behavior+ecephys.nwb	sub-PL081/sub-PL081_ses-PL081-20230621-probe0_behavior+ecephys.nwb	sub-PL081/sub-PL081_ses-PL081-20230621-probe1_behavior+ecephys.nwb	sub-PL082/sub-PL082_ses-PL082-20230911-probe0_behavior+ecephys.nwb	sub-PL082/sub-PL082_ses-PL082-20230911-probe1_behavior+ecephys.nwb	sub-PL082/sub-PL082_ses-PL082-20230912-probe0_behavior+ecephys.nwb	sub-PL082/sub-PL082_ses-PL082-20230912-probe1_behavior+ecephys.nwb	sub-PL084/sub-PL084_ses-PL084-20231220-probe0_behavior+ecephys.nwb	sub-PL084/sub-PL084_ses-PL084-20231220-probe1_behavior+ecephys.nwb	sub-PL086/sub-PL086_ses-PL086-20231222-probe0_behavior+ecephys.nwb	sub-PL086/sub-PL086_ses-PL086-20231222-probe1_behavior+ecephys.nwb
2025-09-08	9095402746	3940408248	3157273966	3625179856	3397177812	3186249780	1817450094	2185887815	1686322075	2827582712	2572332451	1266507066	1223384530	2208881494	688837063	915367214	1211862302	1038334590	2167679312	1150277326	1396745918	1530812418	4994529870	990291371	4411836362	1991118524	3686321850	1702804258	2783989003	2910044114	3052578071	1149807076	5290328420	2886887755	7074088612	5287345181	2024065140	2780494148	4136923029	3629785339	2583198254	703327032	4924649100	7987265015	5934403934	5068680648	4720242140	3261266092	6082653894	4878365016	2260977008	2091699597	2264118336	1572864000	2140399547	2309385366	2944120914	3309305856	1336456968	3207137972	2473247521	3371332330	2453804710	4411886404	3697032054	3049615525	1608972348	4723961388	1728361823	3107717698	1547646984	7339483166	2529317268	2537695786
2025-09-22	29506626	4127004	9986532	6101220	18492414	4389036	4192512	3083091	7249727	4127004	4127004	7121749	4258020	1730730	0	4520052	2258118	4127004	0	2253671	2312001	0	3091842	21730443	3037015	0	0	0	0	0	0	21431240	4389036	26413841	3050733	4127004	6201120	3040201	4127004	7450869	7240406	26080024	3157644	0	4389036	0	3034588	3139396	0	6491164	0	3773581	4585560	4258020	3069511	2965091	4127004	2283518	0	0	4127004	6457322	0	0	2268390	3995988	4127004	3013620	4520052	0	0	3379215	3343420	0
2025-09-29	2911360288	3041844060	4479364152	2828332980	0	0	8319516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	2150400	104787476	4192512	0	14298696	0	5663004	2161764	11457024	0	1536000	5794020	9306624	5904696	6363252	5048604	921600	8450532	5253404	5114112	1843200	8385024	4127004	7389746	5728512	11193176	8223004	7258882	5933312	1549329	6175004	1397704	5794020	5942173	0	7608604	9986532	4127004	5663004	8385024	7330020	4127004	5767266	4127004	0	6259271	9838612	4520052	4082631	5831680	8254008	4127004	4520052	1433600	5663004	6739426	1262461	5447934	1707940	4061496	8516040	9564422	9750633	10008471	4258020	5741777	5454982	1240052	9502415	1278530	4389036	4847592	5867804	4127004
2025-10-13	18421696	4061496	1536000	1843200	10359240	10162716	4127004	11391516	2161764	5663004	4061496	3072000	5048604	921600	0	5179620	5114112	5048604	9380408	4127004	6288768	14019412	8419528	5758375	4258020	7660090	8223004	5692943	4192512	6288768	0	8254008	4680384	12015362	6175004	8385024	4258020	3072000	7199004	11391516	1536000	1768044	4192512	5767893	1558874	8457046	5711608	9873760	10305891	7405340	0	1381517	0	4127004	4127004	3467975	2161764	4127004	0	4389036	5385415	1310414	2993250	1492431	0	6419784	4686704	6738124	8188500	8254008	4913100	1839119	4192512	5867804
2025-10-20	2150400	3757818560	5663004	1843200	4127004	3982680224	0	6318084	1536000	4127004	0	0	0	921600	4258020	5048604	921600	4454544	4258020	5114112	0	0	3310822930	3262742	1536000	0	0	0	5867804	0	4061496	0	1536000	2480540573	4627270893	1740800	5663004	0	4127004	4520052	5925036	0	8254008	5702385	4281324094	0	1375668	6139804	4780888475	5100407864	4127004	1381517	5794020	0	5663004	2197305215	4389036	3743285244	0	1688388	5516431	3280373432	5623629	4306081231	2090994124	0	5585998	3995988	2351808225	4127004	2679625960	2161764	6079536	3580821622
2025-10-27	25317288	0	5663004	5970204	0	0	1536000	3697764	4454544	1536000	0	5663004	0	3668448	0	4585560	0	0	0	921600	0	1638400	2048000	0	5663004	5498326	6699068	4127004	4127004	4192512	2048000	5524708	0	6335221	2048000	5867804	4389036	5794020	4323528	5663004	4192512	0	5767266	4127004	0	2132267	4127004	0	1920867	6028204	5538558	5508521	0	0	1536000	1306211	0	5709966	4192512	5815392	0	1310414	4127004	1492431	4127004	1287233	4127004	1240052	4323528	1278530	0	0	5867804	0
2025-11-03	57852347	38057472	35164044	28793916	51992724	24095292	39372120	32690304	34226304	44443740	54147612	56469708	23090232	44384820	35667768	37488528	25710552	25308528	24196292	34615152	44707872	46319056	33726368	47180636	17601024	33448512	27010048	48301133	37406180	32724975	50317144	33279264	23605320	44955174	38722228	33999764	40558140	16415004	43731840	36831060	43630140	25808136	45868410	46798224	42408148	31230847	60366656	26827764	29453259	50382992	23762310	58021372	24450048	36646600	67619820	36140671	33253902	36890886	44901372	42541968	41614626	31051808	38624697	34502706	19532418	46321760	32991924	35486936	19620687	40000502	47638760	31997274	41467676	32175216
2025-11-10	42415092	25238532	36998268	11499804	28811868	35532264	27784080	28970100	31452528	18656028	34109040	43745592	23946324	16788000	24508968	39654780	30802224	24788952	19532460	26033604	27151728	35509536	86621744	20603375	23241588	26971912	16708040	37891614	27345864	32462943	35460580	24020600	25294776	11387680	22655516	37733720	32566164	35907072	22717524	41023572	21836604	19649712	29491410	27460608	41976228	23179877	47399520	33486252	24759921	27584740	32189484	35415263	25039620	21113628	24165576	34572428	26012404	23112666	28056352	19920660	20390034	9564422	24187665	47735322	35881008	47725859	28864920	34700840	12469050	17854302	27207588	19278932	41878964	32886128
2025-11-17	27151728	26754192	15453012	20277876	16067412	26051556	16508016	33460836	9688308	17316552	26553180	14332500	10097208	17185536	11280840	6957312	13237104	16189452	12014892	23456352	22365156	19784816	27730636	23099008	16982136	15713228	21390112	16305239	11221220	16265766	16804552	23015944	19966188	16628320	16511516	17930952	19245600	28947660	22979556	15446136	9790008	15457200	14545338	21627207	20974796	12780574	13269852	15519112	7924365	7274324	9665562	20783583	15518520	21201864	18525012	20950713	25946896	23833254	13639860	18756336	29126829	9761708	8616879	26291457	36348252	12181215	19753544	11520208	26811547	9532538	26643548	24187137	23471216	22123464
