week_start	sub-amadeus/sub-amadeus_ses-01042020_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-01042020_ecephys.nwb	sub-amadeus/sub-amadeus_ses-06242019_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-06242019_ecephys.nwb	sub-amadeus/sub-amadeus_ses-06302020_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-06302020_ecephys.nwb	sub-amadeus/sub-amadeus_ses-07032020_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-07032020_ecephys.nwb	sub-amadeus/sub-amadeus_ses-07082020_behavior+ecephys.nwb	sub-amadeus/sub-amadeus_ses-07082020_ecephys.nwb	sub-mahler/sub-mahler_ses-03122021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-03122021_ecephys.nwb	sub-mahler/sub-mahler_ses-03152021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-03152021_ecephys.nwb	sub-mahler/sub-mahler_ses-03172021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-03172021_ecephys.nwb	sub-mahler/sub-mahler_ses-03182021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-03182021_ecephys.nwb	sub-mahler/sub-mahler_ses-03192021_behavior+ecephys.nwb	sub-mahler/sub-mahler_ses-03192021_ecephys.nwb
2024-12-02	0	0	0	0	0	0	0	0	0	0	251976300	114892989732	499111735	174560401171	328007525	146710451381	1311641250	474125247054	508632227	184004047388
2024-12-09	0	0	0	0	0	0	0	0	0	0	312867146	11745760	16573524	0	0	0	0	0	0	0
2025-01-13	0	0	0	0	0	0	0	0	0	0	18634526	8069036	0	167967167	13548845	0	25954293	0	0	0
2025-01-20	0	0	0	0	0	0	0	0	0	0	0	0	20164095	0	0	0	0	0	0	0
2025-01-27	0	0	0	0	0	0	0	0	0	0	1893318	8904340	11063379	4935727	10621450	778037	7562537	13965374	2630535	9374199
2025-02-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24434484	0	7991976	0	32426460
2025-02-10	192199476	20241445488	215240660	11479340509	183743017	21969498736	222165304	28579987456	201586576	19884534348	0	0	0	0	0	0	0	0	0	149782546232
2025-02-17	15549521	36154718	18375760	26529473	27244953	5270638	17497188	2524061	52950816	389452	18217048	8121436	23453183	18896659	49483053	4389036	23424265	23074421	0	318982631719
2025-02-24	67543151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	6359374930	27947497981	597874280	16449265001	593457970	34953786502	726072254	80987491954	679607752	32278704460	1078836380	198883798108	1107540990	444322294611	453971245	426917810233	1181407762	204896765844	0	473990108895
2025-03-10	16613576	0	0	0	0	0	0	0	0	0	0	0	0	0	9376	0	13424	0	0	0
2025-03-17	75400	0	0	0	0	0	0	0	0	0	0	11005344	0	13756680	0	23713896	0	14411760	0	24499992
2025-03-24	184684313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	890517697	6684672	68982374776	0	0	34953786502	0	40493745977	0	32278704460	368370630	198883798108	553770495	244647221011	453971245	0	590703881	287760193141	563225479	274474539111
2025-04-07	174804529	16086360	11189288	5410720	16360096	16086360	16452280	16086360	0	16086360	5424752	0	11486488	16274448	0	5243424	6059744	0	0	10852504
2025-04-14	1964410394	0	10145136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-21	45240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-28	60320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	0	10485760	0	10485760	0	10485760	0	0	0	0	0	52428800	0	41943040	0	52428800	0	15132348	0	52428800
2025-06-02	278934382	425777544	436505936	168777784	306802805	446628888	486584596	498701680	421009998	599270664	1377845128	2714304472	321973852	3373385336	387911489	3306664896	2815204986	3829754848	370407177	3179880296
2025-06-23	156280	0	105236	0	52152	0	57483	0	148751	0	96327	0	104854	0	134476	0	129674	0	126108	0
2025-07-14	135937	0	63934	0	125488	0	167924	0	101728	0	165208	0	106177	0	109512	0	93254	0	156792	0
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62453272876
2025-07-28	87839552	0	0	0	104857600	21269869702	0	0	104857600	26993995872	158655430	255125775652	396484095	162581708800	0	20971520	0	200847064929	0	18906858176
2025-08-04	30160	0	0	0	0	0	0	0	0	0	38376988	259627268664	0	0	0	33551545268	433417481	0	262144000	0
2025-08-11	255164217	0	246508340	10210237801	0	0	205749727	6029312000	0	0	0	0	0	0	262144000	0	0	0	0	334381844171
2025-08-18	30160	0	0	0	0	0	0	49563928377	0	0	19189502	0	0	0	0	159282880309	0	0	0	0
2025-08-25	45240	0	194079540	0	0	0	0	0	0	23575523660	0	0	0	0	191827245	0	0	188638822400	0	0
2025-09-01	52443880	0	0	0	0	0	0	0	0	0	0	0	134340095	156671694611	0	0	0	0	0	0
2025-09-08	30160	22124953600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-15	30160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	15080	0	298937140	0	0	0	363036127	0	339803876	0	4258020	0	0	0	458131335	0	594830885	0	565298958	0
2025-09-29	30160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	30756119	17736267	0	0	0	0	0	0	0	0	102880066	0	0	0	0	0	0	0	0	0
2025-10-13	34418864	17201269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	20018736	14198835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	22794303	14002311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	66636427	48366676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	26804856	49671369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	23190058	18838969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	21123221	23162497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	39929946	18325839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	27930124	13876762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181845098496
2025-12-15	50607750	28195679	298937140	8057484	300855989	8909088	383278099	16901064	5764704	10284756	378524370	18145716	18211224	0	9826200	18407748	10153740	10153740	12839568	16442508
2025-12-22	0	27947497981	0	16449265001	0	0	0	40493745977	0	0	0	198883798108	0	0	0	0	0	287760193141	0	548949078222
2025-12-29	0	0	0	0	0	0	0	26039125817	0	0	247784390	0	0	0	0	0	391474441	0	0	0
2026-01-05	33831773	31482013	0	10907540841	0	0	247692767	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	0	0	0	0	9035495516	0	0	0	0	0	0	0	0	0	5968664236
2026-01-19	19872640	17801775	0	0	0	24452297862	0	0	0	0	0	0	0	0	0	157850525493	1181407762	0	0	0
2026-01-26	19938148	19040960	0	0	212842905	0	0	0	204472320	20676211020	0	129053879388	277872640	139091509248	0	0	0	156843382389	424673280	0
2026-02-02	198577258	15272687323	199322420	0	0	0	0	0	0	0	0	0	0	0	296684845	0	0	0	0	0
2026-02-09	15995810	9362177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	5836141	4907633	0	0	0	0	0	0	0	0	18563592	10985004	1228800	21212528	11652848	11046724	18407748	10022724	1638400	9290072
2026-02-23	16257842	18456855	1055540	0	0	0	0	0	0	381260	0	0	0	0	0	0	6030885	0	0	0
