week_start	dataset_description.json	derivatives/dwi/sub-MR243/sub-MR243_sample-brain_acq-DSI.bvals	derivatives/dwi/sub-MR243/sub-MR243_sample-brain_acq-DSI.bvecs	derivatives/dwi/sub-MR243/sub-MR243_sample-brain_acq-DSI_desc-DWImasked.nii.gz	derivatives/dwi/sub-MR243/sub-MR243_sample-brain_acq-MulShell.bvals	derivatives/dwi/sub-MR243/sub-MR243_sample-brain_acq-MulShell.bvecs	derivatives/dwi/sub-MR243/sub-MR243_sample-brain_acq-MulShell_desc-DWImasked.nii.gz	derivatives/dwi/sub-MR256/sub-MR256_sample-brain_acq-DSI.bvals	derivatives/dwi/sub-MR256/sub-MR256_sample-brain_acq-DSI.bvecs	derivatives/dwi/sub-MR256/sub-MR256_sample-brain_acq-DSI_desc-DWImasked.nii.gz	derivatives/dwi/sub-MR256/sub-MR256_sample-brain_acq-MulShell_desc-DWImasked.nii.gz	derivatives/micr/sub-MR243/sub-MR243_sample-brain_stain-FS_space-dwi_desc-injection.nii.gz	derivatives/micr/sub-MR256/sub-MR256_sample-brain_stain-LY_space-dwi_desc-injection.nii.gz	participants.tsv	samples.tsv
2025-01-06	507	26088	18999	216844593	5100	18060	156416230	26088	43911	8385024	8450532	12921	12618	282	291
2025-01-13	0	0	0	0	0	0	0	0	0	0	0	0	0	94	97
2025-01-20	1521	78264	56997	1902077289	18360	65016	1331691282	78264	131733	4186391940	1503865287	38763	37854	1692	1746
2025-01-27	338	8696	0	334853173	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	338	52176	18999	640625499	1020	0	0	0	0	45266028	0	0	0	564	485
2025-02-17	1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	169	0	0	211341921	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	0	0	0	12944137561	0	0	0	0	0	465154660	0	292876	0	0	0
2025-03-10	0	0	0	6739064142	0	0	0	0	0	0	0	12921	0	0	0
2025-03-17	0	0	0	336022943	0	0	0	0	0	778872739	0	0	0	0	0
2025-03-24	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	0	8696	0	1514990614	0	0	295931396	0	0	0	0	0	0	0	0
2025-04-07	338	0	0	0	0	0	31808949	0	0	0	0	0	0	94	97
2025-04-21	169	0	0	59712403	0	0	0	0	0	0	0	0	0	94	97
2025-05-12	0	0	0	1536581931	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	0	0	0	120808722	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	169	0	0	0	0	3612	147965698	0	14637	465154660	0	4307	0	0	0
2025-08-04	169	8696	6333	1056709605	0	0	0	0	0	0	0	0	0	0	97
2025-08-11	0	0	6333	0	0	0	0	0	0	0	167096143	0	0	0	0
2025-08-18	0	0	0	0	1020	0	0	0	0	0	0	0	4206	0	0
2025-08-25	169	0	0	211341921	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	8696	0	0	0	0	0	0	0	0	0	0	0	94	0
2025-09-08	338	0	0	0	0	0	0	8696	0	0	0	0	0	0	0
2025-10-06	169	8696	6333	241591035	2040	7224	147965698	8696	14637	465154660	167096143	4307	4206	94	97
2025-12-15	507	26088	18999	225688173	6120	25284	164342698	26088	58548	481269628	183997207	17228	16824	282	291
2025-12-29	0	0	6333	0	1020	0	0	0	0	0	0	0	0	0	97
2026-01-05	0	0	0	422689060	0	0	147965698	0	0	0	0	4907	0	0	0
2026-01-12	507	26088	18999	0	3060	10836	0	26088	43911	1301621008	0	12921	12618	282	291
2026-01-19	0	8696	0	0	0	0	316490281	0	0	465154660	0	0	0	94	0
2026-01-26	169	0	0	211341921	0	0	35374833	8696	0	34167267	208870651	0	0	0	0
2026-02-02	0	0	0	36625524	0	0	0	0	0	0	0	0	0	0	0
2026-02-09	0	0	0	0	0	0	27446063	0	0	0	0	0	0	0	0
2026-02-23	0	0	0	106462470	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	7224	21683148	0	29274	18473256	0	8614	8412	0	194
2026-03-23	0	0	0	0	0	0	23760182	0	0	0	0	0	0	0	0
2026-04-20	338	17392	12666	422683842	4080	21672	313880588	17392	58548	930309320	334192286	17228	16824	188	388
2026-05-11	0	0	0	217106625	0	0	0	0	0	0	0	0	0	0	0
2026-05-18	0	0	0	0	0	10836	8647056	0	43911	8712564	0	12921	12618	0	194
2026-05-25	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-06-22	0	0	0	0	0	7224	2554812	0	29274	0	0	8614	8412	0	194
2026-06-29	169	8696	6333	211341921	2040	10836	147965698	8696	29274	465154660	167096143	8614	8412	94	97
2026-07-06	0	0	0	0	0	7224	2685828	0	14637	0	0	8614	8412	94	194
