week_start	sub-M541/sub-M541_ecephys.nwb
2025-02-10	878332021
2025-02-17	112978637
2025-02-24	2824188434
2025-03-03	3036603691
2025-03-10	64847592
2025-03-17	1487509061
2025-03-24	9781364356
2025-03-31	10384381740
2025-04-07	330664561
2025-04-14	116257597
2025-06-02	1374262853
2025-06-09	1404593057
2025-08-11	734003200
2025-08-25	1007261253
2025-09-08	14804808
2025-09-15	521218277
2025-09-22	849974853
2025-09-29	19193844
2025-10-06	1611602611
2025-10-20	1449400938
2025-10-27	1893936266
2025-11-03	2228852293
2026-01-12	1374262853
2026-02-02	419430400
2026-02-16	9826200
