week_start	sub-BO14/sub-BO14_ses-BO14-W5D1-062524-10uA_ecephys.nwb	sub-BO14/sub-BO14_ses-BO14-W5D1-062524-20uA_ecephys.nwb	sub-BO14/sub-BO14_ses-BO14-W5D1-062524-30uA_ecephys.nwb	sub-BO14/sub-BO14_ses-BO14-W5D1-062524-40uA_ecephys.nwb	sub-BO14/sub-BO14_ses-BO14-W5D1-062524-50uA_ecephys.nwb	sub-BO14/sub-BO14_ses-BO14-W5D1-062524-5uA_ecephys.nwb	sub-BO14/sub-BO14_ses-BO14-W5D1-062524-60uA_ecephys.nwb	sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-10uA233uS_ecephys.nwb	sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-20uA233uS_ecephys.nwb	sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-30uA233uS_ecephys.nwb	sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-40uA233uS_ecephys.nwb	sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-50uA233uS_ecephys.nwb	sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-5uA233uS_ecephys.nwb	sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-60uA233uS_ecephys.nwb	sub-SO1/sub-SO1_ses-20230721T111144_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230613-PostStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230613-PreStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230615-PostStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230615-PreStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230620-PostStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230620-PreStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230622-Full_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230622-PostStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230622-PreStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230629-PostStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230629-PreStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230705-PostStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230705-PreStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230706-PostStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230706-PreStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230718-WestPostStim_ecephys.nwb	sub-SO1/sub-SO1_ses-SO1-230718-WestPreStim_ecephys.nwb
2025-07-28	2210934680	3080542284	1830891444	1841764876	1476395008	4451884736	767055976	71200204	97319456	79817416	88747012	53623216	59472472	59618052	0	107735116	340124724	314980376	379733064	994808860	314494880	1026841852	594949220	269207704	252242456	298387932	287120376	1509635840	185862676	68003340	754522860	268816464
2025-08-04	6391360816	6852209968	3689035416	2218931864	3694802584	0	2621440000	0	0	52428800	0	0	0	60473688	0	0	104857600	0	0	0	0	0	0	0	0	0	0	0	0	104857600	0	0
2025-08-11	0	0	0	0	0	0	0	72663384	0	0	11092312	0	0	0	0	67533592	0	231755032	104857600	0	262144000	0	0	0	314572800	0	183801112	0	0	0	0	0
2025-08-18	0	0	0	0	1782579200	0	0	0	0	0	0	0	52428800	0	0	0	0	0	0	0	0	0	0	0	0	262144000	0	0	0	0	0	0
2025-08-25	0	1468006400	0	0	0	3320723096	2621440000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	209715200	0	0	0	0	0	0	0	0	0	0	0	157286400	0	389580568	0	0	734003200	0	0	0	0
2025-09-08	3001716264	3904411384	5552218464	7325670840	8413254144	5100520328	5236935440	132053276	110589824	83846640	194339816	129544880	206301944	70628016	287373540	0	639860720	0	333012212	0	477071024	0	439904536	906187868	0	528673452	445945112	700529232	0	675189144	408599176	310638764
2025-09-15	150459004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	692706280	3424619648	566168	3199622168	736768448	564592	2985544016	125119224	2782180	4762644	4763308	0	5820004	5034472	437096	4127004	436992252	389041432	479973292	436810804	436831192	874797304	440308272	437387812	0	475435960	445945112	878787152	332237848	304078136	0	223408388
2025-09-29	0	0	0	507684640	2973408888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	12267668	8830512	4705432	4597792	441976	429424	8778072	5516900	3140452	5316308	472464	9528384	5041932	4600436	0	20108780	5298288	8912580	8973556	8254008	4976668	9257940	807472	4550132	4616188	402360	4529716	399952	4127004	4486740	8188500	6877556
2025-10-13	4856428	24323528	4705432	4591676	4568980	4556428	4664996	498424	489344	4127004	472464	0	4127004	0	0	4258020	4127004	4523544	392008	4478004	4486328	403704	403736	4484624	5563928	8590860	4192512	0	4551960	4486740	4127004	0
2025-10-20	2161764	445488	0	8385024	0	5146000	537992	4625428	4878380	4192512	0	440664	457464	8254008	0	359192	421872	4192512	392008	4674528	0	403704	0	423128	358168	402360	5053780	0	4127004	4454544	0	2161764
2025-10-27	0	445488	4705432	4657184	441976	0	5320076	0	0	0	0	440664	4192512	4600436	191995784	0	437184596	4458036	475817616	4651068	432245632	0	4127004	436859568	4127004	475838320	4716576	878787152	4879500	4945296	330376	0
2025-11-03	7421535548	975431032	73203156	5118046676	40925108	5012613528	646955524	279184388	166561608	101968688	170448660	79478808	66022236	75533592	11201868	32907852	45569988	481500880	42308808	880343216	35231664	944910604	516715368	463344184	460844052	40146768	983475364	1825699252	712314508	83355024	463067520	76182668
2025-11-10	28483488	25469712	21790520	40180868	23893028	45950084	24794012	25146476	36803700	37576724	25893600	23606544	27836532	20346104	0	23083856	36697584	27737820	18992120	27874104	7166336	16079856	22554748	18397052	20286220	26932776	19045640	23631208	41362380	25444836	24722040	23316144
2025-11-17	21251100	19076064	22184924	9314368	22550520	26210444	28158644	14440216	19185980	29821380	11964180	19628448	10868868	23067688	0	18828040	18617376	22545228	14342092	27064548	14636188	18188340	18122960	14073524	14730796	11482524	14169056	21434924	13818804	327297932	18814976	7923332
2025-11-24	3717069796	3711220124	3708660000	3693018272	3717510712	3705911228	3705300452	139021148	144628224	137678900	129567636	122042324	131584800	118048008	218016616	230580288	450991064	18294192	503785372	22914084	450421192	888793132	22294096	455816112	407979812	492776632	464578376	910665464	358765204	322646864	418368376	227206200
2025-12-01	42046032	23452032	23090892	18628736	23303456	22876780	19787548	14938640	17451984	24258280	27124344	15614568	15453336	18190344	0	6706856	15116628	15022284	22334068	10074516	10477400	7018440	5807456	23697852	14473016	18716340	18511912	19831744	18666396	23482944	14032892	13950852
2025-12-08	15691756	13219548	9410864	17764900	9924056	21785032	10943968	63988904	6573724	18816036	12371136	14536716	14669424	12919952	0	9331584	4970748	9574644	13977660	18609144	14245080	14236548	18439812	9165772	9721560	18313980	19307672	14432472	9038412	14769264	13372140	13426788
2025-12-15	5708740412	3723129512	7402451040	6798605828	3723946264	7410658032	71576112	281514220	161714016	163448944	273846756	140057024	337649676	131733176	218016616	325043336	458335820	835889132	1005927492	489710976	461359088	1811138492	699182952	468292712	216579156	40848732	922717640	2292762192	359289268	35012352	446727668	245351132
2025-12-22	3693779112	3688279088	3689063320	3686967072	3694829176	7375502048	0	125119224	0	119517944	115979664	116152664	122415864	112908632	252801364	224819992	432242672	389041432	714921616	0	432245632	874797304	0	432243928	0	475435960	597988632	878787152	332237848	304078136	0	218299464
2025-12-29	0	3688279088	0	3686967072	3694829176	0	0	0	0	0	0	0	69987064	0	218016616	0	0	389041432	475425608	432683800	0	874797304	439904536	432243928	0	291935160	445945112	0	0	304078136	0	218299464
2026-01-05	11126192572	7402512580	11112065168	13078827596	8716526204	14778364552	11086994268	475365508	475333292	498283800	374698104	582917416	382505496	534734424	654049848	476753684	1757050040	788916128	1454569000	2186749592	1753575932	2643715200	1343742976	1320167604	1186682392	1920057820	1793972844	2646011844	1218879176	1235012288	1524184468	899068812
2026-01-12	10485760	3698764848	0	0	0	7364989960	0	729662704	0	0	0	116146520	367193512	0	0	0	0	0	1426276824	865367600	0	0	0	0	0	20971520	870918704	889272912	10485760	0	0	0
2026-01-19	2423669408	18420984	2319452344	5056348	2006626312	4143019944	5465020	13469008	9232696	10234488	5071932	6282708	14801532	8792948	0	237984896	328086172	5909688	8646016	22563084	5401500	4858248	22249964	277830052	16700288	280706052	5456492	4926908	17750976	17817060	9045776	7857824
2026-01-26	23880256	4047172800	14116296	1501571564	1926958356	2149416696	17766596	22024916	70832616	130679704	257345460	72666124	10541328	212550328	89128960	140895612	285657280	250682868	239073280	6233004	514634716	566501044	5403720	265636176	12446520	18239160	8273336	13246424	24958548	182475916	16969408	143641164
2026-02-02	69712856	5607552	1843774928	8718680	8761492	1586365892	3786954584	12879436	14242092	17168176	5071932	13917420	13951020	8385024	0	718384	9556308	5120100	9103532	8605008	5173192	8657712	225593992	9070184	187981868	402360	9180784	361173812	13754988	191150736	10031232	151119576
2026-02-09	3725007488	3696533096	3699140408	9838432	18702128	3701740604	9526516	143279168	13883764	18281812	8922996	4829700	5695920	5532424	218016616	458612376	4970748	393830500	493504776	12797520	13951264	887909560	453671904	446483896	394423908	5334084	447153248	799904	341276260	313575680	13366468	230742848
2026-02-16	1458848	5031048	4127004	4853708	5272988	4127004	9054032	4625428	4747364	4721656	115979664	4127004	5631504	8858456	0	4756504	9097752	6747324	784016	16974848	9562228	28462440	11585264	4615640	5091296	4997232	19681392	399952	4855868	359736	9185068	4127004
2026-02-23	9918216	9655980	9815056	9445384	14264164	27163932	9592024	5884308	9625744	6107484	17845992	9903540	10280388	5073868	0	4845388	8385024	399136648	13622544	13780140	9987060	883858720	13112288	9463232	9979340	9526596	9593160	13180916	359448	14050908	14878824	784528
2026-03-02	0	4769016	0	4127004	0	0	537992	0	4616348	0	0	4061496	5174040	0	4323528	0	4548876	0	0	0	4127004	0	4465232	5139704	0	4987920	0	0	359448	5010804	0	784528
2026-03-09	0	0	0	0	0	0	0	0	0	4590640	0	4520052	0	0	0	4127004	0	4523544	0	0	0	0	0	0	0	0	402712	0	0	359736	0	0
