week_start	Microscopy	Miscellaneous
2025-03-10	338398427116	20945
2025-03-17	168740444	5154
2025-03-24	0	14087271
2025-03-31	42342191927	15562
2025-04-07	6738769217	70892
2025-04-14	6687171584	59775
2025-04-21	14880321060	130089
2025-05-12	6687171584	1195
2025-05-19	7534413820	181450
2025-06-09	61556921473	1195
2025-06-16	6687171584	0
2025-07-21	15623690682	232594
2025-07-28	99224823788	2513463
2025-08-04	84734860872	2337483
2025-08-11	83997630392	2344582
2025-08-18	37622774428	1286719
2025-08-25	29559908851	1284230
2025-09-01	40148288382	1461734
2025-09-08	46417194250	761260
2025-09-29	6367642095	0
2025-12-08	12817298031	525806
2025-12-15	401235458386	31771269
2025-12-22	15443962841	1227160
2025-12-29	43046465741	936158
2026-01-05	24572864138	1576912
2026-01-12	193819064784	31168610
2026-01-19	73095970045	1462141
2026-01-26	116996817450	2866484
2026-02-02	49606720648	0
2026-02-09	1419937759	0
2026-02-16	30071339	0
2026-02-23	52751648	175873
2026-03-16	2065486293	5849851
2026-03-30	6810232172	1222
2026-04-06	9171120	2190
2026-04-20	853527129	1816729
