week_start	sub-S17/sub-S17_ses-S17-210407_behavior+ecephys.nwb	sub-S17/sub-S17_ses-S17-210408_behavior+ecephys.nwb	sub-S17/sub-S17_ses-S17-210409_behavior+ecephys.nwb	sub-S17/sub-S17_ses-S17-210410_behavior+ecephys.nwb	sub-S17/sub-S17_ses-S17-210412_behavior+ecephys.nwb	sub-S17/sub-S17_ses-S17-210413_behavior+ecephys.nwb	sub-S17/sub-S17_ses-S17-210414_behavior+ecephys.nwb	sub-S17/sub-S17_ses-S17-210415_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210509_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210510_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210511_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210512_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210513_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210514_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210516_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210517_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210518_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210519_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210520_behavior+ecephys.nwb	sub-S20/sub-S20_ses-S20-210521_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210906_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210907_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210908_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210909_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210910_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210912_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210913_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210914_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210915_behavior+ecephys.nwb	sub-S25/sub-S25_ses-S25-210916_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211112_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211113_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211114_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211115_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211116_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211117_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211118_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211119_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211120_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211122_behavior+ecephys.nwb	sub-S28/sub-S28_ses-S28-211123_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211104_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211105_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211106_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211107_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211108_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211111_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211114_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211116_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211118_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211119_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211122_behavior+ecephys.nwb	sub-S29/sub-S29_ses-S29-211123_behavior+ecephys.nwb	sub-S33/sub-S33_ses-S33-220420_behavior+ecephys.nwb	sub-S33/sub-S33_ses-S33-220421_behavior+ecephys.nwb	sub-S33/sub-S33_ses-S33-220422_behavior+ecephys.nwb	sub-S33/sub-S33_ses-S33-220425_behavior+ecephys.nwb	sub-S33/sub-S33_ses-S33-220426_behavior+ecephys.nwb	sub-S33/sub-S33_ses-S33-220428_behavior+ecephys.nwb	sub-S34/sub-S34_ses-S34-220614_behavior+ecephys.nwb	sub-S34/sub-S34_ses-S34-220615_behavior+ecephys.nwb	sub-S34/sub-S34_ses-S34-220616_behavior+ecephys.nwb	sub-S34/sub-S34_ses-S34-220617_behavior+ecephys.nwb	sub-S34/sub-S34_ses-S34-220620_behavior+ecephys.nwb	sub-S34/sub-S34_ses-S34-220621_behavior+ecephys.nwb	sub-S34/sub-S34_ses-S34-220623_behavior+ecephys.nwb
2025-04-07	61578586037	45521795798	43158942473	37218035623	46251672490	0	0	0	108003432989	0	0	0	0	0	0	0	0	0	0	0	86593863560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	2774819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67064777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-28	0	4035113388	1625679576	0	518303476	62251016278	71471634462	0	493672468	0	0	85787277528	0	0	0	0	0	0	0	0	0	130791403775	115374694114	106670178357	186993853047	0	101957586126	138620927421	82457133056	98902077784	52352544920	94949382595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93616865280	0	0	0	0	0	88824870272	93348429824	72421958643	0	0	0	0
2025-05-05	0	0	0	0	0	0	0	0	0	72108474368	148008665060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29020242	807304	4454544	29817060	0	18239364	115011942684	0	152012258348	130708020734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19829867	149538395422	86595600384	105357636983	0	0	2161764	37069354	0	106904420352	0	119024568726	0
2025-05-12	0	0	0	0	0	0	0	0	0	0	0	0	97882405148	41446583977	95464490152	127280551725	0	118124247268	117433281717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125782849848	109116088485	168612234212	0	120170936604	83337479414	148789541422	0	96103272590	79196848128	115771179008	106022497814	0	132623495848	113683794660	0	62436143728	0	13823062	6459209	0	66932434032	71022800636	0	0	0	0	67603791872	0	0
2025-05-19	133435	0	0	163660716	0	0	0	60543760171	0	0	0	0	0	0	0	0	106337225834	0	0	59366178816	0	0	0	0	0	145470978332	28720216	0	0	0	0	0	0	108673164692	0	0	0	0	0	112415208160	0	0	0	131415932928	0	0	0	0	140633694683	0	0	116330739331	0	0	0	0	0	0	0	0	0	0	0	0	0	159220197320
2025-06-02	0	160261240	0	0	0	0	0	0	0	0	0	0	0	8516040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	0	0	0	4127004	0	0	0	26278172	0	0	0	0	4651068	0	11598052	25296896	0	7275731	5767168	20577182	0	0	0	0	0	20431537	0	0	0	0	0	0	14233964	13107200	20208935	29292828	4127004	14963225	10650596	27914695	38350107	0	29882624	67309562	61116362	37785995	50833607	11009074	25296896	59163120	17045648	24132939	26214400	0	34603008	19660800	67429330	23976720	8647056	0	0	0	59503104	4127004	17406396	25034752
2025-06-23	179636	105725	111342	153943	86031	62050	107932	133048	185272	199735	245012	226764	221339	91544	135312	94740	278164	138923	189526	174156	144274	127287	126182	222919	250488	154362	232431	161786	197139	220086	136867	149120	259692	224398	163678	167727	163019	179373	94206	149048	275712	190625	114037	71784	199856	201380	110346	235925	70676	158594	214411	253801	128130	165654	162100	163908	148993	131131	145415	126862	239755	144415	311149	148506	54683	201480
2025-07-07	0	7189270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	27727536	104732	83976	1209955	76626	130435	124956	129826	348906	201258	166996	115854	159824	127424	203598	110710	177649	218379	208828	160518	162852	139127	209897	201682	125244	200942	255056	157118	142032	236309	405507	106180	177142	205224	226808	168891	226275	239164	160266	190528	297312	266875	158290	98912	182044	488836	95880	233627	117192	189516	159420	156917	176938	129201	196236	236977	234604	142610	157075	198122	128745	113625	112380	111039	96938	269054
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45604555392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
