date	bytes_sent
2025-05-04	51632521876
2025-05-05	291524667980
2025-05-06	265725814629
2025-05-07	264608720797
2025-05-08	218229705177
2025-06-10	477019702
2025-06-11	386577059
2025-06-12	374214795
2025-06-14	459546810
2025-06-15	184014674
2025-06-16	15844301
2025-07-26	49142497916
2025-07-27	26866563855
2025-07-28	60215931998
2025-07-29	17533796187
2025-07-30	85140523631
2025-07-31	88264474231
2025-08-01	37495065061
2025-08-02	11270940861
2025-08-03	44355891919
2025-08-04	32359188178
2025-08-05	44829100530
2025-08-06	45166796170
2025-08-07	40027035418
2025-08-08	25973958784
2025-08-09	2529007334
2025-08-10	50721808735
2025-08-11	19044094196
2025-08-12	46053429011
2025-08-13	68243412921
2025-08-14	30294073053
2025-08-15	37948819484
2025-08-16	35718717903
2025-08-17	40787856112
2025-08-18	17494878180
2025-08-19	11540568822
2025-08-20	8634974921
2025-08-22	14030737022
2025-08-24	3512729600
2025-08-25	8096
2025-08-26	22324647376
2025-08-27	27881885763
2025-08-28	25326978189
2025-08-29	16560943944
2025-08-30	14411730755
2025-08-31	12600718064
2025-09-01	18023554636
2025-09-02	41986483963
2025-09-03	14553685600
2025-09-04	24948689775
2025-09-05	7392460800
2025-09-06	13758501334
2025-09-07	8887783261
2025-09-08	39737248376
2025-09-09	7235174400
2025-09-10	26711381562
2025-09-11	48385988857
2025-09-12	16839204567
2025-09-13	11008715139
2025-09-19	8096
2025-09-22	8096
2025-09-25	8096
2025-09-28	8096
2025-10-01	40384
2025-10-08	9542864
2025-10-16	8160
2025-10-22	8160
2025-10-28	16256
2025-11-01	16256
2025-11-11	16310258893
2025-12-12	8429102293
2025-12-13	15959098184
2025-12-14	6827564253
2025-12-15	15005603985
2025-12-16	18578187937
2025-12-17	3532053596
2025-12-18	144569253541
2025-12-19	918988736084
2025-12-20	5332601098
2025-12-21	6436789379
2025-12-22	30970767854
2025-12-23	8227082471
2025-12-24	8785051873
2025-12-25	9825157120
2025-12-26	12954188836
2025-12-27	75950852655
2025-12-28	8059288406
2025-12-29	13204677036
2025-12-30	16002110578
2025-12-31	8109064189
2026-01-01	4733698587
2026-01-02	13653797859
2026-01-03	19205766797
2026-01-04	16844348742
2026-01-05	19070054430
2026-01-06	2736783360
2026-01-07	2659452212
2026-01-08	26183681513
2026-01-09	20722708711
2026-01-10	60847515689
2026-01-11	23310644832
2026-01-13	16556447248
2026-01-16	170155570440
2026-01-17	193347179169
2026-01-18	221076959313
2026-01-19	66530626109
2026-01-22	7650271491
2026-01-23	55458076998
2026-01-24	33215823228
2026-01-26	17968687536
2026-01-27	66376247347
2026-01-28	57135932694
2026-01-29	45268280797
2026-01-30	75081065300
2026-01-31	60110547745
2026-02-01	49980603672
2026-02-02	22577017923
2026-02-03	41873369735
2026-02-04	44428414168
2026-02-05	20964294262
2026-02-20	126015351
2026-02-24	5154942767
2026-02-25	11751532190
2026-02-26	47668562
2026-02-27	59385666
2026-02-28	14131818
2026-03-01	41201810
2026-03-02	62758515
2026-03-03	43481177
2026-03-04	36990001
2026-03-05	43735316
2026-03-06	63023152
2026-03-07	50665757
2026-03-08	53212495
2026-03-09	30823900
2026-03-10	38422506
2026-03-19	770898144
2026-03-26	2947860
2026-04-11	1158050620
2026-04-16	8152
2026-04-21	183684432
