week_start	sub-MS13B/sub-MS13B_ses-20240725T190000_ecephys.nwb	sub-MS14A/sub-MS14A_ses-20240906T190000_obj-12781w8_ecephys.nwb	sub-MS14A/sub-MS14A_ses-20240906T190000_obj-ardad2_ecephys.nwb
2025-03-31	54978934145	69451950737	69797201014
2025-04-07	29286708	5437388	4520220
2025-04-14	57080208537	69499342997	69866753054
2025-04-21	902544828	140699288	3800864
2025-04-28	1136698176	98257432	8256808
2025-05-05	868706668	0	0
2025-05-12	429728700	48379532	7534820
2025-05-19	317462472	0	0
2025-05-26	463271556	0	0
2025-06-09	24374988	0	0
2025-07-21	65687115179	0	0
2025-07-28	71846185117	15394380	69804996466
2025-08-25	0	0	69788881498
2025-09-01	0	69445661969	0
2025-10-06	52291064	0	0
2025-12-15	15394380	15590904	16508016
2025-12-22	54970745645	69445661969	69788881498
2026-01-05	54970745645	0	0
2026-01-12	0	0	17889840904
2026-01-26	0	0	69788881498
2026-02-02	0	69445661969	0
2026-02-16	19906856	14535200	19775840
2026-02-23	9753116	9753116	9753116
2026-03-02	5048604	5114112	3279888
2026-03-16	57717572	13240604	13484684
2026-03-23	2018684	16820404	12562384
2026-03-30	0	8962532	5556116
2026-04-20	9498660	1965240	7402404
2026-04-27	0	7467912	8385024
2026-05-18	15721920	43542728	0
2026-05-25	25986460	4639704	27581092
2026-06-01	19959024	0	0
2026-06-08	1568404	37532296	43249568
2026-06-15	0	14673792	21945180
2026-06-22	2620320	0	0
2026-06-29	41945408	31458904	0
2026-07-06	81515046	110791106	125710166
2026-07-13	1269480	1203972	0
2026-07-27	0	33302512	0
2026-08-03	194727628	48191128	47470540
2026-08-10	8388609	21031653	8388609
2026-08-17	12717528	0	0
