week_start	sub-HK210328B/sub-HK210328B_ses-clicks1_ecephys+image.nwb	sub-HK210329B/sub-HK210329B_ses-clicks1_ecephys+image.nwb	sub-HK230827/sub-HK230827_ses-clicks1_ecephys+image.nwb	sub-MG230907/sub-MG230907_ses-clicks1_ecephys+image.nwb	sub-MG230912/sub-MG230912_ses-clicks1_ecephys+image.nwb	sub-MG231211/sub-MG231211_ses-clicks1_ecephys+image.nwb	sub-MG240222/sub-MG240222_ses-clicks1_ecephys+image.nwb	sub-MG240314/sub-MG240314_ses-clicks1_ecephys+image.nwb	sub-MG240328/sub-MG240328_ses-clicks1_ecephys+image.nwb	sub-MG240405/sub-MG240405_ses-clicks1_ecephys+image.nwb	sub-MG240405/sub-MG240405_ses-clicks2_ecephys+image.nwb	sub-MG240616B/sub-MG240616B_ses-clicks1_ecephys+image.nwb	sub-MG241017/sub-MG241017_ses-clicks1_ecephys+image.nwb
2025-04-21	9526983	5391653	43939056	56314188	7243696	33554432	35966464	39145412	67108864	30235430	32721124	68040928	58720256
2025-05-12	14756168	0	0	0	0	0	0	0	19826896	0	0	0	0
2025-05-19	29248475	0	77493488	89868620	0	0	0	0	0	0	57886948	101595360	0
2025-06-09	11234644	5962012	1894880	1001804	1214384	4127004	3840100	4520052	1913136	4389036	2292780	932064	3092060
2025-07-28	0	0	25064688	0	7243696	83323032	0	0	0	52428800	0	0	0
2025-08-11	5343119	1271077	9561896	8974596	6789404	11588040	15632984	10052040	11207092	5523712	2252800	6209904	9912748
2025-08-18	0	30557477	0	89868620	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	7243696	0	33869312	0	0	0	0	0	0
2025-09-22	15374277	6669158	0	12825116	6789404	0	0	0	12927516	0	0	0	0
2025-09-29	2048	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	21659079	30959968	31238228	26594560	30741904	32471340	16898676	27470292	32245500	16901064	0	32373036	23994580
2025-10-13	6166186	10796162	8254008	6379804	9585208	10707120	14039752	12927516	15715044	12313116	0	5882364	12816140
2025-10-20	12332372	9525085	8050668	5253404	9451804	15977076	19563464	7592052	5663004	21353220	0	5882364	12816140
2025-10-27	15271798	9590593	13754408	16218768	10981916	9790008	5458204	20300604	4454544	9978256	0	17581584	18756328
2025-11-03	51953043	44533891	61028464	45015072	60370172	41766600	48272232	56862756	38563584	55763572	0	40429248	58250488
2025-11-10	44525337	40812593	25801064	33825968	25349208	34233180	32332748	41678652	16923504	45567752	0	31048248	25084788
2025-11-17	34343060	20229314	23316304	18930124	15523008	23241588	17902336	23838036	14922072	16898676	0	30748692	24298692
2025-11-24	15439785	23963270	13682084	21472172	14037364	16989012	22029340	8800512	28511544	25480224	0	7637724	29342808
2025-12-01	19791850	26243392	17809088	14633812	20829156	11194992	19825496	18852552	17601024	9451804	0	22036128	17226216
2025-12-08	15402814	10992686	16632216	17699924	6920420	8866020	24497604	15649536	11391516	14039752	0	13847628	14998944
2025-12-15	51052080	68670475	24429940	125818060	28079504	117409632	44954752	39742728	18102648	88522486	90652148	41268768	39475508
2025-12-22	0	0	0	0	0	0	0	0	26214400	0	0	0	0
2025-12-29	0	30557477	0	89868620	7243696	0	0	0	110401688	20971520	0	0	0
2026-01-05	19976705	54696591	17474732	13886008	26483884	17382060	23622572	23503620	17601024	31593508	0	19598976	20499228
2026-01-12	10485760	0	0	0	0	0	75812352	0	110401688	89830988	126259656	0	0
2026-01-19	9208091	10927178	19909888	42029596	10371304	4608000	16702152	13167108	14244552	21287712	0	22429176	14432800
2026-01-26	14420194	9590593	72695628	18078520	2662400	9790008	53467820	63194708	20366112	19956512	0	22979952	56566264
2026-02-02	4127004	13652089	2615776	10834348	22811172	40460640	13646704	9724500	3072000	6985928	0	67681048	15960524
2026-02-09	8057484	5660113	5434892	14961352	9716224	9790008	6789404	15387504	14179044	8120604	0	7703232	12444132
2026-02-16	26953183	22796784	17808328	18793220	22227012	10908132	17565820	9498660	11764224	27756452	0	5882364	2662400
2026-02-23	17560632	19876049	23109932	21455620	25320592	6584604	19600356	8906700	18172644	20992576	1843200	20024516	20632632
2026-03-02	0	0	0	0	0	4389036	0	0	1536000	5654728	0	4454544	0
2026-03-09	0	0	0	0	0	0	0	4651068	0	0	0	0	0
2026-03-16	14935824	20333905	8188500	2633084	3993600	9521100	6047776	2125572	25380912	11899028	9891708	10402416	7245572
2026-03-23	1019591	0	5565908	0	5970204	655080	589572	0	0	0	0	1755360	0
