region	bytes_sent	number_of_requests	number_of_downloads
US/California	4934958264	<50	<50
missing	1237952708529	49360	2360
GB/England	30117664220	400	<50
US/Oregon	20643010152	<50	<50
US/New York	83477968	180	<50
US/South Carolina	2763502656	<50	<50
US/Illinois	2763555072	<50	<50
GCP/us-east1	7055699888	<50	<50
US/Utah	2763502656	<50	<50
SG/Singapore	4127004	<50	<50
GCP/europe-west4	2763502656	<50	<50
GCP/us-west1	2763502656	<50	<50
US/Iowa	3442366264	<50	<50
GCP/us-central1	5527005312	<50	<50
GCP/us-west4	4292197232	<50	<50
GCP/us-east4	7055699888	<50	<50
HK/Yuen Long	960973284	<50	<50
US/New Jersey	46967072	<50	<50
