week_start	sub-001/sub-001_ses-sM1-04-22-2024-01.nwb	sub-001/sub-001_ses-sM1-04-22-2024-02.nwb	sub-001/sub-001_ses-sM1-04-22-2024-03.nwb	sub-001/sub-001_ses-sM1-04-22-2024-04.nwb	sub-001/sub-001_ses-sM1-04-25-2024-01.nwb	sub-001/sub-001_ses-sM1-04-25-2024-02.nwb	sub-001/sub-001_ses-sM1-04-25-2024-03.nwb	sub-001/sub-001_ses-sM1-04-25-2024-04.nwb	sub-001/sub-001_ses-sM1-04-26-2024-01.nwb	sub-001/sub-001_ses-sM1-04-26-2024-02.nwb	sub-001/sub-001_ses-sM1-04-26-2024-03.nwb	sub-001/sub-001_ses-sM1-04-26-2024-04.nwb	sub-001/sub-001_ses-sM1-12-12-2023-01.nwb	sub-001/sub-001_ses-sM1-12-12-2023-02.nwb	sub-001/sub-001_ses-sM1-12-12-2023-03.nwb	sub-001/sub-001_ses-sM1-12-12-2023-04.nwb
2025-06-30	790081552	673362128	674334312	674516892	673345212	672995816	666101064	674128380	673789476	673260492	674016368	674054972	51179860	49901544	51171440	51674900
2025-07-07	195155944	97540984	97306236	96873434	97467018	97914618	97513168	97072282	97132248	97064336	97147208	96642446	346492716	11024386	9530016	8766372
2025-07-14	16678228	0	0	0	0	0	0	0	0	0	0	0	32637864	64783508	33780408	33802860
2025-07-28	556708160	0	557829584	0	556679702	0	0	0	0	0	0	557755478	0	32391754	0	0
2025-08-04	11364640	556622652	0	0	0	0	557839992	0	0	0	0	0	0	0	0	0
2025-08-11	179648	0	0	0	0	0	0	0	556803600	556932212	557736176	0	32637864	0	0	0
2025-08-18	179648	0	0	0	0	556930890	0	557857662	0	0	0	0	0	0	33780408	33802860
2025-08-25	269472	556622652	0	0	556679702	0	0	0	556803600	556932212	0	0	0	0	0	0
2025-09-01	13043532	0	11856948	0	0	0	557839992	0	0	0	0	0	32637864	0	0	0
2025-09-08	179648	0	0	557789886	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-15	179648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	671252892	82448	82656	81704	82728	77304	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	0	0	0	0	77280	77704	83552	76688	75456	74792	87968	77976	76288	76272
2025-10-06	1554742916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	672293580	50506668	0	640000	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	673014168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	671704008	0	75297364	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	2856609012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	1946571256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	1176431880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	1178200596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	1274341800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
