week_start	Neurophysiology	Video
2025-08-04	147503864508	14921795884
2025-08-11	24744892539	1731906344
2025-08-18	8561445166	1209683504
2025-08-25	21822947336	808283613
2025-09-01	11859356934	1319751933
2025-09-08	7487044868	631575938
2025-09-22	416302343	0
2025-11-17	202803204	87376599
2025-12-08	3662219401	616715613
2025-12-15	98178599007	10768872341
2025-12-22	7874842654	558158156
2025-12-29	5712749027	349449437
2026-01-05	13368790609	1191491564
2026-01-12	62687566266	10999692176
2026-01-19	10952933475	2183366409
2026-01-26	29158965877	2728688307
2026-02-02	19500818396	1118669423
2026-02-16	11010029772	10780672
2026-02-23	1713027858	0
2026-03-02	162594929	61491467
2026-03-09	96774452750	3014261574
2026-03-16	539130840	1578680730
2026-03-23	40312248	0
2026-03-30	154402356	0
2026-04-06	65611046	0
2026-04-13	1511650754	0
2026-04-20	93758591847	9470231511
2026-04-27	128710270	0
2026-05-11	10044191640	576641242
2026-05-18	494716676	2395726019
2026-05-25	150872862	146915980
2026-06-01	335433168	52930464
2026-06-08	288539317	68783400
2026-06-15	176057677	65508000
2026-06-22	123093725	210877092
2026-06-29	33590734	10931010301
2026-07-06	1163858575	212608983
