week_start	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-188fkq5_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1ac8h1a_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1b3ycaz_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1cftnlq_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1dltyky_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1ge179q_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1gmi066_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1iklfs5_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1m4dmm2_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1mol3hx_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1q8eyq3_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-1r591dv_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-b1r1ax_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-pe4y21_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-tlzx25_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-xv7g7g_ecephys.nwb	sub-Chronic-Implant-1/sub-Chronic-Implant-1_obj-zf2qe2_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-125gds2_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-134g155_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-15zduke_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-1pfv28z_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-2tzaex_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-aslpio_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-drihe2_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-elludz_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-f2g31r_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-hy7otw_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-nvg8om_ecephys.nwb	sub-Chronic-Implant-2/sub-Chronic-Implant-2_obj-u2ccqm_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-1006lvt_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-19rl79r_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-1dlqbqq_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-1wo7ghn_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-29wy76_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-lgfd80_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-o6jxi1_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-pkaqoo_ecephys.nwb	sub-Chronic-Implant-3/sub-Chronic-Implant-3_obj-voa3w6_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-14sdvma_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-17kxpn4_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-1dx5ghc_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-1hruc5z_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-1yxo7fk_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-4sn0nv_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-5sg86a_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-bxvxqh_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-feuc1s_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-kqlvuy_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-nzpsm8_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-q8k7hx_ecephys.nwb	sub-Chronic-Implant-4/sub-Chronic-Implant-4_obj-zzab4o_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-12srl3z_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-15nqss_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-1a40bfk_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-1ej2y11_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-1shwbu6_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-1t89062_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-6m5d4v_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-9k2a9s_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-atcwbf_ecephys.nwb	sub-Chronic-Implant-5/sub-Chronic-Implant-5_obj-islug6_ecephys.nwb
2025-06-09	835272036	222528988	951989804	911420748	107592480	580923264	214091256	246541448	280262068	117440512	298169460	413300888	428240244	838857216	180939268	228894312	940238048	1355474000	4165001642	740551396	914761516	967245100	1090708396	660747456	2578405929	4804813312	2097333398	2837898480	1580780584	375538680	1939659492	2075814320	3350146888	3214436016	1963909400	5018649292	1895690808	2751157828	1062002376	3024287916	1579128884	1380517188	806277032	1191047736	2434579192	1495373056	1714093480	1894587976	1480558988	492394524	2479864352	1764748480	2681112240	1996550628	1817328168	102677744	3636085604	2157649848	3898920544	2036699384	1880638108
2025-06-16	15715304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1205862400	0	0	0	0	3573607576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2632042024	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	915216920	0	447705880	444127768	0	302762272	0	0	314572800	0	0	0	0	0	0	3316312524	0	0	997034066	0	0	2662227397	0	0	236861596	0	736808164	20971520	15263364	18276732	11791440	20971520	15001332	0	3584090212	0	3181348120	1327387264	0	0	1206513968	0	0	1161367840	1472239112	0	0	14346252	1436549120	0	1960837120	0	175465680	16245984	2808925688	2426398592	20971520	0
2025-08-04	0	0	0	0	0	0	0	0	0	486410528	205834528	0	255428896	620196632	0	0	0	0	0	0	0	0	0	1048255072	0	0	0	0	0	0	3312577048	0	0	0	3145728000	4562213604	0	0	1108669384	0	0	0	471859200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	843980620	5262668	9040104	9414248	424655480	4877224	4760372	1435184	4604476	9421804	4547132	4624956	452896	4598836	9934616	9127528	9792300	1422164012	8821018	1206727252	9140362	4706670	8188500	4625276	5064829	3751849154	1157822636	4822396	1577056512	9755896	9178164	3349147936	3240963912	2428446188	10335224	10001356	2087334320	835352	4828388	8712564	4885376	8817732	9557000	9175884	10346636	1004663240	8385024	9042012	1316266740	1045591668	5809544	1742144	2002357656	2556888	2155512524	5055164	4113459952	9856964	10122508	5457848	10045176
2025-08-18	0	772971032	0	0	0	0	0	838860800	0	0	0	0	0	0	576716800	0	581297712	0	0	0	1101004800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1887436800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2279067488	1887436800
2025-08-25	488534808	0	0	915216920	0	0	0	0	0	0	0	209715200	0	0	0	0	0	0	0	1115158826	0	0	0	0	0	0	0	0	0	0	2840717848	3032694728	0	0	0	0	2864265232	0	0	0	0	0	0	0	0	0	951652640	0	0	1048576000	0	0	0	0	0	0	3893274760	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	524288000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100987776	0	0	1901521269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101004800	0	0	1538692360	0	0	0	2464153600	0	2660360904	0	0	0	0	0	0
2025-09-08	0	0	734003200	0	0	657421080	0	0	250333472	0	0	0	0	672625432	0	1067342360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2883584000	0	0	0	1108669384	0	0	1101004800	0	1363148800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	0	0	0	0	0	10088232	0	0	18202464	0	9579900	14556060	18450616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	30622824	39523928	27432312	26389616	13500028	13636564	20133412	32405488	41552524	19853308	33795164	23583336	28795220	18853900	29442408	36662924	27653384	21253736	35372142	23045934	24577476	22026666	23808305	26860336	26655018	23258244	20263674	26077220	24031686	25337208	25852416	24943676	27832728	22262960	26944176	26542828	32773424	33606104	29120548	21195864	30622416	28249536	28460140	35669700	19213900	20857344	25984968	22546200	25090752	29745876	29394176	19422200	29600196	27584404	30307200	26285280	29652548	27663200	19540044	29430320	36206244
2025-10-13	13373828	18342528	10082016	8094636	9200732	20723916	20154752	13357640	17659484	17964924	18199876	17268000	14733640	14189556	13788288	18233140	15032940	8439636	15631672	13678290	22573494	4061496	14219475	4625276	12312135	13528854	19957836	17430164	8687478	11484664	10167828	7469116	5019556	14276840	8107952	11377024	15401664	17687660	9656776	17842696	14356312	14242860	10197744	15081132	15094152	17032080	11040384	10814544	14892944	17191920	10941588	19868392	14386784	19457952	19608144	10110328	6664884	5957248	14823468	9191804	10045176
2025-10-20	14590824	13844216	10534356	5352752	17651264	13291880	18408120	9885716	6036892	18030432	4967260	18525936	13805208	13796508	13352332	9957336	14312352	11412964	20894874	13874814	9175112	10189530	10530604	5123548	15915075	18060308	9673080	9211432	19461462	18337444	10102320	16181680	14886704	20498148	19629840	15296820	9173548	10760064	14878212	10243768	10332600	10141704	13815020	15081132	7984720	14005476	1327680	19066644	9542728	14563740	15199608	18708716	21109132	15199932	14906320	14690364	5169488	18241988	15871596	10653664	9215100
2025-10-27	18521304	9389672	13878372	4838140	10540504	13815944	10743684	10668816	10622452	14258048	8739644	13940376	16371340	9656228	18111816	10503196	8077792	14637428	9453536	14372748	4554802	13671360	17777330	13508572	9802118	10723412	11223369	10103348	13509984	17914040	15750096	15084120	6804660	14211332	20735956	10787452	19924144	15083592	18257528	18759808	17959252	15382344	17876516	13377924	5009548	14490168	13651944	11273100	12163048	2051712	15330624	14450696	9133656	9958600	13479896	12004536	10988412	5957248	5094008	13973888	16487412
2025-11-03	51671284	49219400	45169440	64346448	41680132	47455836	34087360	68294884	59323968	52546184	53941968	51424692	60472792	66139144	47129568	64613164	47249284	38879064	47247296	50769432	54064060	52877100	62724296	52869068	46193746	55391370	41509566	42403828	62153178	75275068	51304740	58732136	60742348	59920300	44427292	46917220	59182860	61890308	53671328	64750268	56583704	67857804	52553744	68966820	58769848	63266820	60390000	58978188	70488984	54324480	50075788	48362528	59577884	57849100	52440652	55802548	61766180	65881148	53476232	40732152	66428808
2025-11-10	34732368	29653960	41182776	43028648	30674788	28864052	52953292	33778160	42469496	46781480	24716632	32269788	47579036	23872336	41529780	33802488	45918816	31301928	45806120	42056868	25001282	39019122	33638744	40722240	37394961	28783720	42885435	29785980	39325722	38625740	33807060	33460920	42293652	34969560	43583208	35943928	50596456	46756960	35548228	42444976	40927292	38730816	40019216	35735208	48168436	46680396	34378752	48292752	34076068	37512504	48546684	35098080	35024872	41210068	26442228	49300684	28014848	45643156	47989176	50279092	30594084
2025-11-17	27533752	15875252	20092308	20971356	27358112	14530288	13669460	27632392	18614428	18674164	9934520	23478432	14907524	23701492	23919428	27688208	27456860	15136024	23623648	18303228	22870276	18957696	22014927	24331316	14104933	22230016	23495268	22383576	21900594	14240796	31406508	27269812	18063864	22392024	25190500	17557548	16782188	8434780	28203436	33261596	20524124	23151948	30280028	28056480	27637120	24014964	24805824	23195556	26128160	29164164	39854788	29163424	31864932	25419872	18640276	18959432	19891856	27435912	11925500	20803948	20352384
2025-11-24	32708884	23888968	23826264	15861732	19497152	27697396	28343624	21608652	27982072	27332568	23009040	18827364	10458640	14320572	19191552	14149848	23777112	19263028	18602094	18198342	14288728	22439526	19333338	18894152	23862256	18869208	24237558	20115992	24636594	16231596	21194304	24304672	24557328	17087828	25969076	30014752	29357296	27203072	19398264	21011600	24061556	18723252	18131380	22296540	30157364	24368640	28736304	21956628	27362092	20611440	26468736	24165348	22905892	32625752	25161572	10574408	29450380	21443920	22441056	25237808	25899036
2025-12-01	15752508	25548696	20422956	24649256	19479204	19479264	28081592	16296512	19026392	27267060	23837948	11700276	18909172	27789540	22489552	22709600	11265084	25053200	19474082	18971556	27425078	19416252	36103386	19628664	34429757	23705398	29390787	29261916	27347508	15450296	30765516	20570716	32098964	22979644	20473924	30342292	16847696	34604976	28026116	32594256	32549872	33607380	32201264	25375416	18069324	21184884	21652680	17502084	29534576	13798608	27146236	20254336	24200496	33084308	30321952	23610500	21780300	29894452	25994104	20586740	25003452
2025-12-08	18952204	9957504	9751368	18379392	22462960	10141252	19914804	6279780	14122052	14219620	13996016	19901604	10393132	18172268	13799588	14149848	18809804	13443712	25918606	13507896	10292740	14260932	20401889	10745368	20259316	18572970	17970894	2938510500	15203442	14926232	17911860	9630880	20823372	11392536	12219916	19161792	15598188	17343368	14485164	8577340	24988728	20648832	19813084	19404660	11784184	14359152	22552272	7146096	18189784	18858444	2434964900	20909416	16011996	14282128	5422412	15159968	18986032	16172516	22441056	11132904	6813756
2025-12-15	1252112704	1183405012	32145780	1162692428	507157832	848270964	28169184	1185263268	384231428	382025028	449198144	976379944	557231124	1074792424	33101848	1104289112	1192471752	2239832432	27529388	1514521744	1590070228	33087612	2594682721	27725864	3065455351	31882496	3038882607	4818779812	2622571862	923743344	4675242780	47641596	42703044	33925336	24928468	4900362524	3536265204	4906548608	36719476	23709688	3092042716	33817716	924653572	1991229888	3521366896	1911365548	43999668	48028812	1839542056	26630316	3511500620	3520853816	3804367460	2975727860	28079928	49688208	5233183108	3615926936	6488372184	53120076	3982736272
2025-12-22	0	0	0	0	293601280	0	821615128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1945108480	5692021730	0	0	0	0	0	0	2948701832	0	0	0	0	0	0	0	0	0	529530880	0	0	0	0	1503696392	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817227312	0	0	0	0	0	0	0	0	0	0	0	1922034978	0	0	0	0	0	0	3056846040	0	0	0	3087507064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2578290368	0	0	0
