week_start	sub-793/sub-793_ses-20250412T183847_ophys.nwb	sub-793/sub-793_ses-20250414T183827_ophys.nwb	sub-812/sub-812_ophys.nwb	sub-828/sub-828_ses-20250414T183827_ophys.nwb
2025-06-02	14820608380	20515937872	2927593732	17602801648
2025-06-09	105606664	4350696	9147716	4374276
2025-06-16	14798794216	502188508	0	0
2025-07-28	14800891368	2097152	0	2097152
2025-08-11	0	20508994024	0	0
2025-08-18	0	0	0	35102624720
2025-08-25	14798794216	20508994024	0	0
2025-09-08	0	0	1455772136	0
2025-10-06	0	0	14453864	0
2025-11-10	14798794216	20508994024	2911544272	17551312360
2025-12-15	14816874424	14280744	2943774208	11070852
2025-12-22	0	20508994024	0	17551312360
2026-01-05	0	0	0	17551312360
2026-01-26	14798794216	20508994024	1455772136	0
2026-02-16	17792668	13933896	35671324	20425276
2026-02-23	5149624	13367424	17460100	8764852
2026-03-02	4343528	0	4545172	0
2026-03-09	0	0	0	4546196
2026-03-16	0	0	0	17228604
2026-03-23	4278020	0	8762804	0
2026-04-06	25267168740	27450670020	2950600368	28257038800
2026-04-20	0	0	0	22207212
2026-05-11	14798794216	0	4414156	0
2026-05-18	1068128	1048128	4323528	11817584
