week_start	sub-RMBE112m1/sub-RMBE112m1_ses-1b1D6_ephys.nwb	sub-RMBE112m1/sub-RMBE112m1_ses-2b2F8_ephys.nwb	sub-RMBE147m1/sub-RMBE147m1_ses-5b1C1_ephys.nwb	sub-RMBE147m1/sub-RMBE147m1_ses-5b1E2_ephys.nwb	sub-RMBE147m1/sub-RMBE147m1_ses-5b1H1_ephys.nwb	sub-RMBE96m1/sub-RMBE96m1_ses-1b4B4_ephys.nwb	sub-m001/sub-m001_ses-0001_ephys.nwb	sub-rmbe87m1/sub-rmbe87m1_ses-1b1F5_ephys.nwb	sub-rmbe87m1/sub-rmbe87m1_ses-2b2B8_ephys.nwb	sub-rmbe91m1/sub-rmbe91m1_ses-new3b1B1_ephys.nwb	sub-rmbe91m1/sub-rmbe91m1_ses-new3b1D1_ephys.nwb
2025-06-23	0	0	0	0	0	0	23047168	11927672	9282580	11602824	7604144
2025-07-28	0	0	0	0	0	0	0	0	0	0	3867608
2025-08-04	0	0	0	0	0	0	3867608	3867608	0	3867608	0
2025-08-18	0	0	0	0	0	0	0	0	3867608	0	0
2025-08-25	0	0	0	0	0	0	3867608	0	0	0	0
2025-10-06	0	0	0	0	0	0	22810524	0	0	0	0
2025-12-15	0	0	0	0	0	0	7735216	11602824	3867608	11602824	3867608
2025-12-29	0	0	0	0	0	0	0	79996	0	0	0
2026-01-05	0	0	23216719	11281768	3872224	0	3867608	0	3867608	3867608	0
2026-01-12	19361120	5452320	15488896	3872224	3872224	26443236	0	7735216	3867608	0	0
2026-01-19	3872224	0	0	0	0	0	0	0	3867608	0	0
2026-01-26	0	2726160	0	0	0	0	0	0	0	3867608	0
2026-02-02	0	0	0	0	3872224	0	0	0	0	0	3867608
2026-02-09	7744448	2726160	3872224	3872224	3872224	0	0	0	0	0	0
2026-02-16	3872224	3340560	3872224	8666048	921600	3872224	1433600	8452016	4584408	716800	0
2026-02-23	0	0	0	0	0	8154048	0	0	0	0	0
2026-03-02	0	0	3872224	0	8154048	0	4277208	3867608	4277208	8144816	3867608
2026-03-09	4281824	0	0	4281824	0	0	0	0	0	0	0
2026-03-16	0	0	3872224	3872224	0	0	0	3867608	0	0	0
2026-03-23	0	0	0	0	0	0	204800	0	0	3867608	0
2026-04-06	3872224	0	3872224	720588	3872224	0	0	0	0	0	3867608
