week_start	sub-Mouse163/ses-20240617T165310/behavior2024-06-17T16_53_10.avi	sub-Mouse163/ses-20240617T165310/miniscope2024-06-17T16_53_10.avi	sub-Mouse163/ses-20240619T095005/miniscope2024-06-19T09_50_05.avi	sub-Mouse163/ses-20240622T161813/behavior2024-06-22T16_18_13.avi	sub-Mouse163/ses-20240622T161813/behaviorLinear2024-06-22T16_18_13.avi	sub-Mouse163/ses-20240622T161813/miniscope2024-06-22T16_18_13.avi	sub-Mouse163/ses-20240623T113359/behaviorLinear2024-06-23T11_33_59.avi	sub-Mouse163/ses-20240623T113359/miniscope2024-06-23T11_33_59.avi	sub-Mouse163/ses-20240625T162840/behavior2024-06-25T16_28_40.avi	sub-Mouse163/ses-20240625T162840/behaviorLinear2024-06-25T16_28_40.avi	sub-Mouse163/ses-20240625T162840/miniscope2024-06-25T16_28_40.avi
2025-06-16	1029558560	1731917972	1791994814	1044602524	1216835740	1779874982	1190768306	1792185514	1095762898	1297769502	1900593122
2025-06-23	8385024	8254008	8385024	7402404	8254008	7336896	6812832	8319516	8516040	8188500	7467912
2025-07-21	0	0	1791994814	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	1015910020	1216835740	1779874982	0	0	1095762898	0	2440744910
2025-08-04	0	0	0	0	0	0	0	1792185514	0	0	0
2025-08-11	1029558560	0	0	0	0	0	0	0	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	1297769502	0
2025-09-01	1029558560	0	0	0	0	1779874982	1190768306	0	0	0	0
2025-09-08	0	1731917972	0	0	1216835740	0	0	0	0	0	0
2025-11-10	1029558560	1731917972	1791994814	1015910020	1216835740	1779874982	1190768306	1792185514	1095762898	1297769502	1900593122
2025-12-15	1049604008	1746198716	3600301120	1031369908	1231247500	1797300110	1207472846	1808759038	1111812358	1314343026	3822607360
2025-12-22	0	0	0	0	0	0	0	0	0	1297769502	0
2026-01-05	0	0	0	1015910020	0	0	0	0	0	0	0
2026-01-12	0	0	4031253760	0	0	0	0	3984309712	3287288694	2708765500	5582570172
2026-01-26	0	1731917972	0	0	0	0	1190768306	1792185514	1095762898	0	0
2026-02-02	1029558560	0	0	0	1216835740	1779874982	0	0	0	0	0
2026-02-16	0	163840	163840	163840	32768	32768	0	0	0	0	0
2026-02-23	0	0	0	0	0	0	0	1792185514	0	0	0
2026-03-02	0	65536	65536	65536	0	0	0	0	0	0	0
2026-03-09	29491964	38437996	34408306	26202836	41401874	39125312	37611154	38574778	40476050	41945366	40308070
2026-03-16	21893036	39551632	53143594	48999620	40419254	40631996	40821046	39295366	34645838	44369162	52165018
2026-04-20	0	0	20110956	15001332	0	0	0	0	0	26858280	25875660
