date	bytes_sent	number_of_requests	number_of_downloads
2025-07-18	3173582608	800	140
2025-07-19	489739865	1440	60
2025-07-20	43824679	120	<50
2025-07-26	103225798	<50	<50
2025-07-27	68546298	<50	<50
2025-07-28	136969544	<50	<50
2025-07-29	102744611	<50	<50
2025-07-30	206105840	<50	<50
2025-07-31	103488311	<50	<50
2025-08-01	137284685	<50	<50
2025-08-02	103674211	<50	<50
2025-08-03	34341739	<50	<50
2025-08-04	34393549	<50	<50
2025-08-05	172483532	<50	<50
2025-08-06	68346057	<50	<50
2025-08-07	68833629	<50	<50
2025-08-09	68712004	<50	<50
2025-08-10	103831912	<50	<50
2025-08-11	103268950	<50	<50
2025-08-12	34355567	<50	<50
2025-08-13	103101078	<50	<50
2025-08-14	68529504	<50	<50
2025-08-15	34316782	<50	<50
2025-08-16	34581959	<50	<50
2025-08-18	68818218	<50	<50
2025-08-19	34760378	<50	<50
2025-08-20	68548861	<50	<50
2025-08-21	34169088	<50	<50
2025-08-22	102695798	<50	<50
2025-08-27	34321165	<50	<50
2025-08-28	96046788	<50	<50
2025-08-29	240510164	<50	<50
2025-08-30	69168994	<50	<50
2025-08-31	68750110	<50	<50
2025-09-02	34170793	<50	<50
2025-09-03	34187720	<50	<50
2025-09-05	136915290	<50	<50
2025-09-06	34370442	<50	<50
2025-09-08	68655527	<50	<50
2025-09-09	103222101	<50	<50
2025-09-11	68989174	<50	<50
2025-09-12	34367865	<50	<50
2025-09-13	34352133	<50	<50
2025-10-08	17463402	<50	<50
2025-11-13	141250836	880	<50
2025-12-15	103225798	<50	<50
2025-12-16	583242654	80	80
2025-12-18	2543742054	80	80
2025-12-19	486986472	80	80
2025-12-21	34343143	<50	<50
2025-12-22	34352848	<50	<50
2025-12-23	68346827	<50	<50
2025-12-25	102855073	<50	<50
2025-12-28	34344666	<50	<50
2025-12-29	69113288	<50	<50
2025-12-30	34525118	<50	<50
2025-12-31	68941417	<50	<50
2026-01-03	34341739	<50	<50
2026-01-04	34794070	<50	<50
2026-01-06	34615055	<50	<50
2026-01-07	103115025	<50	<50
2026-01-09	141120214	80	<50
2026-01-10	34393549	<50	<50
2026-01-16	929873886	60	<50
2026-01-17	617932338	<50	<50
2026-01-18	1133219334	60	<50
2026-01-19	620676525	<50	<50
2026-01-23	103246661	<50	<50
2026-01-24	103076742	<50	<50
2026-01-26	34495259	<50	<50
2026-01-27	137008398	<50	<50
2026-01-28	103508836	<50	<50
2026-01-29	137532861	<50	<50
2026-01-30	137054094	<50	<50
2026-01-31	137494913	<50	<50
2026-02-01	137414902	<50	<50
2026-02-02	34540176	<50	<50
2026-02-03	68505801	<50	<50
2026-02-04	206140644	<50	<50
2026-02-05	172224563	<50	<50
2026-02-20	186429804	60	<50
2026-02-24	6277551	<50	<50
2026-02-25	33138763	<50	<50
2026-02-26	24565812	<50	<50
2026-02-27	27993815	<50	<50
2026-02-28	28585513	<50	<50
2026-03-01	33922194	<50	<50
2026-03-02	15186523	<50	<50
2026-03-03	18800016	<50	<50
2026-03-04	10520501	<50	<50
2026-03-05	26841839	<50	<50
2026-03-06	46293551	<50	<50
2026-03-07	37685676	<50	<50
2026-03-08	18339269	<50	<50
2026-03-09	33472739	<50	<50
2026-03-10	23893428	<50	<50
2026-03-19	533955708	60	60
2026-03-25	11463900	<50	<50
2026-03-26	213168726	<50	<50
2026-03-27	102426115	<50	<50
2026-03-28	44282440	<50	<50
