week_start	sub-001/sub-001_ses-20240822_image.nwb	sub-001/sub-001_ses-20240829_image.nwb	sub-002/sub-002_ses-20231103_image.nwb	sub-002/sub-002_ses-20240824_image.nwb	sub-002/sub-002_ses-20240831_image.nwb	sub-003/sub-003_ses-20230825_image.nwb	sub-003/sub-003_ses-20230831_image.nwb	sub-004/sub-004_ses-20230926_image.nwb	sub-004/sub-004_ses-20231003_image.nwb	sub-005/sub-005_ses-20231003_image.nwb	sub-006/sub-006_ses-20231005_image.nwb	sub-007/sub-007_ses-20231005_image.nwb
2025-07-28	25711290200	42514210324	14089053204	17281784840	17850450444	20754768188	28964923508	17794476616	17226665396	37737800492	49964824788	17592363592
2025-08-04	0	0	0	0	17301504000	0	0	17267869340	47053310608	0	0	0
2025-08-11	0	0	0	13309123592	0	0	0	0	0	0	0	18860022792
2025-08-18	0	0	15047065600	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	17511219200	19099229192	0	0	0
2025-09-01	0	0	0	0	0	15252143304	0	0	0	18243984392	14421597192	21495808000
2025-09-08	21322938384	0	0	0	19000925192	0	0	0	0	0	0	0
2025-10-06	0	0	12312668	0	0	0	0	0	0	0	0	0
2025-11-10	43292760	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	14952693760	0	0	0	0	0	0	0	0
2025-12-15	0	0	20492902016	8254008	14608284	0	4127004	14346252	4127004	0	4127004	0
2025-12-22	0	0	0	0	0	0	16226335944	0	0	0	0	0
2025-12-29	31397059592	33649859592	27736994464	31397059592	0	33340079304	52344158608	32473488392	0	32242473992	32037673992	0
2026-01-12	12109986752	16988752880	7649792252	32498045316	0	0	0	10485760	0	0	0	0
2026-01-19	0	0	0	0	0	0	5167742424	0	0	0	0	0
2026-01-26	0	15394151432	0	0	0	20829962240	0	0	20299848712	16823163912	15214837760	16934502400
2026-02-02	14111284232	0	0	0	16730758152	0	0	17212375040	0	0	0	0
2026-02-16	10862264	0	8897024	20753972	512000	14804808	7712332	18264668	512000	0	0	0
2026-02-23	8831516	4585560	0	8516040	4704512	0	0	0	4127004	0	0	4258020
2026-03-02	0	0	1135264	0	4127004	0	0	1014792	0	1014792	0	4913100
2026-03-09	0	0	0	0	0	0	687304	0	0	0	0	0
2026-03-16	0	0	0	0	0	0	16311492	0	0	0	0	0
2026-03-23	0	0	3459860	0	786096	0	0	0	0	0	0	0
