week_start	sub-Symanski-CS31/sub-Symanski-CS31_ses-01_behavior+ecephys.nwb	sub-Symanski-CS31/sub-Symanski-CS31_ses-02_behavior+ecephys.nwb	sub-Symanski-CS31/sub-Symanski-CS31_ses-03_behavior+ecephys.nwb	sub-Symanski-CS33/sub-Symanski-CS33_ses-01_behavior+ecephys.nwb	sub-Symanski-CS33/sub-Symanski-CS33_ses-02_behavior+ecephys.nwb	sub-Symanski-CS33/sub-Symanski-CS33_ses-03_behavior+ecephys.nwb	sub-Symanski-CS33/sub-Symanski-CS33_ses-04_behavior+ecephys.nwb	sub-Symanski-CS34/sub-Symanski-CS34_ses-01_behavior+ecephys.nwb	sub-Symanski-CS34/sub-Symanski-CS34_ses-02_behavior+ecephys.nwb	sub-Symanski-CS34/sub-Symanski-CS34_ses-03_behavior+ecephys.nwb	sub-Symanski-CS34/sub-Symanski-CS34_ses-04_behavior+ecephys.nwb	sub-Symanski-CS35/sub-Symanski-CS35_ses-01_behavior+ecephys.nwb	sub-Symanski-CS35/sub-Symanski-CS35_ses-02_behavior+ecephys.nwb	sub-Symanski-CS35/sub-Symanski-CS35_ses-03_behavior+ecephys.nwb	sub-Symanski-CS39/sub-Symanski-CS39_ses-01_behavior+ecephys.nwb	sub-Symanski-CS39/sub-Symanski-CS39_ses-02_behavior+ecephys.nwb	sub-Symanski-CS39/sub-Symanski-CS39_ses-03_behavior+ecephys.nwb	sub-Symanski-CS39/sub-Symanski-CS39_ses-04_behavior+ecephys.nwb	sub-Symanski-CS39/sub-Symanski-CS39_ses-05_behavior+ecephys.nwb	sub-Symanski-CS39/sub-Symanski-CS39_ses-06_behavior+ecephys.nwb	sub-Symanski-CS39/sub-Symanski-CS39_ses-07_behavior+ecephys.nwb	sub-Symanski-CS41/sub-Symanski-CS41_ses-01_behavior+ecephys.nwb	sub-Symanski-CS41/sub-Symanski-CS41_ses-02_behavior+ecephys.nwb	sub-Symanski-CS41/sub-Symanski-CS41_ses-03_behavior+ecephys.nwb	sub-Symanski-CS41/sub-Symanski-CS41_ses-05_behavior+ecephys.nwb	sub-Symanski-CS41/sub-Symanski-CS41_ses-06_behavior+ecephys.nwb	sub-Symanski-CS41/sub-Symanski-CS41_ses-07_behavior+ecephys.nwb	sub-Symanski-CS42/sub-Symanski-CS42_ses-01_behavior+ecephys.nwb	sub-Symanski-CS42/sub-Symanski-CS42_ses-02_behavior+ecephys.nwb	sub-Symanski-CS42/sub-Symanski-CS42_ses-03_behavior+ecephys.nwb	sub-Symanski-CS42/sub-Symanski-CS42_ses-04_behavior+ecephys.nwb	sub-Symanski-CS42/sub-Symanski-CS42_ses-05_behavior+ecephys.nwb	sub-Symanski-CS42/sub-Symanski-CS42_ses-06_behavior+ecephys.nwb	sub-Symanski-CS44/sub-Symanski-CS44_ses-01_behavior+ecephys.nwb	sub-Symanski-CS44/sub-Symanski-CS44_ses-02_behavior+ecephys.nwb	sub-Symanski-CS44/sub-Symanski-CS44_ses-03_behavior+ecephys.nwb	sub-Symanski-CS44/sub-Symanski-CS44_ses-04_behavior+ecephys.nwb	sub-Symanski-CS44/sub-Symanski-CS44_ses-05_behavior+ecephys.nwb
2025-07-21	761804028	2463075944	2356974568	637795292	719010460	701293652	547572716	563798752	1670774056	1354925084	897091536	1625690600	2485916432	1686340140	1796930884	248636000	590667788	320072224	262242080	223159368	454431584	987870012	1029449164	1256671340	1725137964	1258222072	1574846056	1042733568	1047666256	1139390368	1323944016	1319640772	1338521492	1576184760	1702814852	1147118176	785446928	1391384332
2025-07-28	110140856	0	0	0	0	524288000	943718400	0	0	2887348836	0	0	0	0	0	0	943718400	0	569231832	0	0	0	0	0	0	0	0	0	0	718531760	0	0	2082229500	0	0	2614637592	0	0
2025-08-04	4716576	4323528	4127004	0	1893149560	73978824	0	6179128	7731428	0	1536000	4389036	5698396	2419195284	1964582048	4389036	0	1536000	1526232	1176520	2868928	1566421696	1328613872	0	5671132	6476468	951053100	0	1170842616	4323528	1591976	5925036	6625900	5723924	2898630744	0	4782084	1618352
2025-08-11	965167640	1520435200	1705546728	1254166832	0	0	0	0	1363148800	0	1258291200	0	0	0	0	354593984	0	262144000	0	276120520	0	0	0	1520435200	0	1153433600	0	1048576000	0	0	524288000	0	0	2179542520	0	0	1495498648	0
2025-08-18	0	0	0	0	0	25680704	0	0	0	0	0	471859200	0	0	0	0	0	0	0	0	754586464	0	0	0	1310720000	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	2806551528	0	0	0	0	0	0	0	0	0	0	2936012800	0	0	0	0	0	0	0	883255648	0	0	0	0	0	0	0	0	1543019176	0	0	0	0	1677721600	1520435200	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	2149580800	0	2452789376	419430400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997795072	0	1468006400	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	2131878336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1324290344	0	0	0	2012739848	0	0	0	0	0	0	0	0	0	0	2488709552
2025-10-06	0	0	0	0	0	99539900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	0	1442105652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	59088216	0	14424	62609648	0	0	0	45937912	0	0	0	70870384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92304
2025-11-03	3810588352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2494115320	0	0	0	0
2025-12-01	84728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	3799333968	3920861752	3754396932	2097154636	15394380	2178148132	4323528	8319516	6681816	1377024716	2829603368	3906416448	4858192004	7336896	0	721595584	1396237184	0	0	498413256	0	14870316	5830212	2370604880	7991976	6681816	0	4127004	8974596	7140372	6485292	15721920	0	2505317188	4111080136	4061496	2506188624	3337658584
2025-12-22	0	0	0	1091637552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277872640	470107080	0	0	0	0	0	0	0	912261120	0	907018240	0	0	1080033280	0	0	0	0	0
2025-12-29	0	0	0	0	0	1336934400	0	0	1289748480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	1487426088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2095722440	0	0	0
2026-01-12	2035482092	930922836	0	4913733012	480505360	0	0	7644372936	0	624553768	0	0	0	5377999560	10485760	0	0	0	1686723976	485835720	0	0	4012817704	0	0	0	0	20971520	0	3861418820	0	0	2108400344	0	0	0	0	0
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	2160066560	0	0	0	297258976	4904508008	330301440	0	0	0	0	0	1285328720	1155858368	0	0	0	755119096	0	0	0	0	0	0	6475211784	0	0
2026-01-26	0	1945108480	0	0	1190133760	0	1397381640	0	0	0	0	0	0	3245342720	1017118720	0	0	0	0	0	665457504	1069547520	1085276160	0	0	1352663040	1279262720	0	0	0	0	1032847360	0	943718400	0	0	1038090240	1745879040
2026-02-02	0	0	1805161448	0	0	0	0	1315962880	0	0	0	0	1863920192	0	0	239250624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	907018240	0	0	0	0	1772093440	0	0
2026-02-16	0	0	0	10936048	18019188	9167332	7271388	9433152	921600	8651544	6812832	921600	9695184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	0	4127004	0	0	5654728	1546760	0	4454544	4127004	4127004	1802048	0	0	0	0	0	0	0	0	0	6635764	0	0	0	0	0	0	0	0	0	1536000	0	0	0	1536000	0	0
2026-03-02	4127004	0	0	0	0	0	0	4389036	0	0	0	0	1571392	0	0	4127004	0	0	0	0	0	0	0	4192512	1544128	2816844	0	1638912	1536000	4389036	0	0	0	5723924	0	0	5319004	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11653548	0	1405816	0	0	4454544	1434464	0	0	0	0	0	0	0	0	0	0	0	7552604	0	0	0	0	6007388
2026-03-16	10743312	0	0	11856948	0	21683148	0	0	12053472	9760692	12512028	0	0	0	0	0	0	0	0	8909088	0	0	0	0	0	0	0	0	0	13625664	0	0	0	0	11791440	0	0	0
2026-03-23	0	0	0	0	0	921600	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7402404	1	0	0	0	0	0	0	9695184	0	0	0	2494115320	0	0	0	0
