week_start	sub-NRG-LL261/sub-NRG-LL261_ses-Recordings-from-animal-NRG-LL261-on-07-Jun-2022_obj-10gqpu2_icephys.nwb	sub-NRG-LL261/sub-NRG-LL261_ses-Recordings-from-animal-NRG-LL261-on-07-Jun-2022_obj-10i8i3a_icephys.nwb	sub-NRG-LL261/sub-NRG-LL261_ses-Recordings-from-animal-NRG-LL261-on-07-Jun-2022_obj-1cros5q_icephys.nwb	sub-NRG-LL261/sub-NRG-LL261_ses-Recordings-from-animal-NRG-LL261-on-07-Jun-2022_obj-6eiwbp_icephys.nwb	sub-NRG-LL261/sub-NRG-LL261_ses-Recordings-from-animal-NRG-LL261-on-07-Jun-2022_obj-7gfxig_icephys.nwb	sub-NRG-LL261/sub-NRG-LL261_ses-Recordings-from-animal-NRG-LL261-on-07-Jun-2022_obj-lwat74_icephys.nwb	sub-NRG-LL261/sub-NRG-LL261_ses-Recordings-from-animal-NRG-LL261-on-07-Jun-2022_obj-pa9cvu_icephys.nwb	sub-NRG-LL261/sub-NRG-LL261_ses-Recordings-from-animal-NRG-LL261-on-07-Jun-2022_obj-ymi4to_icephys.nwb	sub-NRG-LL262/sub-NRG-LL262_ses-Recordings-from-animal-NRG-LL262-on-02-Jun-2022_obj-1br4lxb_icephys.nwb	sub-NRG-LL262/sub-NRG-LL262_ses-Recordings-from-animal-NRG-LL262-on-02-Jun-2022_obj-1driif_icephys.nwb	sub-NRG-LL262/sub-NRG-LL262_ses-Recordings-from-animal-NRG-LL262-on-02-Jun-2022_obj-1faoiyf_icephys.nwb	sub-NRG-LL262/sub-NRG-LL262_ses-Recordings-from-animal-NRG-LL262-on-02-Jun-2022_obj-1gufguw_icephys.nwb	sub-NRG-LL262/sub-NRG-LL262_ses-Recordings-from-animal-NRG-LL262-on-02-Jun-2022_obj-1hmhdkr_icephys.nwb	sub-NRG-LL262/sub-NRG-LL262_ses-Recordings-from-animal-NRG-LL262-on-02-Jun-2022_obj-1kgu2y0_icephys.nwb	sub-NRG-LL262/sub-NRG-LL262_ses-Recordings-from-animal-NRG-LL262-on-02-Jun-2022_obj-wgl6h2_icephys.nwb	sub-NRG-LL262/sub-NRG-LL262_ses-Recordings-from-animal-NRG-LL262-on-02-Jun-2022_obj-yx63ts_icephys.nwb	sub-NRG-LL302/sub-NRG-LL302_ses-Recordings-from-animal-NRG-LL302-on-29-Aug-2022_obj-198ctul_icephys.nwb	sub-NRG-LL302/sub-NRG-LL302_ses-Recordings-from-animal-NRG-LL302-on-29-Aug-2022_obj-1es43ln_icephys.nwb	sub-NRG-LL303/sub-NRG-LL303_ses-Recordings-from-animal-NRG-LL303-on-31-Aug-2022_obj-16hprkb_icephys.nwb	sub-NRG-LL303/sub-NRG-LL303_ses-Recordings-from-animal-NRG-LL303-on-31-Aug-2022_obj-19phpfu_icephys.nwb	sub-NRG-LL303/sub-NRG-LL303_ses-Recordings-from-animal-NRG-LL303-on-31-Aug-2022_obj-2fbyvx_icephys.nwb	sub-NRG-LL303/sub-NRG-LL303_ses-Recordings-from-animal-NRG-LL303-on-31-Aug-2022_obj-90chjw_icephys.nwb	sub-NRG-LL304/sub-NRG-LL304_ses-Recordings-from-animal-NRG-LL304-on-01-Sep-2022_obj-12b7cix_icephys.nwb	sub-NRG-LL304/sub-NRG-LL304_ses-Recordings-from-animal-NRG-LL304-on-01-Sep-2022_obj-143w7k7_icephys.nwb	sub-NRG-LL304/sub-NRG-LL304_ses-Recordings-from-animal-NRG-LL304-on-01-Sep-2022_obj-3m4o88_icephys.nwb	sub-NRG-LL304/sub-NRG-LL304_ses-Recordings-from-animal-NRG-LL304-on-01-Sep-2022_obj-gnlzfy_icephys.nwb	sub-NRG-VV253/sub-NRG-VV253_ses-Recordings-from-animal-NRG-VV253-on-06-Jun-2022_obj-1ev17nk_icephys.nwb	sub-NRG-VV253/sub-NRG-VV253_ses-Recordings-from-animal-NRG-VV253-on-06-Jun-2022_obj-1ierk2e_icephys.nwb	sub-NRG-VV253/sub-NRG-VV253_ses-Recordings-from-animal-NRG-VV253-on-06-Jun-2022_obj-1k270ho_icephys.nwb	sub-NRG-VV253/sub-NRG-VV253_ses-Recordings-from-animal-NRG-VV253-on-06-Jun-2022_obj-1rj4a1v_icephys.nwb	sub-NRG-VV253/sub-NRG-VV253_ses-Recordings-from-animal-NRG-VV253-on-06-Jun-2022_obj-1w062om_icephys.nwb	sub-NRG-VV256/sub-NRG-VV256_ses-Recordings-from-animal-NRG-VV256-on-09-Jun-2022_obj-1at9bk5_icephys.nwb	sub-NRG-VV256/sub-NRG-VV256_ses-Recordings-from-animal-NRG-VV256-on-09-Jun-2022_obj-1fk0bt_icephys.nwb	sub-NRG-VV256/sub-NRG-VV256_ses-Recordings-from-animal-NRG-VV256-on-09-Jun-2022_obj-1jbh8tc_icephys.nwb	sub-NRG-VV256/sub-NRG-VV256_ses-Recordings-from-animal-NRG-VV256-on-09-Jun-2022_obj-1o5lma_icephys.nwb	sub-NRG-VV256/sub-NRG-VV256_ses-Recordings-from-animal-NRG-VV256-on-09-Jun-2022_obj-4emujr_icephys.nwb	sub-NRG-VV256/sub-NRG-VV256_ses-Recordings-from-animal-NRG-VV256-on-09-Jun-2022_obj-8w56iv_icephys.nwb	sub-NRG-VV256/sub-NRG-VV256_ses-Recordings-from-animal-NRG-VV256-on-09-Jun-2022_obj-kn5xro_icephys.nwb	sub-NRG-VV317/sub-NRG-VV317_ses-Recordings-from-animal-NRG-VV317-on-28-Sep-2022_obj-1oq942x_icephys.nwb	sub-NRG-VV317/sub-NRG-VV317_ses-Recordings-from-animal-NRG-VV317-on-28-Sep-2022_obj-1r6d435_icephys.nwb	sub-NRG-VV317/sub-NRG-VV317_ses-Recordings-from-animal-NRG-VV317-on-28-Sep-2022_obj-ho674s_icephys.nwb	sub-NRG-VV318/sub-NRG-VV318_ses-Recordings-from-animal-NRG-VV318-on-29-Sep-2022_obj-1iked2a_icephys.nwb	sub-NRG-VV318/sub-NRG-VV318_ses-Recordings-from-animal-NRG-VV318-on-29-Sep-2022_obj-1wi84al_icephys.nwb	sub-NRG-VV326/sub-NRG-VV326_ses-Recordings-from-animal-NRG-VV326-on-17-Oct-2022_obj-169r4a6_icephys.nwb	sub-NRG-VV326/sub-NRG-VV326_ses-Recordings-from-animal-NRG-VV326-on-17-Oct-2022_obj-1j6emuq_icephys.nwb	sub-NRG-VV326/sub-NRG-VV326_ses-Recordings-from-animal-NRG-VV326-on-17-Oct-2022_obj-1t1a4n1_icephys.nwb	sub-NRG-VV326/sub-NRG-VV326_ses-Recordings-from-animal-NRG-VV326-on-17-Oct-2022_obj-jhf7eo_icephys.nwb	sub-NRG-VV326/sub-NRG-VV326_ses-Recordings-from-animal-NRG-VV326-on-17-Oct-2022_obj-uw3m7g_icephys.nwb
2025-08-04	29430248	15880032	18819220	18327524	27108884	13849284	6052128	14924396	4389036	10345380	10335548	14200520	10047948	4192512	16061316	20384844	10270040	12381012	12446520	24577356	11556888	11884652	19417848	8254008	12708552	4091808	8516040	12275424	10345380	14045260	8415336	9591256	8385024	18789352	15580460	7260944	8450532	4127004	11033900	8188500	10442996	6382832	0	9525644	10771868	5136608	4127004	5136608
2025-08-11	0	0	7038304	0	5398752	0	0	5398752	5725768	7667424	15356832	4192512	0	5725768	5307536	4192512	0	0	18757668	11033304	6742000	4454544	14729200	14729200	0	4091808	5725744	4091808	4091808	0	0	5398744	0	0	14076688	0	7038344	5725744	0	5398752	0	12765664	0	0	6382832	0	6382792	5398752
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7364600	0	0	0	5725768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6709208	0	5398752	0	0	0	6382792	0
2025-08-25	0	0	0	0	0	5398752	0	0	0	0	0	0	0	0	5725768	0	0	0	0	0	0	0	0	0	0	0	0	4091808	0	0	0	5398744	0	0	0	0	0	0	6382832	0	0	0	0	0	0	0	0	5398752
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	6052128	0	0	0	0	0	0	0	0	0	0	0	0	0	5725744	0	0	0	0	0	0	0	0	0	0	5725744	0	5398752	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4091808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	26553008	28673780	30225436	32561640	28092168	0	10048060	9329232	4192512	4091808	10859724	6208656	4127004	10597692	10335660	10270152	6208656	3995988	11360476	10335660	11229460	11229460	11229460	11229460	6208656	8052544	6208608	0	4091808	10335612	2161764	5398744	5921080	9525748	11650092	11650092	0	10335612	4127004	9984312	10639632	10706416	5398752	4454544	6513904	5398752	6513864	5398752
2025-10-06	69833172	48531216	52183632	52807776	30716444	35598492	34266864	38904944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	17807528	17356216	10318812	28238112	26034324	16932116	26143872	17194148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	35025484	22103844	31873548	27319612	22658960	21483220	28325412	30650936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	32869044	13294720	33807336	25026832	26720456	17421724	9871932	4389036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	110922636	88418228	121493800	88708936	62446560	94907476	111519336	105547420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	55327640	75255076	88184184	77901504	57895456	53016812	51174108	61532852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	53652136	40014624	68652584	37278216	27012988	30392308	38858604	39166976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	39676552	34877904	30956436	31774156	22269316	34288332	29877828	30292344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	48127084	34253876	31546008	48089812	43621520	26754912	38459376	20993612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	37061556	26982488	35148948	10615072	26034324	25479208	43876764	17421724	0	0	0	0	0	0	0	0	0	0	0	5725768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	74282380	53016260	65969260	57221996	44696744	54646600	51008028	59297668	15578540	8183616	4061496	15513032	12104256	5725768	11451536	5725768	17177304	6878340	7364600	5725768	14177432	0	28906632	4192512	11005344	8183616	9852748	12275424	8183616	4127004	16367232	5398744	12104304	5398744	5830212	0	20496472	11451488	12765664	10797504	10836212	18988924	14990016	5398752	12765664	14924508	12765584	16196256
2025-12-22	7364600	0	0	0	0	0	0	0	0	4091808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4091808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5398752	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	5725768	0	0	0	0	0	0	0	0	7364600	0	0	0	0	0	0	5725744	0	0	0	0	7038344	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	47799544	38970452	43602084	49532376	35236496	31857176	41629716	44373160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5398752	0	0	0	0
2026-01-12	0	10797504	0	0	16196256	0	0	0	0	4091808	0	5725768	0	0	0	0	5725768	0	0	22903072	14729200	14729200	0	29458400	0	0	0	0	8183616	0	0	0	0	10797488	0	0	7038344	0	0	0	0	19148496	0	5398752	0	10797504	0	0
2026-01-19	25930520	26361864	29111996	14020100	21907320	17063132	14588508	17780316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7038344	0	0	12765664	0	0	0	0	0	0	0	12765584	0
2026-01-26	48902532	31271560	43667592	25053404	25741240	36801328	47485320	39525568	5725768	0	0	5725768	6052128	0	0	5725768	0	7364600	0	0	0	0	0	0	0	0	11451488	0	0	0	0	5398744	0	0	0	0	0	5725744	0	0	0	0	5398752	0	0	0	6382792	5398752
2026-02-02	26454584	4454544	24961152	10615072	26034324	13198160	20202420	17421724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-09	15061516	8678108	18900360	10615072	17421724	30357852	11489856	21972828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
