week_start	sub-582364L/sub-582364L_ses-20250407T122335_ophys.nwb	sub-582364L/sub-582364L_ses-20250407T123710_ophys.nwb	sub-582364L/sub-582364L_ses-20250407T124917_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T144231_obj-1ddvcgc_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T144231_obj-1rr4pt0_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T144231_obj-1th8pnp_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T144231_obj-yoxrm1_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T144639_obj-17dq2cy_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T144639_obj-1d3yzrk_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T144639_obj-1uxt9da_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T144639_obj-vk48l2_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145053_obj-1s6zt50_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145053_obj-cjfe35_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145053_obj-ir3tw_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145053_obj-xlxmm1_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145506_obj-1g6yvgp_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145506_obj-1mf6t95_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145506_obj-cl7gud_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145506_obj-jk1jg6_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145933_obj-1b28maf_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145933_obj-athc1p_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145933_obj-ltl1gm_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T145933_obj-tm1o89_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T150418_obj-1r0xisj_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T150418_obj-1siez26_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T150418_obj-1u4iqe_ophys.nwb	sub-582364L/sub-582364L_ses-20250531T150418_obj-y8eaeu_ophys.nwb	sub-582364L/sub-582364L_ses-20250609T142205_obj-1eh3nt6_ophys.nwb	sub-582364L/sub-582364L_ses-20250609T142205_obj-er6wkz_ophys.nwb	sub-582364L/sub-582364L_ses-20250609T142205_obj-uswqeg_ophys.nwb	sub-582364L/sub-582364L_ses-20250609T142205_obj-vhoy2q_ophys.nwb	sub-582364L/sub-582364L_ses-20250609T145026_obj-1b6m53t_ophys.nwb	sub-582364L/sub-582364L_ses-20250609T145026_obj-1kjkhk_ophys.nwb	sub-582364L/sub-582364L_ses-20250609T145026_obj-rmwlmq_ophys.nwb	sub-582364L/sub-582364L_ses-20250609T145026_obj-xl1nri_ophys.nwb
2025-09-01	8590849788	7814354330	15359728047	53865496	127926272	84285124	203417252	272921935	397857032	132485810	217497039	255501736	217289563	179299073	160502208	223043578	142946347	295778972	349808049	299218799	188531192	384360869	174519484	393270470	130152902	321467566	222280062	254598045	279455445	483733356	389937464	88681811	145475550	157908150	93607806
2025-09-08	1817298440	0	0	0	0	74323652	0	0	0	0	0	0	10675074	0	57741760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	0	4127004	9804109	0	0	4061496	423620	426887	0	4559538	377979	4804772	4323528	4127004	4524736	374497	9382803	0	0	0	0	4127004	4563910	4127004	4585560	4127004	9358815	4651068	4127004	4493522	4561547	0	5306148	360614	0
2025-10-06	9696802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	6145574314	0	0	48999984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	0	6702670718	8346050609	9891708	0	6550800	274757316	302154631	295163884	152738198	4389036	413416496	7598928	6550800	329318912	327331053	153172651	6747324	8450532	18276732	161462948	10350264	9040104	181980838	161182461	0	5895720	5764704	6026736	359634870	377785791	12446520	119793424	115373858	61073616
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	136314880	0	0	0	0	0	0	0	0	0	0	0	90275925	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65301468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128948150	0	0	0	0	0
2026-01-12	0	0	0	0	0	0	0	302154631	0	173709718	0	10485760	309501431	306705958	309400000	0	0	0	0	879083175	0	0	1008926802	338679906	295895210	0	0	535157866	0	1068418850	0	0	327670420	0	294552381
2026-01-19	0	0	0	74273796	0	0	0	0	0	0	115343360	0	0	0	0	0	0	851264404	0	0	0	0	0	0	0	0	0	0	106440405	0	0	0	0	0	0
2026-01-26	0	0	0	0	136113158	0	0	183500800	0	62914560	0	0	0	41943040	0	146800640	48315051	0	0	151469965	100518108	99614720	0	0	0	141499933	0	125829120	0	0	94371840	41432231	0	62488742	0
2026-02-02	2312110080	2527068160	3333857329	0	0	78643200	120586240	0	89128960	0	0	0	0	0	115413440	0	0	0	157956487	0	0	0	152043520	0	0	0	83886080	0	0	0	0	0	0	0	0
2026-02-16	204800	0	9891708	0	7205880	10153740	10088232	0	0	10432324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	4528328	204800	553009	4462820	4397312	0	0	381831	0	4127004	0	0	355831	0	0	0	391851	0	0	4389036	4127004	3995988	4520052	3650254	307285	0	0	0	0	4127004	0	0	0	4503974	4127004
2026-03-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4585560	0	0	4127004	321927	0	0	0	0	0	0	4454544	0	335413	0	0	0	4127004	0	0	0
2026-03-09	0	4323528	0	340996	0	0	0	0	0	0	0	0	0	4520052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
