week_start	mecp2_controls_animal_01_Mecp2 Controls_01_01_10252024.nwb	mecp2_controls_animal_01_Mecp2 Controls_01_01_11122024.nwb	mecp2_controls_animal_02_Mecp2 Controls_02_02_10242024.nwb	mecp2_controls_animal_02_Mecp2 Controls_02_02_10252024.nwb	mecp2_controls_animal_02_Mecp2 Controls_02_02_11122024.nwb	mecp2_controls_animal_03_Mecp2 Controls_03_03_10242024.nwb	mecp2_controls_animal_03_Mecp2 Controls_03_03_10252024.nwb	mecp2_controls_animal_03_Mecp2 Controls_03_03_11112024.nwb	mecp2_controls_animal_101_Mecp2 Controls_101_101_04302025.nwb	mecp2_controls_animal_101_Mecp2 Controls_101_101_05012025.nwb	mecp2_controls_animal_101_Mecp2 Controls_101_101_05022025.nwb	mecp2_controls_animal_102_Mecp2 Controls_102_102_04302025.nwb	mecp2_controls_animal_102_Mecp2 Controls_102_102_05012025.nwb	mecp2_controls_animal_103_Mecp2 Controls_103_103_04302025.nwb	mecp2_controls_animal_103_Mecp2 Controls_103_103_05012025.nwb	mecp2_controls_animal_103_Mecp2 Controls_103_103_05022025.nwb	mecp2_controls_animal_104_Mecp2 Controls_104_104_04302025.nwb	mecp2_controls_animal_104_Mecp2 Controls_104_104_05012025.nwb	mecp2_controls_animal_104_Mecp2 Controls_104_104_05022025.nwb	mecp2_controls_animal_105_Mecp2 Controls_105_105_05012025.nwb	mecp2_controls_animal_105_Mecp2 Controls_105_105_05022025.nwb	mecp2_controls_animal_105_Mecp2 Controls_105_105_05052025.nwb	mecp2_controls_animal_106_Mecp2 Controls_106_106_05072025.nwb	mecp2_controls_animal_106_Mecp2 Controls_106_106_05092025.nwb	mecp2_controls_animal_106_Mecp2 Controls_106_106_05112025.nwb	mecp2_controls_animal_107_Mecp2 Controls_107_107_05072025.nwb	mecp2_controls_animal_107_Mecp2 Controls_107_107_05082025.nwb	mecp2_controls_animal_107_Mecp2 Controls_107_107_05092025.nwb	mecp2_controls_animal_22096_Mecp2 Controls_22096_m22096_Day1_Session1.nwb	mecp2_controls_animal_22096_Mecp2 Controls_22096_m22096_Day2_Session1.nwb	mecp2_controls_animal_424_Mecp2 Controls_424_424_08222024.nwb	mecp2_controls_animal_424_Mecp2 Controls_424_424_08262024.nwb	mecp2_kd_animal_101_MeCP2 KD_101_101_03112025.nwb	mecp2_kd_animal_101_MeCP2 KD_101_101_03122025.nwb	mecp2_kd_animal_101_MeCP2 KD_101_101_03132025.nwb	mecp2_kd_animal_102_MeCP2 KD_102_102_03112025.nwb	mecp2_kd_animal_102_MeCP2 KD_102_102_03122025.nwb	mecp2_kd_animal_102_MeCP2 KD_102_102_03132025.nwb	mecp2_kd_animal_112_MeCP2 KD_112_112_05212025.nwb	mecp2_kd_animal_112_MeCP2 KD_112_112_05222025.nwb	mecp2_kd_animal_112_MeCP2 KD_112_112_05232025.nwb	mecp2_kd_animal_112_MeCP2 KD_112_112_05252025.nwb	mecp2_kd_animal_113_MeCP2 KD_113_113_05212025.nwb	mecp2_kd_animal_113_MeCP2 KD_113_113_05222025.nwb	mecp2_kd_animal_113_MeCP2 KD_113_113_05232025.nwb	mecp2_kd_animal_114_MeCP2 KD_114_114_05212025.nwb	mecp2_kd_animal_114_MeCP2 KD_114_114_05222025.nwb	mecp2_kd_animal_114_MeCP2 KD_114_114_05232025.nwb	mecp2_kd_animal_114_MeCP2 KD_114_114_05252025.nwb	mecp2_kd_animal_115_MeCP2 KD_115_115_05212025.nwb	mecp2_kd_animal_115_MeCP2 KD_115_115_05222025.nwb	mecp2_kd_animal_115_MeCP2 KD_115_115_05232025.nwb	mecp2_kd_animal_11_MeCP2 KD_11_11_03192025.nwb	mecp2_kd_animal_11_MeCP2 KD_11_11_03202025.nwb	mecp2_kd_animal_11_MeCP2 KD_11_11_03272025.nwb	mecp2_kd_animal_12_MeCP2 KD_12_12_03192025.nwb	mecp2_kd_animal_12_MeCP2 KD_12_12_03202025.nwb	mecp2_kd_animal_12_MeCP2 KD_12_12_03262025.nwb	mecp2_kd_animal_20026_MeCP2 KD_20026_m20026_Day2_Session2_SponWithAirPuff.nwb	mecp2_kd_animal_20026_MeCP2 KD_20026_m20026_Day3_Session1_SponWithAirPuff.nwb	mecp2_kd_animal_20030_MeCP2 KD_20030_m20030_Day1_Session1_SponWithAirPuff.nwb	mecp2_kd_animal_20030_MeCP2 KD_20030_m20030_Day2_Session1_SponWithAirPuff.nwb	mecp2_kd_animal_20030_MeCP2 KD_20030_m20030_Day4_Session1.nwb	mecp2_kd_animal_20042_MeCP2 KD_20042_m20042_Day4_Session1_SponOnly.nwb	mecp2_kd_animal_silver_MeCP2 KD_silver_silver_09272024.nwb	mecp2_kd_animal_silver_MeCP2 KD_silver_silver_09292024.nwb	mecp2_oe_animal_01_MeCP2 OE_01_01_04102024.nwb	mecp2_oe_animal_01_MeCP2 OE_01_01_04112024.nwb	mecp2_oe_animal_02_MeCP2 OE_02_02_04122024.nwb	mecp2_oe_animal_02_MeCP2 OE_02_02_04162024.nwb	mecp2_oe_animal_03_MeCP2 OE_03_03_04102024.nwb	mecp2_oe_animal_03_MeCP2 OE_03_03_04112024.nwb	mecp2_oe_animal_1_MeCP2 OE_1_01_04102024.nwb	mecp2_oe_animal_1_MeCP2 OE_1_01_04112024.nwb	mecp2_oe_animal_403_MeCP2 OE_403_403_06082025.nwb	mecp2_oe_animal_403_MeCP2 OE_403_403_06092025.nwb	mecp2_oe_animal_403_MeCP2 OE_403_403_06102025.nwb	mecp2_oe_animal_404_MeCP2 OE_404_404_06082025.nwb	mecp2_oe_animal_404_MeCP2 OE_404_404_06092025.nwb	mecp2_oe_animal_404_MeCP2 OE_404_404_06102025.nwb	mecp2_oe_animal_405_MeCP2 OE_405_405_05292025.nwb	mecp2_oe_animal_405_MeCP2 OE_405_405_06052025.nwb	mecp2_oe_animal_405_MeCP2 OE_405_405_06062025.nwb	mecp2_oe_animal_406_MeCP2 OE_406_406_05292025.nwb	mecp2_oe_animal_406_MeCP2 OE_406_406_06062025.nwb	mecp2_oe_animal_407_MeCP2 OE_407_407_05302025.nwb	mecp2_oe_animal_407_MeCP2 OE_407_407_06052025.nwb	mecp2_oe_animal_407_MeCP2 OE_407_407_06062025.nwb
2025-08-25	17011694740	15170674240	15391826000	16563342744	13948823128	16965679964	13972941848	11442125028	12459547748	3136877252	8823474952	6475936284	3052558532	11855395540	11779764708	8048693312	1585446912	7878790336	5514039572	8096713720	6436084128	8770183456	3983466500	8266905884	3154113024	4017171112	7231426224	9138282336	10169020956	7724004652	9445438008	15483903388	10399526736	11738573580	11099819136	8688931660	6872367104	4111924824	2977955840	3892314112	8430131268	11127008172	8495754188	7083416604	10517546384	2336160028	7986926896	3942645760	11355771420	3108042980	5417766276	8797211088	6193067420	4666859264	8852295828	10098734776	7491350184	6868346084	5758442892	9076473856	11753622500	5330294464	5533069168	12255754496	2382686936	8842441748	18641249420	16465590092	10109818236	19450586328	11502717036	18665925640	10630427752	18237880056	11974611640	20732503440	19518193664	16600929656	8816427008	19427280712	7930438836	14759045960	16718880072	10571129424	8141207780	7084044816	18849241528	17890149328
2025-09-01	0	0	0	0	0	0	0	0	0	4141875200	0	4570963160	0	0	0	0	0	0	4561305600	0	5804978664	0	0	0	0	4642122408	0	0	0	0	11651432632	0	0	0	0	0	0	3670016000	0	5776956040	0	0	0	0	0	3932160000	0	4664533576	0	6315468408	0	0	0	3627330536	0	0	0	0	8972375684	7077888000	0	0	0	0	0	0	0	0	9332326400	0	8545894400	0	0	0	0	0	0	0	0	0	0	0	0	0	5495472632	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	4037017600	0	0	0	2306867200	0	0	0	0	0	0	0	3984588800	0	0	0	0	10407032716	0	0	0	0	0	0	0	0	4037017600	0	0	0	0	0	0	0	0	0	0	0	3040870400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6973030400	0	0	0	0	0	0	0	0	0
2025-09-22	8450532	3810624	6441144	0	0	6183568	4061496	0	2161764	4127004	7914800	4061496	4651068	0	8032664	6444668	1989704	0	4389036	1974408	4651068	1992792	4651068	4127004	2117864	1911464	4127004	0	966556	5091496	7715284	3582904	0	4127004	2220920	0	6101140	6158140	2032984	4127004	7905008	0	4127004	6185924	1903704	0	0	6036324	6246548	0	4127004	6448220	4192512	0	6105176	4192512	4127004	0	5934952	6263144	661932	0	4192512	4127004	1895128	6457932	5860712	0	3322152	1860824	4127004	2161764	4323528	4389036	1708728	5991396	0	6360500	6402984	0	5825716	0	0	4389036	4258020	6679200	1743288	4454544
2025-10-06	0	0	0	0	93785888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4942919944	0	0
2025-12-15	14997287160	14636094112	8254008	14996114840	14462061832	0	0	8686660724	0	7825271204	14018712	15066840	7743035056	8988390440	7738854236	0	6681816	9433152	9500528104	10546788	8012883984	7745587864	7737238460	14739300	7822659816	8108318928	7644342104	7829264648	16639032	6616308	0	14149728	7913478056	8018374936	6485292	0	8993050916	8202941624	7455964760	5306148	14608284	7651637984	4127004	7731112616	7921272208	7728843752	26006676	7919246180	0	7731046008	7733022084	0	14215236	7831788276	10808820	8007874232	0	7824647396	12124261436	9891708	12318739008	17425128	6749681152	14673792	7736254748	8111424556	6157752	14826008968	10219248	7467912	0	0	4061496	7586838580	10088232	23340215268	4192512	0	11529408	0	8778072	0	0	7861846852	15918444	0	6223260	14661966668
2025-12-22	0	7185961632	0	0	0	0	0	4152360960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4010803200	0	0	4131090680	0	0	0	0	0	0	0	0	2787485800	0	0	0	0	0	0	0	0	4624682072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3364750392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6296698880	3879731200	0	0	2893762856	0	0	0	0
2025-12-29	8574759160	0	15542931496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5738884392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3890216960	0	0	0	3738173440	0	0	0	0	0	0	0	5892217260	0	0	0	0	4302148056	6904872960	0	0	0	0	8371006472	0	0	0	0	22494269424	7804425592	0	15908259656	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	9636045200	0	0	0	0	4251975680	0	0	0	0	3222232584	0	0	0	4016046080	0	0	0	0	0	0	0	0	0	0	0	8954358712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795078248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	1506725212	0	0	0	16254330648	0	0	8873027300	0	0	0	12343346756	0	0	0	0	10843106836	0	0	0	0	0	0	0	0	0	10326071864	20971520	0	0	0	0	0	2480051436	0	1232201992	0	0	0	6733879708	0	0	3118779124	0	554890092	15447201744	10485760	0	0	0	0	0	0	0	0	0	8050475896	0	0	0	0	0	0	0	0	6974113572	0	0	0	0	0	6773667256	1527626744	5818008480	0	10485760	5218688732	0	0	4612398256	6644530480	0	0	0	0	10485760	0	0
2026-01-19	0	5075618464	7830655016	0	7745932552	0	0	0	3947888640	0	0	0	0	0	3732930560	0	0	0	0	0	0	0	0	20971520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11550654760	0	0	0	0	0	4302793368	0	0	0	0	0	0	0	0	0	0	3607101440	0	0	0	2760301988	0	0	0	0	0	7273381656	0	8624537600	0	0	0	0	0	0	0	0	0	0	0	0	0	5128966168	0	0	0	0
