week_start	sub-CH101/sub-CH101_ses-10_behavior+ecephys+image.nwb	sub-CH101/sub-CH101_ses-11_behavior+ecephys+image.nwb	sub-CH101/sub-CH101_ses-5_behavior+ecephys+image.nwb	sub-CH101/sub-CH101_ses-6_behavior+ecephys+image.nwb	sub-CH101/sub-CH101_ses-7_behavior+ecephys+image.nwb	sub-CH101/sub-CH101_ses-8_behavior+ecephys+image.nwb	sub-CH101/sub-CH101_ses-9_behavior+ecephys+image.nwb	sub-CH105/sub-CH105_ses-10_behavior+ecephys+image.nwb	sub-CH105/sub-CH105_ses-11_behavior+ecephys+image.nwb	sub-CH105/sub-CH105_ses-5_behavior+ecephys+image.nwb	sub-CH105/sub-CH105_ses-6_behavior+ecephys+image.nwb	sub-CH105/sub-CH105_ses-7_behavior+ecephys+image.nwb	sub-CH105/sub-CH105_ses-8_behavior+ecephys+image.nwb	sub-CH105/sub-CH105_ses-9_behavior+ecephys+image.nwb	sub-CH112/sub-CH112_ses-10_behavior+ecephys+image.nwb	sub-CH112/sub-CH112_ses-11_behavior+ecephys+image.nwb	sub-CH112/sub-CH112_ses-5_behavior+ecephys+image.nwb	sub-CH112/sub-CH112_ses-6_behavior+ecephys+image.nwb	sub-CH112/sub-CH112_ses-7_behavior+ecephys+image.nwb	sub-CH112/sub-CH112_ses-8_behavior+ecephys+image.nwb	sub-CH112/sub-CH112_ses-9_behavior+ecephys+image.nwb	sub-CH61/sub-CH61_ses-10_behavior+ecephys+image.nwb	sub-CH61/sub-CH61_ses-11_behavior+ecephys+image.nwb	sub-CH61/sub-CH61_ses-5_behavior+ecephys+image.nwb	sub-CH61/sub-CH61_ses-6_behavior+ecephys+image.nwb	sub-CH61/sub-CH61_ses-7_behavior+ecephys+image.nwb	sub-CH61/sub-CH61_ses-8_behavior+ecephys+image.nwb	sub-CH61/sub-CH61_ses-9_behavior+ecephys+image.nwb	sub-CH65/sub-CH65_ses-10_behavior+ecephys+image.nwb	sub-CH65/sub-CH65_ses-11_behavior+ecephys+image.nwb	sub-CH65/sub-CH65_ses-5_behavior+ecephys+image.nwb	sub-CH65/sub-CH65_ses-6_behavior+ecephys+image.nwb	sub-CH65/sub-CH65_ses-7_behavior+ecephys+image.nwb	sub-CH65/sub-CH65_ses-8_behavior+ecephys+image.nwb	sub-CH65/sub-CH65_ses-9_behavior+ecephys+image.nwb	sub-CH69/sub-CH69_ses-10_behavior+ecephys+image.nwb	sub-CH69/sub-CH69_ses-11_behavior+ecephys+image.nwb	sub-CH69/sub-CH69_ses-5_behavior+ecephys+image.nwb	sub-CH69/sub-CH69_ses-6_behavior+ecephys+image.nwb	sub-CH69/sub-CH69_ses-7_behavior+ecephys+image.nwb	sub-CH69/sub-CH69_ses-8_behavior+ecephys+image.nwb	sub-CH69/sub-CH69_ses-9_behavior+ecephys+image.nwb	sub-CH73/sub-CH73_ses-10_behavior+ecephys+image.nwb	sub-CH73/sub-CH73_ses-11_behavior+ecephys+image.nwb	sub-CH73/sub-CH73_ses-5_behavior+ecephys+image.nwb	sub-CH73/sub-CH73_ses-6_behavior+ecephys+image.nwb	sub-CH73/sub-CH73_ses-7_behavior+ecephys+image.nwb	sub-CH73/sub-CH73_ses-8_behavior+ecephys+image.nwb	sub-CH73/sub-CH73_ses-9_behavior+ecephys+image.nwb	sub-CH85/sub-CH85_ses-10_behavior+ecephys+image.nwb	sub-CH85/sub-CH85_ses-3_behavior+ecephys+image.nwb	sub-CH85/sub-CH85_ses-4_behavior+ecephys+image.nwb	sub-CH85/sub-CH85_ses-5_behavior+ecephys+image.nwb	sub-CH85/sub-CH85_ses-6_behavior+ecephys+image.nwb	sub-CH85/sub-CH85_ses-7_behavior+ecephys+image.nwb	sub-CH85/sub-CH85_ses-8_behavior+ecephys+image.nwb	sub-CH85/sub-CH85_ses-9_behavior+ecephys+image.nwb	sub-CH89/sub-CH89_ses-10_behavior+ecephys+image.nwb	sub-CH89/sub-CH89_ses-11_behavior+ecephys+image.nwb	sub-CH89/sub-CH89_ses-12_behavior+ecephys+image.nwb	sub-CH89/sub-CH89_ses-5_behavior+ecephys+image.nwb	sub-CH89/sub-CH89_ses-6_behavior+ecephys+image.nwb	sub-CH89/sub-CH89_ses-7_behavior+ecephys+image.nwb	sub-CH89/sub-CH89_ses-8_behavior+ecephys+image.nwb	sub-CH89/sub-CH89_ses-9_behavior+ecephys+image.nwb
2025-09-01	99998442605	136086126408	60833218376	133871796818	181236332716	151320931022	136648106928	72824848532	91752744040	78948887004	75772830687	116398589164	112581269024	89164744382	65255811456	86144976328	59783449043	54201817152	90672656812	92107159962	93361136973	95914248009	108374988438	134434907534	97920334575	116951574611	102274799818	114086656771	92664788585	95877665336	166490800128	106452207139	131007356727	136643338076	132165950084	103148573154	63934359261	110057683844	62794202442	144184191562	71783019064	62245631790	106856864837	137048924110	223994379920	136579839282	147388986496	124187963512	158142580739	43024436616	106358006212	123956605756	141643148528	75101042972	129016416760	126824643236	152068968282	52437309788	97014501760	54039337016	62790268915	53465741392	91098837081	87363757021	101385652650
2025-09-08	0	0	40317747200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47710208000	0	0	0	74255438778	55098674166	0	0	0	0	0	0	0	38744883200	0	0	0	0	0	0	0	0	0	50960793600	0	0	0	0	0
2025-09-15	2119143	151146794344	349759556	165128015058	203754000412	0	169725450498	80473279376	96150408012	102128584044	0	127234119216	0	0	70446956346	102754877810	64046486179	51155806976	0	0	0	4202324935	0	153980367363	116391762103	10986107116	0	0	35566694823	103188445612	8764505248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	5162471	0	0	3509458	0	4651068	10080798	0	5294924	7831176	3676406	0	4707872	8200815	3096378	3735922	5295879	0	13425001	7888119	8385024	4127004	7690934	8189455	0	4127004	7904094	3685123	4127004	5182294	0	4389036	0	9561188	0	4061496	10348337	5035830	0	0	4068282	0	3178701	4192512	3311316	7206110	4258020	11284362	0	0	0	4389036	3404812	6092244	3154138	0	7491362	0	0	0	4127004	4585560	10009091	0	7593355
2025-10-06	0	0	85254580	0	58221000	0	0	11398952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	20000000	0	0	0	0	0	0	0	0	0	0	0	0	20000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42729472000	0	0
2025-12-15	0	11987964	7074864	0	0	0	6812832	0	4127004	8516040	0	8254008	19062828	4127004	4061496	35682512736	9957216	7795452	0	7336896	11660424	4127004	48212472768	65903001600	8385024	4127004	4127004	10415772	10874328	9236628	0	4127004	8385024	0	0	56109688536	16377000	0	0	8385024	0	10022724	0	15263364	9957216	8188500	75944424720	8254008	0	5895720	4127004	0	6747324	0	10088232	4061496	4127004	0	0	4061496	0	13691172	0	11463900	4127004
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41688168673	0	0	0	0	64889825781	0	61041803264	0	0	0	0	57443090432	78322723796	0	0	0	0	0	0	0	0	0	67628957696	0	0	0	0	0	0	0	0	0	0	0	55799655848	0	0	0	0	38663094272	0	0	0	0
2025-12-29	118474720743	151423618408	0	0	203754000412	153218658850	0	80104719024	41984983040	0	0	127234119216	0	92613781899	0	0	0	23765975040	139955129842	0	94798543073	97718526919	0	153965165923	0	143222647285	0	132719065859	98481254823	54974742528	180852786978	0	0	167074196436	158047464416	119341166631	132556844733	134414653238	0	0	0	0	0	165309142787	0	0	173750371562	237678795687	70277864013	102646708656	115383463478	0	0	96357487501	0	130145791400	146425665058	61256219016	99154489294	0	82740738035	0	0	90618278589	39437991936
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27192185507	0	0	0	0	0	0	0	47060090880	0	0	0	0	0	0	0	0	0	0	0	0	0	42825940992	0	0	0	0	0	0	0	0	0	0	0	0	0	63080235008	0	0	0	0	0	0	0	0	0	99321692643	0	0
