week_start	sub-nan/sub-nan_ses-20221105T092427_obj-1u74ltn_ophys.nwb	sub-nan/sub-nan_ses-20221105T092427_obj-torgvm_ophys.nwb	sub-nan/sub-nan_ses-20221105T094145_obj-188m2tn_ophys.nwb	sub-nan/sub-nan_ses-20221105T094145_obj-1xdtbhf_ophys.nwb	sub-nan/sub-nan_ses-20221105T100225_obj-1f5uvcm_ophys.nwb	sub-nan/sub-nan_ses-20221105T100225_obj-1fxgfxu_ophys.nwb	sub-nan/sub-nan_ses-20221105T102727_obj-135t0fe_ophys.nwb	sub-nan/sub-nan_ses-20221105T102727_obj-tjzsjn_ophys.nwb	sub-nan/sub-nan_ses-20221105T104053_obj-1cu5dr8_ophys.nwb	sub-nan/sub-nan_ses-20221105T104053_obj-t6cdqb_ophys.nwb	sub-nan/sub-nan_ses-20221105T110253_ophys.nwb	sub-nan/sub-nan_ses-20221105T113341_ophys.nwb	sub-nan/sub-nan_ses-20221105T115834_ophys.nwb
2025-09-08	1627083294	172454924	288728272	209622764	222336608	293618736	253688092	217736664	257815096	298204728	214624848	146318532	128622220
2025-09-15	1583075881	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	249184504	4258020	0	381544	4735992	4192512	4944952	359392	410936	0	0	4585560	4258020
2025-09-29	441246032	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	2192997544	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	1123160528	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	1983510888	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	9171120	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	1112024168	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	679752732	0	242209384	242209384	0	0	0	215710688	0	0	0	205106088	172729712
2025-11-17	216430504	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	216299432	0	242209384	0	299911984	299911984	215710688	0	224544056	224544056	0	205106088	172729712
2025-12-01	104382916	165967784	94622224	0	317144172	0	215710688	215710688	0	224544056	266933288	205106088	172729712
2025-12-08	432861008	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	224553440	222719216	0	242209384	8188500	0	221999456	215710688	0	7533420	4061496	4127004	172729712
2026-01-05	329082616	0	0	0	0	0	0	0	94371840	0	0	0	0
2026-01-12	437053520	0	473933008	0	0	0	0	226196448	0	0	523380816	0	0
2026-01-19	445503996	106198952	0	369075408	0	0	215710688	215710688	0	0	0	205106088	235644272
2026-01-26	232742108	0	90165864	241996800	0	125829120	62914560	0	0	0	0	0	0
2026-02-02	0	0	0	0	74468144	0	0	57671680	0	83886080	62914560	83886080	0
2026-02-16	4331804	6821108	204800	204800	0	0	204800	0	0	307200	0	0	0
2026-02-23	0	0	0	0	4127004	0	0	0	0	4323528	0	0	390512
2026-03-02	337832	0	0	0	0	0	4258020	4490492	0	0	0	0	0
2026-03-09	0	0	0	340584	0	0	0	0	0	0	0	0	0
2026-03-16	87219820	0	0	0	0	0	0	0	9040104	0	0	0	0
2026-03-23	6419784	0	0	204800	0	0	0	0	0	0	0	0	0
