week_start	sub-mouse1/sub-mouse1_ses-20131009_behavior+ophys.nwb	sub-mouse1/sub-mouse1_ses-20131011_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20131219_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20131220_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20131222_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20131224_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20131226_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20131227_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20131228_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20140117_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20140119_behavior+ophys.nwb	sub-mouse2/sub-mouse2_ses-20140120_behavior+ophys.nwb	sub-mouse3/sub-mouse3_ses-20131219_behavior+ophys.nwb	sub-mouse3/sub-mouse3_ses-20131222_behavior+ophys.nwb	sub-mouse3/sub-mouse3_ses-20131223_behavior+ophys.nwb	sub-mouse3/sub-mouse3_ses-20131224_behavior+ophys.nwb	sub-mouse3/sub-mouse3_ses-20131227_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140302_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140303_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140304_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140306_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140307_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140308_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140310_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140311_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140312_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140313_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140315_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140316_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140317_behavior+ophys.nwb	sub-mouse4/sub-mouse4_ses-20140319_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140225_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140226_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140227_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140301_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140304_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140305_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140307_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140308_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140310_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140312_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140313_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140314_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140317_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140318_behavior+ophys.nwb	sub-mouse5/sub-mouse5_ses-20140319_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140308_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140310_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140311_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140312_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140313_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140314_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140315_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140316_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140319_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140320_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140321_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140323_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140324_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140326_behavior+ophys.nwb	sub-mouse6/sub-mouse6_ses-20140327_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140326_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140327_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140328_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140406_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140407_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140408_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140410_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140411_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140412_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140414_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140415_behavior+ophys.nwb	sub-mouse7/sub-mouse7_ses-20140418_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140316_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140318_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140319_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140321_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140323_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140324_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140326_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140327_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140328_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140329_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140402_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140403_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140406_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140407_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140408_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140409_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140411_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140412_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140414_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140416_behavior+ophys.nwb	sub-mouse8/sub-mouse8_ses-20140418_behavior+ophys.nwb
2025-09-15	198296392	354087564	388714649	348529392	432330690	167015636	411118797	499627681	462764763	411894314	419969288	455081984	578442808	673288086	279310680	404052673	648123186	587523516	576737346	293533980	748263638	762991988	494573256	486812110	729752210	770782180	298447080	591992578	451736586	504973825	376462412	660555035	422303744	378554826	428224442	347899016	440942526	548715236	502422000	388164268	492775196	350089784	476232564	622557934	551124988	430175412	821999596	528924524	333858320	678145518	417735630	565135842	740639016	722496128	635041933	511249988	472162483	574226134	328595992	599178976	876587236	510705882	624606292	299246015	418983648	424061360	409947763	564033412	537622688	375181510	526356622	327481460	660057682	397095748	472363554	407243732	654771885	394057071	513931984	336637255	623196783	490923639	302680808	260986044	350347660	569457686	556419714	590818091	347234158	499814394	406514572	516764035	707739942	586480248
2025-09-22	776864100	417738156	414599437	311322880	786095542	4136036	424753418	4790796	550993050	405411598	328284452	402806635	147566222	550922436	357224753	0	418089698	977452796	4192512	617369032	4127004	666592144	299061804	658329432	176590309	489818728	0	451415823	501869862	398517646	408673372	607106923	537385016	552880586	488450262	4389036	346637986	568641764	390673400	361713593	372250368	377172179	301950194	429735749	413091512	394394202	407134070	386786956	403328160	363780587	254057617	501557347	446437716	390953808	471205629	0	267794985	0	0	438692490	431283058	0	0	242493407	0	375957936	279991639	0	443777040	291041346	0	0	471390973	0	0	283053906	0	371055699	0	0	0	398585235	0	324120016	0	0	437528797	439892239	0	400903037	393986267	0	465578617	0
2025-09-29	278164978	344750572	333141426	0	0	0	0	0	8680	8792	0	8768	9552	0	9184	9328	0	9520	9264	0	0	9096	0	0	8800	0	9224	0	9184	8864	0	0	0	0	0	0	0	0	0	0	0	0	0	2161764	4127004	0	134373238	146007692	4520052	135123719	4127004	4127004	145953336	144208500	0	139495146	102904617	4127004	108125732	156099466	4389036	4127004	159735170	79833055	134953480	0	103960151	144720270	163084532	111341634	156604134	152216944	0	0	4127004	0	148526991	133291091	0	4585560	0	0	4127004	0	2161764	157426045	0	147337743	126576378	140462973	134987995	128665051	145107577	4520052
2025-10-06	251453853	0	0	104732784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8960	0	9672	0	0	0	9184	0	0	0	0	0	0	0	0	0	407134070	0	403328160	0	0	0	0	0	0	0	0	0	0	0	0	0	454321254	0	0	0	0	0	0	0	0	0	0	0	350707799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	243723909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9064	0	0	0	0	9064	9576	0	0	9120	9208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9304	9448	9320	0	9232	0	9304	0	9480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9192	0	8984	0	8928	8984	0	0	0	9184	8912	0	9064	0	0	0	0	9176	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	0	417738156	0	230957808	328199110	0	0	0	0	303041415	241442820	402806635	0	0	352901225	226785923	0	415624352	0	308684516	537350109	500675016	0	0	0	0	369818425	449254059	362183173	0	0	0	389377934	0	352524253	311347510	0	417424498	390673400	0	0	0	301950194	429735749	413091512	0	407134070	386786956	403328160	0	0	501557347	446437716	0	471205629	0	267794985	429524223	0	0	431283058	0	908642508	242493407	0	751915872	559983278	405946766	0	0	851787092	0	942781946	303118748	0	0	0	371055699	310225724	283228971	0	398585235	0	324137952	0	0	437528797	439892239	357330454	400903037	393986267	360793563	465578617	401244348
2025-11-10	1004785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8752	0	0	0	0	0	0	0	0	0
2025-11-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8696	8888	0	0
2025-12-08	8160	0	0	0	0	0	0	0	0	0	0	214958080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146800640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	239727921	18604272	425801305	330961096	328199110	237937452	4127004	395033905	412367607	10153740	245569824	406868131	388342126	797729276	11987964	226785923	422216702	0	450976422	308684516	5699196	8122992	308953512	492250170	203064277	7009356	384426709	453381063	362183173	14804808	6943848	15787428	6485292	287576653	0	8319516	257039231	417424498	4127004	378025085	10153740	0	308238962	9302136	7795452	8385024	411261074	5961228	604799840	363780587	16114968	0	703795152	407789364	475332633	4389036	11660424	437778231	424928828	7271388	5895720	9891708	6681816	495337078	350962152	0	289686823	7664436	18473256	307090806	678925214	442477652	471390973	303118748	363350843	291111390	11005344	8450532	316383476	293906775	4127004	407101275	283881406	0	8122992	8450532	0	12512028	11332884	10612296	403615943	366689283	480841981	8385024
