week_start	sub-Dmel-EGstrain-tpn5-front/sub-Dmel-EGstrain-tpn5-front_ses-supplemental_ophys.nwb	sub-Dmel-EGstrain-tpn5-top/sub-Dmel-EGstrain-tpn5-top_ses-supplemental_ophys.nwb	sub-Dmel-front-1/sub-Dmel-front-1_ses-main_ophys.nwb	sub-Dmel-front-2/sub-Dmel-front-2_ses-main_ophys.nwb	sub-Dmel-front-3/sub-Dmel-front-3_ses-main_ophys.nwb	sub-Dmel-front-4/sub-Dmel-front-4_ses-main_ophys.nwb	sub-Dmel-front-5/sub-Dmel-front-5_ses-main_ophys.nwb	sub-Dmel-top-1/sub-Dmel-top-1_ses-main_ophys.nwb	sub-Dmel-top-2/sub-Dmel-top-2_ses-main_ophys.nwb	sub-Dmel-top-3/sub-Dmel-top-3_ses-main_ophys.nwb	sub-Dmel-top-4/sub-Dmel-top-4_ses-main_ophys.nwb	sub-Dmel-top-5/sub-Dmel-top-5_ses-main_ophys.nwb	sub-Dmet-front-1/sub-Dmet-front-1_ses-main_ophys.nwb	sub-Dmet-front-2/sub-Dmet-front-2_ses-main_ophys.nwb	sub-Dmet-front-3/sub-Dmet-front-3_ses-main_ophys.nwb	sub-Dmet-front-4/sub-Dmet-front-4_ses-main_ophys.nwb	sub-Dmet-front-5/sub-Dmet-front-5_ses-main_ophys.nwb	sub-Dmet-top-1/sub-Dmet-top-1_ses-main_ophys.nwb	sub-Dmet-top-2/sub-Dmet-top-2_ses-main_ophys.nwb	sub-Dmet-top-3/sub-Dmet-top-3_ses-main_ophys.nwb	sub-Dmet-top-4/sub-Dmet-top-4_ses-main_ophys.nwb	sub-Dmet-top-5/sub-Dmet-top-5_ses-main_ophys.nwb	sub-Dmoj-TPN1a/sub-Dmoj-TPN1a_ses-main_ophys.nwb	sub-Dmoj-TPN1b/sub-Dmoj-TPN1b_ses-main_ophys.nwb	sub-Dmoj-TPN6/sub-Dmoj-TPN6_ses-main_ophys.nwb	sub-Dmoj-front-1/sub-Dmoj-front-1_ses-main_ophys.nwb	sub-Dmoj-front-2/sub-Dmoj-front-2_ses-main_ophys.nwb	sub-Dmoj-front-3/sub-Dmoj-front-3_ses-main_ophys.nwb	sub-Dmoj-front-4/sub-Dmoj-front-4_ses-main_ophys.nwb	sub-Dmoj-front-5/sub-Dmoj-front-5_ses-main_ophys.nwb	sub-Dmoj-top-1/sub-Dmoj-top-1_ses-main_ophys.nwb	sub-Dmoj-top-2/sub-Dmoj-top-2_ses-main_ophys.nwb	sub-Dmoj-top-3/sub-Dmoj-top-3_ses-main_ophys.nwb	sub-Dmoj-top-4/sub-Dmoj-top-4_ses-main_ophys.nwb	sub-Dmoj-top-5/sub-Dmoj-top-5_ses-main_ophys.nwb	sub-Dmoj-wrig-tpn5-front/sub-Dmoj-wrig-tpn5-front_ses-supplemental_ophys.nwb	sub-Dmoj-wrig-tpn5-top/sub-Dmoj-wrig-tpn5-top_ses-supplemental_ophys.nwb	sub-Dper-front-1/sub-Dper-front-1_ses-main_ophys.nwb	sub-Dper-front-2/sub-Dper-front-2_ses-main_ophys.nwb	sub-Dper-front-3/sub-Dper-front-3_ses-main_ophys.nwb	sub-Dper-front-4/sub-Dper-front-4_ses-main_ophys.nwb	sub-Dper-front-5/sub-Dper-front-5_ses-main_ophys.nwb	sub-Dper-strain-tpn5-front/sub-Dper-strain-tpn5-front_ses-supplemental_ophys.nwb	sub-Dper-strain-tpn5-top/sub-Dper-strain-tpn5-top_ses-supplemental_ophys.nwb	sub-Dper-top-1/sub-Dper-top-1_ses-main_ophys.nwb	sub-Dper-top-2/sub-Dper-top-2_ses-main_ophys.nwb	sub-Dper-top-3/sub-Dper-top-3_ses-main_ophys.nwb	sub-Dper-top-4/sub-Dper-top-4_ses-main_ophys.nwb	sub-Dper-top-5/sub-Dper-top-5_ses-main_ophys.nwb
2025-09-15	94368256	37681436	163577856	136851249	129438978	66415308	154408310	127138208	78561960	76783959	49402131	60481009	313532997	108852592	222833292	168211584	98437044	146086086	217909558	149856028	159935224	110617523	12532178	119277942	256598904	113148512	214419832	143586268	126234160	49906442	193349620	155795820	113847695	93761406	140463240	169897751	121595955	649876334	128118142	214722324	66600362	142971439	172676491	193591720	88669920	80124454	114824370	155356528	174559892
2025-09-22	368232	4258020	0	4468529	0	4258020	402238	4127004	4702468	0	4323528	5030542	4127004	4127004	0	4127004	4725772	339510	4527254	4576000	440558	455007	4536786	4586939	407726	4323528	5040664	4127004	402684	4571329	4530298	4497590	4469931	4127004	4532690	4548659	4454544	21831488	9473406	8855436	17856564	18278963	4127004	0	4489128	631106	4127004	413084	4424752
2025-10-06	0	0	15534054	30337048	24698898	23100136	17250948	26929228	36790216	29670937	23422513	26891034	18101363	23523408	22731600	11268576	15266376	39212976	23430362	18781612	19044756	17278710	23507282	26512947	31564452	24376620	19533216	28519660	31394964	36961205	32362790	35208706	22891128	18832338	27867842	0	0	19610634	22329330	23403840	26597101	32045323	0	0	31647628	28014738	22956680	25905540	30805824
2025-10-20	0	0	13937140	362005	14179164	14061040	10263174	8649232	9169644	13175270	17609073	9220251	20315942	17822200	10022940	14084940	9436164	9616518	13411738	18418604	5264358	13340529	8934280	9517746	13685970	5716884	5246556	17531452	18088524	10244104	13308270	9922618	1470012	11348655	13773736	0	0	17270476	8048586	14250804	14176443	13657142	0	0	8648872	17483074	8687030	932052	18359304
2025-10-27	0	0	8626663	14318631	3697884	13559148	7781064	22015040	17118440	18219386	13355246	19111959	8852042	13889708	15459942	11661144	13759692	1165986	13263320	14256132	17724808	23159028	8561390	18230310	13554954	14101908	19003236	19488124	13325504	13801862	13981804	5592908	5386074	9186891	13511704	0	0	5270694	18005802	13780392	13914411	22221675	0	0	4652884	18494667	9120052	9186060	17704224
2025-11-03	0	0	73099522	45579635	38860026	50022916	42755904	41936000	68165596	67698225	46718203	51893254	47998397	63457576	61053834	52409760	52550468	55179384	54525160	60335396	41589296	43601424	51534616	46877685	66600828	51035976	47391864	41235768	50231456	47915734	51529872	63610762	42561237	41104250	67534294	0	0	64776612	52436316	59516232	40643381	49632945	0	0	46667120	46370827	52020044	41805212	59756504
2025-11-10	0	0	50388639	25985899	33289464	35699844	32769150	28307072	41265612	29556245	28327227	32966901	33573944	31253352	35505606	37079448	27322860	48379710	39789960	32382664	36717986	39717150	35424704	19859760	37129164	27652020	37488324	32621972	27183388	36144620	36143800	32600750	40501653	44854785	25068054	0	0	41306512	36180360	32872560	32034265	46539606	0	0	37093872	48802185	40003200	31391356	32384620
2025-11-17	0	0	14375303	22476088	22891728	26747420	23481402	30726516	30764956	14493592	14259779	23036980	22023381	22604284	27317052	11596356	21948192	18062664	21761958	14190624	14225024	26761968	18831022	26578455	26458296	17339532	23044868	19266908	18069460	35595700	23228578	22880838	32076666	22910413	23330734	0	0	18807214	18502098	30836184	26924641	25169535	0	0	28179336	24899327	26049996	22598344	14166792
2025-11-24	0	0	18129652	16845822	22638714	30853260	27550092	18610800	18187420	10432096	13416561	18402289	18232379	19527420	28168656	27580068	19068852	22648224	18451754	22878576	19372296	19860525	26515616	23368563	22134768	18256644	27892460	22673324	18023016	27003989	18315478	14305472	28892319	14770842	23461750	0	0	20290262	18502098	27060432	26990149	23742822	0	0	32040676	34478619	27949728	31294052	14232300
2025-12-01	0	0	28066475	15042641	19139736	14213220	18502794	32368568	18797844	23402680	27955144	17708996	27534515	23295136	17818338	24239640	18149732	23556564	15045338	27131168	14342110	27467154	10728188	18314904	14532372	6034380	28311288	13551588	19333176	14240092	22020834	22231940	14480559	27479394	14183840	0	0	15978552	18698622	32015328	23308770	21911150	0	0	31975168	22519628	23797190	14147812	15783572
