week_start	sub-820454/sub-820454_ses-ecephys-820454-2025-11-04-14-59-22_ecephys.nwb	sub-820454/sub-820454_ses-ecephys-820454-2025-11-05-15-21-15_ecephys.nwb	sub-820454/sub-820454_ses-ecephys-820454-2025-11-06-16-00-27_ecephys.nwb	sub-820454/sub-820454_ses-ecephys-820454-2025-11-07-10-54-23_ecephys.nwb	sub-820459/sub-820459_ses-ecephys-820459-2025-11-10-15-07-13_ecephys.nwb	sub-820459/sub-820459_ses-ecephys-820459-2025-11-12-14-34-33_ecephys.nwb
2025-11-17	15260071419	19775961996	13951996985	14354067318	0	11171762808
2025-11-24	14534669166	14555854706	171164419	13868631241	35382287120	68644283772
2025-12-01	29074353076	15012438864	14459598667	13872774299	240218554	33519836750
2025-12-08	66927237455	119769106	108180599	135444181	2251953694	11653478931
2025-12-15	44112175741	14404735494	14242083513	5830212	14580426546	18669780
2026-01-05	44302823357	0	0	0	0	7147439335
2026-01-12	14376633437	0	0	0	0	7648154552
2026-01-19	14812202510	8299479040	0	0	8034301178	0
2026-01-26	834018811	0	6504778497	7208650311	0	0
2026-02-02	7341407655	0	0	0	0	0
2026-02-09	542175315	0	0	0	0	0
2026-02-16	251771715	0	1024000	0	10284756	10088232
2026-02-23	490546352	24734498	10302008	13499136	921600	0
2026-03-02	40050041	2685980872	0	0	0	20827595
2026-03-09	0	0	19438337	0	39462138	0
2026-03-16	518072312	0	0	0	0	12381012
2026-03-23	99178609	5355804	0	5568180	0	0
2026-03-30	82003037	13619200	1179144	34506311	0	16569575
2026-04-06	4005664	0	39466246	982620	1572192	19508744
2026-04-13	48723037	0	0	0	1113636	269926400
