week_start	sub-31/sub-31_ses-LE31-S1-01_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-02_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-03_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-04_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-05_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-06_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-07_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-08_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-09_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-10_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-11_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-12_ecephys.nwb	sub-31/sub-31_ses-LE31-S1-13_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-01_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-02_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-03_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-04_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-05_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-06_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-07_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-08_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-09_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-10_ecephys.nwb	sub-32/sub-32_ses-LE32-S1-11_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-01_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-02_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-03_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-04_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-05_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-06_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-07_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-08_ecephys.nwb	sub-34/sub-34_ses-LE34-S1-09_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-01_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-02_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-03_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-04_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-05_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-06_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-07_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-08_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-09_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-10_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-11_ecephys.nwb	sub-35/sub-35_ses-LE35-S1-12_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-01_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-02_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-03_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-04_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-05_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-06_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-07_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-08_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-09_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-10_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-11_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-12_ecephys.nwb	sub-42/sub-42_ses-LE42-S1-13_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-01_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-02_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-03_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-04_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-05_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-06_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-07_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-08_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-09_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-10_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-11_ecephys.nwb	sub-44/sub-44_ses-LE44-S1-12_ecephys.nwb
2025-11-17	4505031	13889910	8392488	9484128	8945864	13389082	21783702	13236892	8988982	7017922	7436744	10612296	2997564	2789896	1419906	3740078	1801580	5899688	1422528	1350736	3946284	7560984	2481360	1719594	1532520	10191594	6826500	14513316	4857224	3799596	12775856	5166168	5834224	2440752	6287916	11988578	13783174	8695266	6073816	5847584	6494282	2590692	1571028	3554430	5692232	5561786	9555976	2190160	18477708	1960410	4299488	10807280	4175776	3580704	11365072	9304632	17597216	17659078	3068040	2907920	1407552	2175480	2878206	1332740	1453772	1908738	1344692	2950656	1147792	2065026
2025-11-24	10538106	29969256	23163014	36437428	38990948	50206720	33283440	33375170	34906128	28585986	20666684	33656360	7677876	12476112	5679624	11976772	10195080	12107300	8535168	8779784	20869390	24309464	11792400	6305178	7662600	31793430	18841156	36653196	32020488	13705202	38552356	12634098	12209424	5491692	24362060	24497770	38320398	13768116	13265288	12095824	17471710	12472152	5760436	9952404	14444714	10025844	22201184	6570480	35344336	9660580	12855128	18314888	13341896	10230112	26721924	23265088	36111256	35519714	7976904	9324404	9852864	7251600	11317154	9277210	7268860	6135814	9252498	9589632	6886752	8948446
2025-12-01	9399500	37021680	16062232	38595072	35951424	29476554	15051054	30355020	18803190	17390968	14844020	20111628	8840668	7738904	4259718	10319114	8188700	8014310	9246432	8104416	11674088	13816410	9311040	6305178	6896340	14665890	19318828	26178444	27103244	8326788	26790044	10411462	9673392	6101880	10936160	18143484	25822990	21277704	10798886	13144400	8669712	8314768	5760436	7819746	10339380	11276646	12826738	6570480	17555736	4779090	8111552	17567712	7851840	5959032	20943740	22874088	26862256	21218450	6749688	6979008	4926432	4350960	5896614	8713240	7268860	6976860	7337860	8851968	5165064	5506736
2025-12-08	7519600	19460706	12524166	14153348	19635776	15094038	17791866	19756288	19873952	12355610	12604176	26963496	8763080	4253880	2839812	8822422	6182320	9685840	4267584	6078312	11765124	13727480	5277840	5731980	5363820	11193966	12242128	16068960	23229984	14026182	20886360	8188826	7489616	5491692	9496530	13296592	18411416	11469564	9997232	5548200	7777998	7531422	4189408	5687088	8343486	7231902	11869292	3832780	16420332	6290830	7087552	10145432	6247280	5856632	18991880	14550464	19457580	26263144	4908864	3489504	4222656	5076120	4387410	4971790	4361316	5499568	5218422	4425984	3443376	5506736
2025-12-15	15174450	34950078	30098484	42697492	45160440	35905404	48897642	54466118	37203374	34957614	25105156	40403684	12837420	11633528	5679624	14746098	11791860	15450360	7823904	8779784	23439212	17589634	8688720	8597970	8428860	34178822	20615964	37350780	32091540	20453172	40624500	18717770	15286432	8542632	30651354	20764088	39044388	26762316	23116226	14868440	17471710	14791498	7331464	9241518	15765372	14156604	21340184	5475400	41355660	14439670	10193384	19543688	15003800	12813240	32387544	32377728	42755584	26838386	8590512	8723760	8445312	9427080	11998028	8508440	12357062	9419444	7907806	10327296	8034544	10325130
2025-12-22	0	0	0	6145460	0	0	10485760	0	0	3169430	0	0	0	0	0	0	0	0	0	0	0	0	827120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1899798	0	0	0	0	0	0	4613622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725160	0	0	0	0	0	0	0	0
2026-01-05	12852100	28702164	17506842	38258860	26043092	24667272	26559414	27493014	32254964	20829960	19348824	20373660	10147056	10659872	5679624	10350660	8188700	15450360	7823904	8104416	15102940	18934304	9208640	8024772	9961380	41722992	18363192	27465600	27362532	13002182	26619852	14037534	12795456	4881504	16632526	22993214	32897854	11469564	11685394	12120400	9181712	12200806	6284112	6397974	14434776	11276646	27034678	4927860	29456424	9211910	10887328	12868584	12989640	9922912	23322736	30607704	34131372	30688450	6136080	6979008	7741536	6526440	8774820	9379610	7268860	8249352	6460714	10327296	8034544	9636788
2026-01-12	2187100	15728562	0	0	5017232	0	44889212	24905828	0	9508290	0	0	1998376	1947312	1419906	4395438	3603160	3343060	1422528	1350736	0	0	2481360	573198	2298780	0	6826500	0	0	0	0	0	0	1220376	0	0	0	8499582	3036908	0	0	1295346	2094704	1421772	0	0	0	547540	15633192	653470	0	0	0	2685528	0	0	0	20747298	1227216	1163168	0	1450320	0	1999110	1453772	1908738	4706422	2212992	0	2065026
2026-01-19	6733250	14678622	12194592	33737928	18722820	14963022	10924050	13815406	24803510	12355610	8906412	19364568	1998376	6201192	2366510	8853968	4585540	8185980	2133792	3376840	12599578	11454058	3828400	4012386	3831300	9864604	7076700	20436744	10832340	8326788	16768540	8188826	3736464	4881504	12967462	8515170	14941326	8636370	9280432	7596200	9693712	7019422	4713084	4265316	9008784	4044744	7761928	3285240	16005516	4125620	3799776	4699128	6042480	3478304	12992568	7602072	10745016	18313580	3068040	2907920	5630208	4350960	3428008	2972680	4361316	4658522	4341276	2950656	3443376	2753368
