week_start	sub-Godzilla/sub-Godzilla_ses-20221116-5-godzilla-speed10-incline00_behavior+ecephys.nwb	sub-Godzilla/sub-Godzilla_ses-20221116-8-godzilla-speed10-incline00_behavior+ecephys.nwb	sub-Godzilla/sub-Godzilla_ses-20221116-9-godzilla-speed10-incline00_behavior+ecephys.nwb
2025-12-15	268148064	59591945	39364424
2025-12-22	156671890	753332299	202796087
2025-12-29	4828496	57962011	225744052
2026-01-05	73677268	20691079	34560420
2026-01-12	253195224	26214400	0
2026-01-19	11450564	22768691	39777856
2026-01-26	15643076	26015998	28733508
2026-02-02	15970616	10715219	13432440
2026-02-09	14712628	18707195	8254008
2026-02-16	86295544	10780727	64744304
2026-02-23	24145780	6588215	18414348
2026-03-02	250301400	62943797	0
2026-03-16	27538860	6101566	7178076
2026-03-23	4913100	7308803	0
