week_start	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-10rlo0z_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-14kgrex_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-155xyap_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-17h3xyf_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-182f7kb_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-18grn52_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-1d8cqve_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-1dtq5gg_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-1hze3nr_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-1mpyhuf_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-1tbfvx1_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-o5c1ca_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-r9kq44_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-tq58al_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-w5maeh_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-xjy9zs_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206AS_obj-yhmune_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-12n6bj2_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-14nb7lg_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-1fus1iv_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-1hd5igg_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-1hdj9io_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-1m86n5_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-1na2n9x_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-1pjbu7s_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-1vqgzg9_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-1w64zn_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-406lwf_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-5ueuaq_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-6hfvu1_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-93pwgg_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-gk29ja_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-jbicqk_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-k6mepx_icephys.nwb	sub-Mfa-221206/sub-Mfa-221206_ses-sess-221206HS_obj-xcpo2b_icephys.nwb
2026-02-09	32346136	146962664	67503860	28404416	59184344	28404416	51915864	75034988	104771840	164526304	28404416	44098432	89893256	28404416	59053328	28404416	59773916	10097200	10097200	27823540	10097200	30162644	23656904	36107460	10097200	10097200	23656904	10097200	23198348	10097200	16257904	23525888	36303984	10097200	23853428
2026-02-16	41977200	134079708	51917764	32313804	53489956	34093760	44734664	62112800	76795688	121443628	23324304	40032924	65672928	20118200	42619416	20118200	41636796	3278352	3278352	11455136	3278352	12567072	9470136	15662576	3278352	3278352	9470136	3278352	9470136	3278352	3278352	9470136	15662576	3278352	9470136
2026-02-23	52266360	119353980	62787116	40441200	82365244	32352960	55207760	98553060	108120800	168317268	30573004	63928316	94042008	32352960	78893320	40441200	63245672	0	6659104	0	0	0	0	0	0	6659104	0	6659104	0	0	6659104	27734896	20448312	0	0
2026-03-02	8088240	0	15582140	0	0	8088240	14391512	0	26899184	41800908	8088240	11861848	23281224	8088240	0	0	14861552	6659104	0	14730536	0	0	14194988	19989756	6659104	0	0	0	14129480	6659104	0	0	0	6659104	13736432
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6659104	16825092	0	0	0	0	13801940	0	0	0	0	0	0	0	0
2026-03-16	53265532	169846908	108354392	53265532	116608400	53265532	106542272	138694872	182333060	295226676	51944132	74778928	160217232	58255380	114512144	62852180	102786212	6556704	0	0	0	0	0	0	6556704	0	0	6556704	13597140	0	0	0	0	0	0
2026-03-23	6361728	20071332	12044708	9255320	16564760	9975908	13736432	19710612	23623784	41800908	8088240	12385912	19809300	8088240	15713156	4736092	15582140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	12087304	42217004	27692580	12087304	28151136	12087304	23525944	35089644	49728596	76928500	8800664	16575160	42217004	12087304	27954612	12087304	27561564	9832104	9835056	27692580	9835056	30162644	23656960	35321308	9835056	9835056	23329420	9835056	22477816	9835056	9835056	23329420	35845372	9835056	23394928
2026-04-20	45575652	208111608	108018088	52476472	126753376	52148932	116123176	143469660	209625292	354256188	59573816	89326604	177733752	62991472	119088940	66278112	118630384	6556704	0	0	0	0	0	0	6556704	0	0	6556704	15038316	0	0	0	0	0	0
2026-04-27	24729988	22290672	19637248	24926512	12889924	20202484	19571740	22159656	23371204	13905648	12584864	12889924	16853508	15412948	12824416	15609472	11186716	13553860	11061604	18785644	15980608	16230832	17803024	18786344	15980608	13619368	16165324	8307316	6208108	10996096	13619368	16820404	14790356	8700364	26188048
2026-05-11	20854600	15809868	21533192	18226004	14327312	20191244	24919360	34930908	14654852	15416820	24873068	14392820	22229652	10932136	14523836	13498188	21860732	20696348	17417996	10724372	14991248	50925356	35728180	27053116	14991248	18335108	73649036	17549012	14523836	19975760	17352488	22515812	39309276	24011592	21467684
2026-05-18	18418740	42785796	23167104	29990144	27883680	21443348	20546784	24330396	19302132	83687448	33322776	19433148	21054996	44905420	34360208	35823320	35735876	32027560	19051908	19695180	21413148	22708548	19171116	38474088	22854324	18724368	26639028	29644444	33423336	25773568	16625160	40440968	38670612	16494144	40309952
