week_start	sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-01-24-12-06-12_ophys.nwb	sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-01-29-11-18-09_ophys.nwb	sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-01-30-09-32-25_ophys.nwb	sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-01-31-11-38-29_ophys.nwb	sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-02-06-12-31-00_ophys.nwb	sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-02-07-11-18-06_ophys.nwb	sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-02-12-11-45-55_ophys.nwb	sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-02-13-11-45-59_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-13-14-38-22_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-16-11-39-57_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-17-11-50-35_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-19-13-22-26_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-20-10-35-23_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-23-12-57-43_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-24-11-35-15_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-26-14-00-52_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-03-05-14-14-51_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-03-06-13-39-00_ophys.nwb	sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-03-09-11-43-41_ophys.nwb	sub-839909/sub-839909_ses-multiplane-ophys-839909-2026-02-20-12-53-27_ophys.nwb	sub-839909/sub-839909_ses-multiplane-ophys-839909-2026-02-26-15-11-01_ophys.nwb	sub-839909/sub-839909_ses-multiplane-ophys-839909-2026-02-27-14-04-04_ophys.nwb	sub-839909/sub-839909_ses-multiplane-ophys-839909-2026-03-05-11-45-48_ophys.nwb	sub-839909/sub-839909_ses-multiplane-ophys-839909-2026-03-06-11-23-27_ophys.nwb	sub-839909/sub-839909_ses-multiplane-ophys-839909-2026-03-19-12-45-42_ophys.nwb	sub-839909/sub-839909_ses-multiplane-ophys-839909-2026-03-20-12-32-09_ophys.nwb	sub-839909/sub-839909_ses-multiplane-ophys-839909-2026-04-22-14-40-04_ophys.nwb	sub-842971/sub-842971_ses-multiplane-ophys-842971-2026-04-18-10-13-51_ophys.nwb	sub-842971/sub-842971_ses-multiplane-ophys-842971-2026-04-22-09-59-38_ophys.nwb	sub-842971/sub-842971_ses-multiplane-ophys-842971-2026-04-23-09-36-55_ophys.nwb	sub-842971/sub-842971_ses-multiplane-ophys-842971-2026-04-24-10-05-17_ophys.nwb	sub-843000/sub-843000_ses-multiplane-ophys-843000-2026-03-03-12-18-14_ophys.nwb	sub-843000/sub-843000_ses-multiplane-ophys-843000-2026-03-04-13-46-36_ophys.nwb	sub-843000/sub-843000_ses-multiplane-ophys-843000-2026-03-10-12-00-54_ophys.nwb	sub-843000/sub-843000_ses-multiplane-ophys-843000-2026-03-11-14-27-49_ophys.nwb	sub-843000/sub-843000_ses-multiplane-ophys-843000-2026-03-17-12-23-04_ophys.nwb	sub-843000/sub-843000_ses-multiplane-ophys-843000-2026-03-18-14-44-34_ophys.nwb	sub-843000/sub-843000_ses-multiplane-ophys-843000-2026-03-19-15-05-20_ophys.nwb	sub-843000/sub-843000_ses-multiplane-ophys-843000-2026-03-20-14-41-02_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-03-11-11-31-59_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-03-18-11-39-01_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-03-19-13-01-20_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-03-21-11-43-22_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-04-01-11-53-58_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-04-02-12-08-20_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-04-03-11-46-14_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-04-09-12-14-56_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-04-11-13-05-48_ophys.nwb	sub-843001/sub-843001_ses-multiplane-ophys-843001-2026-04-16-09-36-51_ophys.nwb	sub-845342/sub-845342_ses-multiplane-ophys-845342-2026-03-25-14-20-33_ophys.nwb	sub-845342/sub-845342_ses-multiplane-ophys-845342-2026-03-26-13-33-27_ophys.nwb	sub-845342/sub-845342_ses-multiplane-ophys-845342-2026-03-27-14-07-55_ophys.nwb	sub-845342/sub-845342_ses-multiplane-ophys-845342-2026-03-30-09-58-06_ophys.nwb	sub-845342/sub-845342_ses-multiplane-ophys-845342-2026-03-31-11-44-28_ophys.nwb	sub-845342/sub-845342_ses-multiplane-ophys-845342-2026-04-01-14-12-13_ophys.nwb	sub-845342/sub-845342_ses-multiplane-ophys-845342-2026-04-03-13-57-42_ophys.nwb	sub-846289/sub-846289_ses-multiplane-ophys-846289-2026-04-10-14-12-11_ophys.nwb	sub-846289/sub-846289_ses-multiplane-ophys-846289-2026-04-13-11-49-19_ophys.nwb	sub-846289/sub-846289_ses-multiplane-ophys-846289-2026-04-15-13-55-19_ophys.nwb	sub-846289/sub-846289_ses-multiplane-ophys-846289-2026-04-16-13-56-40_ophys.nwb	sub-846289/sub-846289_ses-multiplane-ophys-846289-2026-04-20-11-49-37_ophys.nwb	sub-846289/sub-846289_ses-multiplane-ophys-846289-2026-04-21-10-51-37_ophys.nwb	sub-846289/sub-846289_ses-multiplane-ophys-846289-2026-04-23-14-15-03_ophys.nwb	sub-846289/sub-846289_ses-multiplane-ophys-846289-2026-04-27-09-47-06_ophys.nwb
2026-04-13	0	14823221702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	15123114868	5187134237	14338797122	9466179196	9668306805	9793380712	9397944376	9204261900	13414351603	13809800919	13264832046	9092470052	9118619364	9223100216	9224803043	9157439942	9035127823	8755411757	9535825067	15754861804	16942906893	15376745293	15032786502	15816429878	15474386130	14830611649	0	0	0	0	0	9246522815	9319511562	9499277896	9693333011	9647841261	9392450121	9611415349	9895599682	10354086628	9768309821	9624880083	9377426739	0	9322383367	9653459186	0	0	0	15450311332	15483998212	16835876454	15530261035	0	0	0	0	0	0	0	0	0	0	0
2026-04-27	4978390774	4823730942	4950560442	4531831496	18207728517	10106891148	4629556332	4376063654	6975673906	5338910312	110513380	0	226161938	0	282682579	161031922	107579797	111051211	156091329	159323624	163080525	109289345	107912706	5343897494	5239653656	90567563	0	0	0	0	0	5385395168	5332793120	0	0	0	0	0	0	0	0	0	0	0	5347471640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-04	467145416	450112409	449570046	436804276	451096711	456962748	425323332	417344462	424506783	427229359	420406010	412507044	419735612	422910987	420105509	403641622	417036533	410096867	423126989	32606314840	4495621570	394930817	388044106	408325478	511400236	375174679	0	0	0	0	0	523652978	539898012	543066904	555004150	544425210	542494966	598799798	606291308	621988088	603085278	565287262	523202546	0	553682006	553741700	0	0	0	512585616	523236072	392162094	475344514	0	0	0	0	0	0	0	0	0	0	0
2026-05-11	14344832	51722677	0	0	0	0	30662780	0	0	0	0	0	0	0	0	118144450	0	0	51614601	34270072976	4131835750	0	0	0	0	45376395	0	0	0	0	0	0	0	44857556	0	0	0	0	0	0	0	0	35103501	0	50711205	0	0	0	0	0	0	109848298	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-18	47947516	0	51998814	0	48869223	0	0	45198734	61424299	0	50803442	0	41334220	44378579	13429140	0	13036092	48193939	0	121407119308	0	46165805	9302136	10350264	13822188	11529408	0	0	0	0	0	54834293	61548234	20176464	0	14608284	47881543	12053472	0	16311492	20045448	0	0	0	16270812	4835528	0	0	0	63674636	50457000	49522018	46333971	0	0	0	0	0	0	0	0	0	0	0
2026-05-25	518138300	0	0	44756468	55950380	250273320	0	0	0	2670068650	0	99961204	58065576	0	47993997	0	54619180	44787523	0	17528569412	50756596	55299088	102646742	98033550	46089726	54545396	0	0	0	0	0	0	56675456	53660688	98435097	41604783	0	57646012	195909768	99040142	274664118	55217028	0	0	0	33485290	0	0	0	0	57617396	44387566	0	0	0	0	0	0	0	0	0	0	0	0
2026-06-01	21517248	23747824	0	0	0	46753948	0	0	0	0	0	0	27745912	0	0	0	41138609	0	0	6100341652	0	0	0	0	0	3272312	0	0	0	0	0	0	0	0	28360312	0	0	49495023	0	0	0	44713253	0	0	0	0	0	0	0	0	917112	0	17490636	0	0	0	0	0	0	0	0	0	0	0
2026-06-08	99396416	105454774	0	105601800	81458946	0	18779880	0	81515726	165448124	0	0	75557672	0	0	0	151152100	0	82031414	0	0	0	0	0	160086316	0	0	0	0	0	0	0	0	0	79222970	0	0	84449246	0	0	0	0	0	0	0	17718988	0	0	0	0	0	106895444	80314434	0	0	0	0	0	0	0	0	0	0	0
2026-06-15	67398104	0	0	0	81262422	81031648	0	0	0	0	0	0	0	0	82696334	0	0	78597906	0	34133168628	0	0	0	0	80075912	0	0	0	0	0	0	0	0	0	0	0	78513730	84645770	0	75930960	0	0	0	0	81604778	0	0	0	0	0	0	0	30002664	0	0	0	0	0	0	0	0	0	0	0
2026-06-22	0	0	2685828	0	2423796	0	0	0	3013368	165710156	82003028	0	0	78443374	2423796	0	2554812	0	0	49385829788	0	0	2554812	3537432	159627760	9040104	0	0	0	0	0	3406416	85656484	82189556	0	0	0	3275400	0	78682296	85756458	0	0	0	2685828	67269504	0	0	0	81222952	83031592	0	80904006	0	0	0	0	0	0	0	0	0	0	0
2026-06-29	67463612	0	0	79141920	0	81162664	0	0	81319202	0	0	0	0	78836422	0	0	0	0	0	7586655268	79769138	0	80694136	0	0	79218482	0	0	0	0	0	81572118	0	0	79353986	76131902	0	0	0	75930960	82808598	0	0	0	81277238	0	0	0	0	0	0	78973348	80707482	0	0	0	0	0	0	0	0	0	0	0
2026-07-06	50202321	48867974	1782041591	540854585	4479372	1232588	5870772184	1429112	5486820	3079576	5806084	81230144	516602896	4312188460	115768850	104345620	3721892	80260434	83824958	87247395812	26274600	360806544	52270500	3918416	1232588	7754772	3321784588	4229944030	4481388756	4446179688	4356622092	4954480	5028264	54610872	50197008	9605001336	128618078	4348356	105006332	30178100	29943560	417786112	116053414	4165526550	2383116	50094608	4557450622	4646318076	4962425728	85194812	26675924	4612274732	1232588	3777292530	3858968292	3721301718	4420178602	4554791972	5070494840	4410096882	7426478060	4246272296	4408892676	4355491908
2026-07-13	4826316988	246635082	79181748	0	81393438	0	64249992	78686976	0	0	0	44141840	4379506432	0	0	0	75576050	0	0	11380277688	0	77167146	0	81127444	0	0	223427120	191139775	191044574	178012598	184691360	0	82512100	79176188	0	0	0	169488064	0	0	0	78207674	0	191792757	46383189	0	182475921	261165088	159173666	0	83228116	34491658	0	77236550	30322834	184319577	238280113	236462558	76723372	108915409	0	0	0	0
2026-07-20	14344832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15172720964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66941964	0	0	0	0	0	0	0	112200867	110293250	0	0	0	107262564	107191971	186858376	110143078	107428687	108429792
