date	bytes_sent	number_of_requests	number_of_downloads
2021-04-08	63208604	<50	<50
2021-04-09	1858590773920	221560	<50
2021-04-10	824225415255	98280	<50
2021-04-12	8240775910	200	80
2021-04-14	10322861917	1240	<50
2021-04-16	20688352	<50	<50
2021-04-20	899772373908	107940	<50
2021-04-21	5110287418734	612680	600
2021-04-22	4535388936517	544980	1820
2021-04-23	5810264842541	573200	10860
2021-04-24	496524018958	44180	5240
2021-04-25	63016058662	220	220
2021-04-26	1610304779	1280	1280
2021-04-27	34250403494	2960	2000
2021-04-28	41519327211	1740	1740
2021-04-29	14318480379	2700	1140
2021-04-30	235112310	1680	1680
2021-05-01	8041010718	1020	80
2021-05-02	1691280	80	80
2021-05-03	157046870	460	460
2021-05-04	61703741745	880	880
2021-05-05	597237411080	51080	4520
2021-05-06	486706475629	54040	720
2021-05-07	94653778409	1040	1040
2021-05-08	166344383975	3240	80
2021-05-09	1084531440	620	620
2021-05-10	528425747018	2500	2500
2021-05-11	246316922185	1760	1760
2021-05-12	369963473350	3880	1580
2021-05-13	615493832703	2300	600
2021-05-14	27171691292	1860	1060
2021-05-15	2331114926836	279440	180
2021-05-16	211378190460	25240	80
2021-05-17	2195784110	940	940
2021-05-18	8651325505	1160	560
2021-05-19	26555932225	1060	1060
2021-05-20	955422855426	4920	680
2021-05-21	18337945974	3220	3180
2021-05-22	79922008	360	360
2021-05-23	3382560	180	180
2021-05-24	22664400702	440	440
2021-05-25	1654973130	360	360
2021-05-26	36373310077	2480	840
2021-05-27	2531806614	1020	180
2021-05-28	52825082	720	720
2021-05-29	3382560	180	180
2021-05-30	3382560	180	180
2021-05-31	247115748	180	180
2021-06-01	105246790794	12640	12620
2021-06-02	1930911901	1280	1200
2021-06-03	1387684556	160	160
2021-06-04	402918016	580	520
2021-06-05	3671818229	280	280
2021-06-06	12794432	160	160
2021-06-07	2037206314	1600	1420
2021-06-08	17488909050	4080	800
2021-06-09	1168185610012	118780	1680
2021-06-10	631438918562	15000	1400
2021-06-11	299461129930	2680	2580
2021-06-12	56966938221	1780	1760
2021-06-13	57148849302	1880	1840
2021-06-14	80619678884	2420	260
2021-06-15	410008035906	1360	1220
2021-06-16	26513907528	2200	200
2021-06-17	299657498	260	220
2021-06-18	20073022817	1700	1680
2021-06-19	62485501	160	140
2021-06-20	164311835	160	140
2021-06-21	95157506	820	680
2021-06-22	680131441	24200	340
2021-06-23	5601971472	111860	520
2021-06-24	1304872039	440	400
2021-06-25	433212108436	93140	1160
2021-06-26	168691161504	400	380
2021-06-27	49758881	180	160
2021-06-28	51108214522	3660	3440
2021-06-29	8701720	480	440
2021-06-30	1015833582860	5920	5820
2021-07-01	347894044916	19880	11500
2021-07-02	34214752005	1500	1460
2021-07-03	380811808	400	360
2021-07-04	3382560	200	160
2021-07-05	12030000384	1520	1480
2021-07-06	563780650015	56320	5920
2021-07-07	3455354094	26000	940
2021-07-08	1025329687172	130180	1720
2021-07-09	1208844878001	142040	9020
2021-07-10	143823888859	4900	4880
2021-07-11	6595992	360	340
2021-07-12	428856974	360	340
2021-07-13	5573965368704	664060	420
2021-07-14	6151201204462	733020	520
2021-07-15	5162013959207	604100	5760
2021-07-16	1922638679541	253280	960
2021-07-17	145866312751	5080	4800
2021-07-18	6595992	360	340
2021-07-19	784297507353	92820	700
2021-07-20	5706231854	2880	2600
2021-07-21	122956083383	2460	2220
2021-07-22	2227110012791	266860	1340
2021-07-23	2222962273547	266980	1760
2021-07-24	52160997	280	240
2021-07-25	4810752	280	240
2021-07-26	11833302187	960	880
2021-07-27	4102937600	8440	1800
2021-07-28	11815620344	1000	900
2021-07-29	6542761555	660	600
2021-07-30	93090517000	520	460
2021-07-31	710108477	17820	240
2021-08-01	45618350	360	320
