region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AD/Andorra la Vella	1310160	1	1	0
AD/Escaldes-Engordany	1310160	1	1	0
AD/Sant Julià de Loria	1048128	1	1	0
AE/Abu Dhabi	1568134102	414	413	1
AE/Ajman	262745326	67	67	0
AE/Dubai	30739605993	648	491	7
AE/Fujairah	143974814	22	22	0
AE/Ras Al Khaimah	88556749	28	28	0
AE/Sharjah	868570554	413	210	4
AE/Umm Al Quwain	14957044	5	5	0
AF/Balkh	917112	1	1	0
AF/Faryab	1375668	1	1	0
AF/Helmand	1128188	1	1	0
AF/Kabul	3042837	4	4	0
AF/Kunduz	2227272	2	2	0
AF/Nangarhar	796368	1	1	0
AG/Saint John Parish	15688678	8	8	0
AI/The Valley	6674132	4	4	0
AL/Berat County	132023802	21	21	0
AL/Dibër County	30352332	7	7	0
AL/Durrës County	191885269	45	44	1
AL/Elbasan County	126484302	23	23	0
AL/Fier County	144170488	21	21	0
AL/Gjirokastër County	5900320	4	4	0
AL/Korçë County	69730145	17	17	0
AL/Kukës County	22736277	7	7	0
AL/Lezhë County	13275659	3	3	0
AL/Shkodër County	151828994	23	23	0
AL/Tirana	875961657	172	154	3
AL/Vlorë County	200545300	26	25	1
AM/Ararat	2765432	2	2	0
AM/Armavir	1822968	2	2	0
AM/Gegharkunik	1007064	2	2	0
AM/Kotayk	109498838	8	8	0
AM/Lori	4440	1	1	0
AM/Shirak	51717570	9	9	0
AM/Yerevan	5639764417	125	98	2
AO/Benguela	14271103	4	4	0
AO/Cabinda	32819091	6	6	0
AO/Luanda	481527489	160	160	0
AR/Buenos Aires	9360754826	3035	3028	7
AR/Buenos Aires F.D.	31172129310	4965	1229	27
AR/Catamarca	40096966	17	17	0
AR/Chaco	422146827	183	183	0
AR/Chubut	219312426	92	92	0
AR/Cordoba	1198620543	419	419	0
AR/Corrientes	260970082	93	93	0
AR/Entre Rios	368841972	139	139	0
AR/Formosa	248072830	111	110	1
AR/Jujuy	112462014	40	40	0
AR/La Pampa	205687292	45	45	0
AR/La Rioja	149849488	60	60	0
AR/Mendoza	760515086	290	290	0
AR/Misiones	375946975	172	171	1
AR/Neuquen	251042542	89	87	2
AR/Rio Negro	6072377857	104	98	5
AR/Salta	243274303	72	72	0
AR/San Juan	845244985	139	139	0
AR/San Luis	384284865	90	90	0
AR/Santa Cruz	73995818	28	28	0
AR/Santa Fe	780269066	284	284	0
AR/Santiago del Estero	96195918	37	37	0
AR/Tierra del Fuego	34458780	15	15	0
AR/Tucuman	1368395150	168	167	1
AT/Burgenland	4978608	1	1	0
AT/Carinthia	6330192	1	1	0
AT/Lower Austria	74846244462	12920	201	163
AT/State of Salzburg	27525028697	5695	66	32
AT/State of Vienna	1877276625334	5365	976	43
AT/Styria	18627079675	249	10	1
AT/Tyrol	6671690143	328	328	0
