date	bytes_sent
2021-04-09	333231908163
2021-04-10	150786028987
2021-04-12	2592071757
2021-04-13	31805772903
2021-04-14	1048576000
2021-04-21	223438373325
2021-04-22	623289046849
2021-04-23	628155855064
2021-04-24	97509155579
2021-04-25	12849618321
2021-04-26	522799348
2021-04-27	1132462080
2021-04-28	614477066
2021-04-29	3516029789
2021-05-01	282736358
2021-05-03	1622385469
2021-05-04	8870849071
2021-05-05	92331243813
2021-05-06	125775339915
2021-05-07	4223857304
2021-05-08	684798588
2021-05-10	12279752540
2021-05-11	1632405633
2021-05-12	34476114455
2021-05-13	68946398829
2021-05-14	2196478774
2021-05-15	435645579264
2021-05-16	40134027719
2021-05-19	706346878
2021-05-20	5154854856
2021-05-21	4181241233
2021-05-26	63594857
2021-05-27	842
2021-06-01	375311648
2021-06-02	92861102
2021-06-03	11788185
2021-06-08	157641
2021-06-09	16050704
2021-06-10	147514800
2021-06-11	12476432
2021-06-14	1688720472
2021-06-16	16050680
2021-06-17	18822682
2021-06-18	5374625532
2021-06-25	23532749
2021-06-29	1024
2021-07-05	2398687385
2021-07-06	85265737111
2021-07-07	202223803
2021-07-08	190297655033
2021-07-09	215426719345
2021-07-13	1229570406672
2021-07-14	1050467698159
2021-07-15	281610032993
2021-07-16	99257624
2021-07-17	116887753
2021-07-19	103096523
2021-07-20	10021914
2021-07-21	16183796153
2021-07-22	413311284945
2021-07-23	517163083364
2021-07-24	56241408489
2021-07-25	48615119
2021-07-26	6
2021-07-27	65913322
2021-07-29	307238533
2021-07-30	18133007042
2021-07-31	104843416
2021-08-03	170263688455
2021-08-04	1363451287
2021-08-05	31851544576
2021-08-06	83769547
2021-08-09	149125199866
2021-08-10	306442374892
2021-08-11	49898320
2021-08-15	193011712
2021-08-16	300976100
2021-08-17	352323022932
2021-08-18	64236512006
2021-08-20	46669032
2021-08-21	71968496
2021-08-25	152654
2021-08-31	14132942916
2021-09-01	2705600731
2021-09-02	18466112
2021-09-03	132
2021-09-13	1304778
2021-09-14	1033515703
2021-09-15	702340143
2021-09-16	716692294
2021-09-18	430286573
2021-09-19	13754268
2021-09-20	3537544066
2021-09-22	261390385
2021-09-25	20146060
2021-09-26	1205872
2021-09-27	13755642
2021-09-29	973738526088
2021-09-30	4370414392841
2021-10-01	2505461438388
2021-10-02	1869731617946
2021-10-03	2041590826235
2021-10-04	4164244370720
2021-10-05	2179956849184
2021-10-06	1367035690724
2021-10-07	323366858706
2021-10-08	414448043630
2021-10-09	410057979
2021-10-10	106174515880
2021-10-11	126532984529
2021-10-12	455839237
2021-10-13	649485639
2021-10-14	10863452676
2021-10-15	73457254483
2021-10-16	100339706125
2021-10-17	85116985984
2021-10-18	24533407470
2021-10-19	119549869913
2021-10-20	76624003866
2021-10-21	50046140402
2021-10-22	25067600
2021-10-25	16813671
2021-10-26	6329428523
2021-10-27	128880004
2021-10-28	6822514321
2021-10-29	146510646
2021-10-30	1454268585
2021-10-31	121357645828
2021-11-01	128096896503
2021-11-02	26163216650
2021-11-03	134652320754
2021-11-04	69533357245
2021-11-05	4822207
2021-11-06	49164
2021-11-08	2631300232
2021-11-09	13203988398
2021-11-10	4501789513
2021-11-11	252339377670
2021-11-12	1870691029384
2021-11-13	1163267214716
2021-11-14	974659839336
2021-11-15	1659531156736
2021-11-16	2376842144
2021-11-17	72181936824
2021-11-19	47302128466
2021-11-20	103938448990
2021-11-22	17564756311
2021-11-24	99320052
2021-11-26	6586186
2021-11-27	84735969424
2021-11-28	292443236035
2021-11-29	267478641560
2021-11-30	407651464092
2021-12-01	187115065557
2021-12-02	29816612345
2021-12-03	63902314233
2021-12-06	25867770943
2021-12-07	24589953864
2021-12-14	97518670
2021-12-21	114588949522
2021-12-22	1187882636815
2021-12-23	2784616046270
2021-12-24	1896102064579
2021-12-25	2094400217894
2021-12-26	1997572152869
2021-12-27	1346632460694
2021-12-28	227931534419
2021-12-29	3088808
