date	bytes_sent
2021-04-21	6644036
2021-04-22	3269461528
2021-04-23	3978699528
2021-04-24	319464
2021-04-25	225504
2021-04-26	6371689
2021-04-27	6238944
2021-04-28	5393304
2021-04-29	3175848
2021-04-30	5750352
2021-05-01	225504
2021-05-02	338256
2021-05-03	47510866
2021-05-04	2856384
2021-05-05	338256
2021-05-06	1597320
2021-05-07	3081888
2021-05-08	6963500
2021-05-09	2255040
2021-05-10	7084584
2021-05-11	5073840
2021-05-12	3795984
2021-05-13	1315440
2021-05-14	3589272
2021-05-15	695304
2021-05-16	319464
2021-05-17	2536920
2021-05-18	1897992
2021-05-19	3157056
2021-05-20	1390608
2021-05-21	6492636
2021-05-22	995976
2021-05-23	676512
2021-05-24	1559736
2021-05-25	1146312
2021-05-26	1916784
2021-05-27	526176
2021-05-28	2292624
2021-05-29	469800
2021-05-30	582552
2021-05-31	601344
2021-06-01	751680
2021-06-02	9143372
2021-06-03	751680
2021-06-04	1879200
2021-06-05	404028
2021-06-06	404028
2021-06-07	4171824
2021-06-08	1501135489
2021-06-09	11858816
2021-06-10	4829544
2021-06-11	2865780
2021-06-12	469800
2021-06-13	1240272
2021-06-14	1061748
2021-06-15	3523500
2021-06-16	789264
2021-06-17	761076
2021-06-18	413424
2021-06-19	404028
2021-06-20	554364
2021-06-21	2132892
2021-06-22	1174500
2021-06-23	1860408
2021-06-24	1493964
2021-06-25	1991952
2021-06-26	685908
2021-06-27	573156
2021-06-28	6511428
2021-06-29	1794636
2021-06-30	2612088
2021-07-01	8966144
2021-07-02	695304
2021-07-03	1493964
2021-07-04	422820
2021-07-05	563760
2021-07-06	4575852
2021-07-07	3269808
2021-07-08	5778540
2021-07-09	6633576
2021-07-10	1108728
2021-07-11	1230876
2021-07-12	1089936
2021-07-13	1108728
2021-07-14	1550340
2021-07-15	3608064
2021-07-16	2753028
2021-07-17	1005372
2021-07-18	1024164
2021-07-19	2010744
2021-07-20	8052372
2021-07-21	7460424
2021-07-22	4510080
2021-07-23	5778540
2021-07-24	535572
2021-07-25	808056
2021-07-26	2499336
2021-07-27	5910084
2021-07-28	2922156
2021-07-29	1653696
2021-07-30	1221480
2021-07-31	826848
2021-08-01	1390608
2021-08-02	1653696
2021-08-03	986580
2021-08-04	1869804
2021-08-05	714096
2021-08-06	79265879
2021-08-07	742284
2021-08-08	601344
2021-08-09	2095308
2021-08-10	629532
2021-08-11	761076
2021-08-12	636520
2021-08-13	798660
2021-08-14	948996
2021-08-15	573156
2021-08-16	864432
2021-08-17	751680
2021-08-18	986580
2021-08-19	761076
2021-08-20	2903364
2021-08-21	591948
2021-08-22	732888
2021-08-23	826848
2021-08-24	845640
2021-08-25	2236248
2021-08-26	7595450
2021-08-27	8045800
2021-08-28	920808
2021-08-29	507384
2021-08-30	648324
2021-08-31	4754376
2021-09-01	2706048
2021-09-02	1437588
2021-09-03	2508732
2021-09-04	1663092
2021-09-05	902016
2021-09-06	836244
2021-09-07	1183896
2021-09-08	2536920
2021-09-09	37560553
2021-09-10	1249668
2021-09-11	1446984
2021-09-12	1315440
2021-09-13	3410748
2021-09-14	821554556
2021-09-15	2790612
2021-09-16	2508732
2021-09-17	3410748
2021-09-18	1221480
2021-09-19	1381212
2021-09-20	3204036
2021-09-21	3241620
2021-09-22	1503360
2021-09-23	1709704
2021-09-24	1550340
2021-09-25	1569132
2021-09-26	1822824
2021-09-27	7075188
2021-09-28	5318136
2021-09-29	1916784
2021-09-30	1882547200
2021-10-01	21183141
2021-10-02	2922156
2021-10-03	1315440
2021-10-04	6689952
2021-10-05	4406724
2021-10-06	38281164
2021-10-07	4303368
2021-10-08	337983456
2021-10-09	34164471
2021-10-10	1202688
2021-10-11	7526196
2021-10-12	1963764
2021-10-13	43655901
2021-10-14	3993300
2021-10-15	2959740
2021-10-16	1428192
2021-10-17	1296648
2021-10-18	2499336
2021-10-19	1484568
2021-10-20	2687256
2021-10-21	2255040
2021-10-22	2085912
2021-10-23	1268460
2021-10-24	1033560
2021-10-25	9358416
2021-10-26	2414772
2021-10-27	1005372
2021-10-28	5036256
2021-10-29	13413099552
2021-10-30	438151147
2021-10-31	779293267
2021-11-01	15951288
2021-11-02	1409400
2021-11-03	1390608
2021-11-04	1465776
2021-11-05	3382560
2021-11-06	1268460
2021-11-07	1202688
2021-11-08	2753028
2021-11-09	23434420
2021-11-10	742284
2021-11-11	1118124
2021-11-12	911412
2021-11-13	798660
2021-11-14	1371816
2021-11-15	902016
2021-11-16	1071144
2021-11-17	573156
2021-11-18	21514784
2021-11-19	3767796
2021-11-20	873828
2021-11-21	761076
2021-11-22	845640
2021-11-23	1409400
2021-11-24	2208060
2021-11-25	1099332
2021-11-26	1259064
2021-11-27	1644300
2021-11-28	1183896
2021-11-29	5224176
2021-11-30	18231664
2021-12-01	3401352
2021-12-02	1324836
2021-12-03	1390608
2021-12-04	1691280
2021-12-05	1456380
2021-12-06	5083236
2021-12-07	4763772
2021-12-08	1381212
2021-12-09	1503360
2021-12-10	1644300
2021-12-11	1362420
2021-12-12	1672488
2021-12-13	9273852
2021-12-14	2142288
2021-12-15	1944972
2021-12-16	3842964
2021-12-17	2010744
2021-12-18	1099332
2021-12-19	1127520
2021-12-20	1738260
2021-12-21	858949101
2021-12-22	1024164
2021-12-23	1334232
2021-12-24	1616112
2021-12-25	1221480
2021-12-26	1268460
2021-12-27	1775844
2021-12-28	1277856
2021-12-29	1202688
2021-12-30	1146312
2021-12-31	3767796
2022-01-01	1644300
2022-01-02	1550340
2022-01-03	2546316
2022-01-04	3861756
2022-01-05	13389300
2022-01-06	10345317
2022-01-07	11068488
2022-01-08	1569132
2022-01-09	1493964
2022-01-10	10993320
2022-01-11	7535592
2022-01-12	7601364
2022-01-13	8099352
2022-01-14	9865800
2022-01-15	3673836
2022-01-16	2536920
2022-01-17	5938272
2022-01-18	4998672
2022-01-19	11275200
2022-01-20	6229548
2022-01-21	5477868
2022-01-22	1644300
2022-01-23	17500708
2022-01-24	6830892
2022-01-25	11998692
2022-01-26	5477868
2022-01-27	4585248
2022-01-28	6323508
2022-01-29	3006720
